#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
       1  0.000000000E+00  4.708692655E-12  1.000000000E-02  3.061318551E+04  1.000000000E+00  7.469261017E+08  1.131093917E+12  9.530239703E+10  8.690727761E+10  4.045542900E+14  1.024215169E+09
      20  1.437438882E-10  1.188901603E-11  2.526950195E-02  3.059792296E+04  9.995014384E-01  7.081784843E+08  5.310139401E+11  3.051754178E+10  2.389929722E+10  3.636001769E+14  2.278689372E+07
      40  5.364582887E-10  3.147632018E-11  6.704751154E-02  3.055848410E+04  9.982131420E-01  6.824038997E+08  3.817205978E+11  2.322690646E+10  1.885914692E+10  3.545526637E+14  7.964614620E+06
      60  1.574524134E-09  8.306336815E-11  1.778970085E-01  3.045871499E+04  9.949541178E-01  6.650868491E+08  3.283558066E+11  2.167820994E+10  1.834389055E+10  3.475353165E+14  3.395544475E+06
      80  4.306370192E-09  2.181327868E-10  4.720137244E-01  3.025062341E+04  9.881566684E-01  6.582915885E+08  3.099854748E+11  2.546012386E+10  2.306053925E+10  3.421628933E+14  1.473907079E+06
     100  1.147528543E-08  5.730416092E-10  1.252392932E+00  2.989727354E+04  9.766142608E-01  6.698403864E+08  3.092260078E+11  3.592348284E+10  3.436360625E+10  3.471189932E+14  6.075988251E+05
     120  3.049792000E-08  1.543495430E-09  3.322971292E+00  2.936745153E+04  9.593072735E-01  7.235955028E+08  3.262746462E+11  5.779489117E+10  5.686776980E+10  3.767202791E+14  2.306243318E+05
     140  8.030827303E-08  3.788946734E-09  8.816832104E+00  2.837656362E+04  9.269392630E-01  9.244744576E+08  3.934249939E+11  1.128951429E+11  1.124446295E+11  4.993904836E+14  2.402418692E+05
     160  1.881031722E-07  6.386232679E-09  1.924603875E+01  2.644311812E+04  8.637819839E-01  1.707427756E+09  6.361900459E+11  3.671769504E+11  3.668570144E+11  1.134283131E+15  6.514523636E+05
     180  3.048080952E-07  5.373381169E-09  1.924603875E+01  2.499608660E+04  8.165137401E-01  2.272498837E+09  9.139975882E+11  6.997675393E+11  6.978679314E+11  2.124043810E+15  1.031465559E+06
     200  4.064460033E-07  4.802770416E-09  1.924603875E+01  2.405392249E+04  7.857373248E-01  2.745087456E+09  1.213677846E+12  1.046366562E+12  1.046035217E+12  3.252281695E+15  1.379109293E+06
     220  4.780695453E-07  2.443463402E-09  1.060937886E+01  2.353168962E+04  7.686782420E-01  2.867312704E+09  1.400343826E+12  1.232729849E+12  1.229990243E+12  4.097039169E+15  1.502515853E+06
     240  5.256662956E-07  2.321121106E-09  1.060937886E+01  2.338215901E+04  7.637937253E-01  2.913179945E+09  1.590724809E+12  1.450090930E+12  1.454710914E+12  4.712288681E+15  1.623827213E+06
     260  5.713441824E-07  2.249512406E-09  1.060937886E+01  2.347892196E+04  7.669545512E-01  2.901086717E+09  1.738116680E+12  1.634168833E+12  1.635044358E+12  5.181328387E+15  1.708430832E+06
     280  6.159004894E-07  2.208356924E-09  1.060937886E+01  2.381251030E+04  7.778514355E-01  2.880429959E+09  1.860687024E+12  1.794081656E+12  1.793831635E+12  5.573256548E+15  1.762778147E+06
     300  6.598632934E-07  2.190443194E-09  1.060937886E+01  2.439644653E+04  7.969260995E-01  2.838498985E+09  1.963905309E+12  1.907442007E+12  1.912216914E+12  5.866239577E+15  1.776775163E+06
     320  7.031250137E-07  2.134850750E-09  1.060937886E+01  2.542534088E+04  8.305356155E-01  2.790852363E+09  2.062737983E+12  1.989778368E+12  1.990382635E+12  6.064428250E+15  1.766947988E+06
     340  7.454358534E-07  2.097633728E-09  1.060937886E+01  2.706863537E+04  8.842149195E-01  2.715009216E+09  2.143451398E+12  2.024015529E+12  2.016420318E+12  6.111125601E+15  1.726652707E+06
     360  7.871901449E-07  2.080638154E-09  1.060937886E+01  2.939815628E+04  9.603102646E-01  2.585443345E+09  2.193793056E+12  1.978723670E+12  1.978941122E+12  5.947383759E+15  1.648765552E+06
     380  8.288289425E-07  2.087112199E-09  1.060937886E+01  3.255194041E+04  1.063330714E+00  2.415854391E+09  2.206070009E+12  1.886491566E+12  1.887357841E+12  5.637661484E+15  1.545444894E+06
     400  8.708083248E-07  2.117130692E-09  1.060937886E+01  3.816780277E+04  1.246776581E+00  2.229503158E+09  2.193789512E+12  1.779560498E+12  1.775040669E+12  5.274417854E+15  1.439020368E+06
     420  9.159072847E-07  2.512735053E-09  1.228168220E+01  4.604378863E+04  1.504050880E+00  1.991637897E+09  2.118850533E+12  1.630364316E+12  1.629508816E+12  4.806789130E+15  1.308303778E+06
     440  9.691848377E-07  2.888598609E-09  1.354055463E+01  5.765756163E+04  1.883422475E+00  1.733242115E+09  2.014730761E+12  1.463410336E+12  1.462149055E+12  4.301501715E+15  1.168531216E+06
     460  1.033591194E-06  3.566179920E-09  1.567488455E+01  7.266816889E+04  2.373753913E+00  1.513332941E+09  1.898105083E+12  1.295988029E+12  1.301500609E+12  3.844693595E+15  1.036477688E+06
     480  1.112408517E-06  4.392660376E-09  1.814563823E+01  8.813795787E+04  2.879084825E+00  1.332763158E+09  1.732128427E+12  1.137556274E+12  1.142990426E+12  3.419158153E+15  9.045374378E+05
     500  1.211278842E-06  5.615085374E-09  2.315894351E+01  9.878689034E+04  3.226939264E+00  1.132865514E+09  1.483560779E+12  9.518707849E+11  9.565160185E+11  2.904355187E+15  7.598056377E+05
     520  1.339977230E-06  7.551703591E-09  3.103519924E+01  1.015195992E+05  3.316205011E+00  8.967614771E+08  1.166228886E+12  7.450374896E+11  7.451552589E+11  2.280043346E+15  6.006418156E+05
     540  1.513342706E-06  1.016487472E-08  4.159013521E+01  9.759969996E+04  3.188158903E+00  6.652581982E+08  8.563661720E+11  5.514255413E+11  5.510898156E+11  1.683694166E+15  4.524168080E+05
     560  1.757101282E-06  1.510612532E-08  6.144757168E+01  8.989506532E+04  2.936481905E+00  4.959702401E+08  6.200714142E+11  4.032510113E+11  4.025061096E+11  1.225665924E+15  3.544452378E+05
     580  2.117679779E-06  2.228900750E-08  9.078604928E+01  8.369532811E+04  2.733963379E+00  3.694397103E+08  4.485152546E+11  2.942478771E+11  2.932215481E+11  8.880580949E+14  2.777870295E+05
     600  2.636579730E-06  3.061893143E-08  1.277450883E+02  8.266072610E+04  2.700167419E+00  2.612034195E+08  3.198971467E+11  2.048164268E+11  2.047232261E+11  6.212046958E+14  2.119775047E+05
     620  3.320209599E-06  3.814401465E-08  1.630387009E+02  8.584995061E+04  2.804345551E+00  1.818285846E+08  2.350823333E+11  1.432429758E+11  1.430514458E+11  4.406846566E+14  1.686683589E+05
     640  4.208286473E-06  5.044294622E-08  2.184874523E+02  8.952021961E+04  2.924237321E+00  1.278880919E+08  1.777331910E+11  1.010611631E+11  1.013991317E+11  3.181644250E+14  1.430657954E+05
     660  5.375511246E-06  6.720517682E-08  2.927940824E+02  9.298262135E+04  3.037338970E+00  9.195353446E+07  1.341618868E+11  7.291947453E+10  7.268365226E+10  2.330757369E+14  1.280333151E+05
     680  6.911686306E-06  9.039763674E-08  3.923720735E+02  9.487638034E+04  3.099199862E+00  6.623939851E+07  1.005873622E+11  5.190974199E+10  5.226952982E+10  1.698581462E+14  1.175848789E+05
     700  8.946356139E-06  1.159919644E-07  5.007772430E+02  9.674675306E+04  3.160296827E+00  4.802199117E+07  7.463576861E+10  3.800363751E+10  3.787096536E+10  1.245097966E+14  1.081391569E+05
     720  1.165923139E-05  1.558716066E-07  6.710894003E+02  9.768946457E+04  3.191091124E+00  3.480880693E+07  5.497802013E+10  2.731942377E+10  2.752837446E+10  9.064898206E+13  9.834644897E+04
     740  1.523154809E-05  2.091180215E-07  8.993239798E+02  9.939318501E+04  3.246744282E+00  2.537446719E+07  4.032907589E+10  2.002349819E+10  1.998176046E+10  6.625059699E+13  8.843210839E+04
     760  1.977848756E-05  2.326066545E-07  1.000000000E+03  1.005053493E+05  3.283073866E+00  1.819977027E+07  2.928145608E+10  1.406016938E+10  1.406166899E+10  4.743335583E+13  7.884545290E+04
     780  2.443075361E-05  2.326177500E-07  1.000000000E+03  1.026804647E+05  3.354125453E+00  1.383036030E+07  2.254887736E+10  1.043118924E+10  1.043650543E+10  3.591760383E+13  7.129901238E+04
     800  2.908320613E-05  2.326271533E-07  1.000000000E+03  1.029876342E+05  3.364159347E+00  1.095019182E+07  1.797282936E+10  8.146391184E+09  8.156055866E+09  2.835644798E+13  6.492122510E+04
     820  3.373579003E-05  2.326307867E-07  1.000000000E+03  1.003156051E+05  3.276875746E+00  8.902246700E+06  1.467328986E+10  6.532468287E+09  6.540086007E+09  2.291715991E+13  5.964632632E+04
     840  3.838842085E-05  2.326321133E-07  1.000000000E+03  9.626901311E+04  3.144691135E+00  7.367669332E+06  1.219157777E+10  5.317585137E+09  5.327746835E+09  1.883287830E+13  5.516772541E+04
