"ObjectId","Points:0","Points:1","Points:2","arc_length","pressure","wall-heat-flux","wall-tau-mag","wall-y_plus"
1.00000000e+00,1.72169995e+00,2.04600006e-01,9.99999972e-10,0.00000000e+00,1.86807606e+04,7.45482290e+05,7.59400405e+02,1.73478513e-01
1.00000000e+00,1.72326255e+00,2.04600006e-01,9.99999972e-10,1.56259537e-03,1.74989823e+04,6.32299324e+05,6.11658830e+02,1.54327092e-01
1.00000000e+00,1.72482502e+00,2.04600006e-01,9.99999972e-10,3.12507153e-03,1.57257917e+04,4.63122266e+05,4.06696252e+02,1.27541478e-01
1.00000000e+00,1.72638750e+00,2.04600006e-01,9.99999972e-10,4.68754768e-03,1.47193856e+04,3.82679614e+05,3.28302945e+02,1.17699061e-01
1.00000000e+00,1.72794998e+00,2.04600006e-01,9.99999972e-10,6.25002384e-03,1.39972569e+04,3.47465496e+05,2.97548837e+02,1.15363825e-01
1.00000000e+00,1.72951245e+00,2.04600006e-01,9.99999972e-10,7.81250000e-03,1.34346713e+04,3.31393185e+05,2.82616993e+02,1.15889244e-01
1.00000000e+00,1.73107505e+00,2.04600006e-01,9.99999972e-10,9.37509537e-03,1.29547810e+04,3.22913574e+05,2.73784440e+02,1.17527043e-01
1.00000000e+00,1.73263752e+00,2.04600006e-01,9.99999972e-10,1.09375715e-02,1.25319961e+04,3.17189312e+05,2.67735707e+02,1.19665678e-01
1.00000000e+00,1.73420000e+00,2.04600006e-01,9.99999972e-10,1.25000477e-02,1.23336506e+04,3.14637905e+05,2.65169487e+02,1.20818943e-01
1.00000000e+00,1.73576248e+00,2.04600006e-01,9.99999972e-10,1.40625238e-02,1.18230152e+04,3.07669746e+05,2.58823000e+02,1.24497663e-01
1.00000000e+00,1.73732495e+00,2.04600006e-01,9.99999972e-10,1.56250000e-02,1.15223360e+04,3.03115993e+05,2.54880319e+02,1.26966194e-01
1.00000000e+00,1.73888755e+00,2.04600006e-01,9.99999972e-10,1.71875954e-02,1.12495242e+04,2.98645299e+05,2.51089347e+02,1.29421624e-01
1.00000000e+00,1.74045002e+00,2.04600006e-01,9.99999972e-10,1.87500715e-02,1.10002483e+04,2.94292556e+05,2.47467183e+02,1.31866224e-01
1.00000000e+00,1.74201250e+00,2.04600006e-01,9.99999972e-10,2.03125477e-02,1.07709113e+04,2.90074610e+05,2.44012172e+02,1.34298351e-01
1.00000000e+00,1.74357498e+00,2.04600006e-01,9.99999972e-10,2.18750238e-02,1.05586291e+04,2.85998835e+05,2.40715374e+02,1.36715297e-01
1.00000000e+00,1.74513745e+00,2.04600006e-01,9.99999972e-10,2.34375000e-02,1.03611396e+04,2.82068254e+05,2.37566585e+02,1.39115268e-01
1.00000000e+00,1.74670005e+00,2.04600006e-01,9.99999972e-10,2.50000954e-02,1.00873979e+04,2.76423929e+05,2.33079412e+02,1.42681761e-01
1.00000000e+00,1.74826252e+00,2.04600006e-01,9.99999972e-10,2.65625715e-02,1.00037342e+04,2.74642364e+05,2.31672434e+02,1.43860301e-01
1.00000000e+00,1.74982500e+00,2.04600006e-01,9.99999972e-10,2.81250477e-02,9.84117586e+03,2.71142620e+05,2.28910560e+02,1.46205339e-01
1.00000000e+00,1.75138748e+00,2.04600006e-01,9.99999972e-10,2.96875238e-02,9.68801857e+03,2.67782587e+05,2.26264688e+02,1.48533847e-01
1.00000000e+00,1.75294995e+00,2.04600006e-01,9.99999972e-10,3.12500000e-02,9.54333447e+03,2.64554097e+05,2.23726328e+02,1.50845175e-01
1.00000000e+00,1.75451255e+00,2.04600006e-01,9.99999972e-10,3.28125954e-02,9.40639613e+03,2.61452932e+05,2.21288514e+02,1.53140101e-01
1.00000000e+00,1.75607502e+00,2.04600006e-01,9.99999972e-10,3.43750715e-02,9.27660103e+03,2.58475505e+05,2.18949223e+02,1.55420807e-01
1.00000000e+00,1.75763750e+00,2.04600006e-01,9.99999972e-10,3.59375477e-02,9.15326483e+03,2.55611685e+05,2.16697549e+02,1.57685311e-01
1.00000000e+00,1.75919998e+00,2.04600006e-01,9.99999972e-10,3.75000238e-02,9.09320686e+03,2.54210763e+05,2.15594737e+02,1.58814718e-01
1.00000000e+00,1.76076245e+00,2.04600006e-01,9.99999972e-10,3.90625000e-02,8.92427087e+03,2.50215566e+05,2.12452201e+02,1.62175813e-01
1.00000000e+00,1.76232505e+00,2.04600006e-01,9.99999972e-10,4.06250954e-02,8.81778483e+03,2.47671187e+05,2.10444399e+02,1.64401606e-01
1.00000000e+00,1.76388752e+00,2.04600006e-01,9.99999972e-10,4.21875715e-02,8.71618838e+03,2.45205951e+05,2.08492033e+02,1.66609416e-01
1.00000000e+00,1.76545000e+00,2.04600006e-01,9.99999972e-10,4.37500477e-02,8.61917993e+03,2.42866497e+05,2.06678603e+02,1.68835618e-01
1.00000000e+00,1.76701248e+00,2.04600006e-01,9.99999972e-10,4.53125238e-02,8.52441835e+03,2.40747116e+05,2.05091194e+02,1.71098344e-01
1.00000000e+00,1.76857495e+00,2.04600006e-01,9.99999972e-10,4.68750000e-02,8.43518728e+03,2.38748107e+05,2.03729685e+02,1.73440651e-01
1.00000000e+00,1.77013755e+00,2.04600006e-01,9.99999972e-10,4.84375954e-02,8.34273277e+03,2.34380886e+05,1.99515015e+02,1.74439804e-01
1.00000000e+00,1.77170002e+00,2.04600006e-01,9.99999972e-10,5.00000715e-02,8.29207919e+03,2.31013963e+05,1.95919308e+02,1.74229857e-01
1.00000000e+00,1.77170002e+00,-2.04600006e-01,9.99999972e-10,0.00000000e+00,1.07356165e+04,2.92021214e+05,2.46872045e+02,2.21892709e-01
1.00000000e+00,1.77013755e+00,-2.04600006e-01,9.99999972e-10,1.56247616e-03,1.07799483e+04,2.95594629e+05,2.50684946e+02,2.21635379e-01
1.00000000e+00,1.76857495e+00,-2.04600006e-01,9.99999972e-10,3.12507153e-03,1.08634252e+04,3.00088334e+05,2.55151984e+02,2.19653719e-01
1.00000000e+00,1.76701248e+00,-2.04600006e-01,9.99999972e-10,4.68754768e-03,1.09475433e+04,3.01908901e+05,2.56545346e+02,2.16267230e-01
1.00000000e+00,1.76545000e+00,-2.04600006e-01,9.99999972e-10,6.25002384e-03,1.10383602e+04,3.03878605e+05,2.58165509e+02,2.12972819e-01
1.00000000e+00,1.76388752e+00,-2.04600006e-01,9.99999972e-10,7.81250000e-03,1.11330723e+04,3.06109874e+05,2.60047126e+02,2.09745845e-01
1.00000000e+00,1.76232505e+00,-2.04600006e-01,9.99999972e-10,9.37497616e-03,1.12340769e+04,3.08493488e+05,2.62086052e+02,2.06559105e-01
1.00000000e+00,1.76076245e+00,-2.04600006e-01,9.99999972e-10,1.09375715e-02,1.13416593e+04,3.10998294e+05,2.64213747e+02,2.03380066e-01
1.00000000e+00,1.75919998e+00,-2.04600006e-01,9.99999972e-10,1.25000477e-02,1.14564735e+04,3.13653505e+05,2.66460072e+02,2.00218452e-01
1.00000000e+00,1.75763750e+00,-2.04600006e-01,9.99999972e-10,1.40625238e-02,1.15789924e+04,3.16466387e+05,2.68829097e+02,1.97071776e-01
1.00000000e+00,1.75607502e+00,-2.04600006e-01,9.99999972e-10,1.56250000e-02,1.17100211e+04,3.19451080e+05,2.71333885e+02,1.93942388e-01
1.00000000e+00,1.75451255e+00,-2.04600006e-01,9.99999972e-10,1.71874762e-02,1.18503445e+04,3.22620572e+05,2.73980655e+02,1.90829495e-01
1.00000000e+00,1.75294995e+00,-2.04600006e-01,9.99999972e-10,1.87500715e-02,1.20008050e+04,3.25985254e+05,2.76778223e+02,1.87732048e-01
1.00000000e+00,1.75138748e+00,-2.04600006e-01,9.99999972e-10,2.03125477e-02,1.22459926e+04,3.31399246e+05,2.81257323e+02,1.83111967e-01
1.00000000e+00,1.74982500e+00,-2.04600006e-01,9.99999972e-10,2.18750238e-02,1.23363146e+04,3.33366246e+05,2.82876632e+02,1.81586572e-01
1.00000000e+00,1.74826252e+00,-2.04600006e-01,9.99999972e-10,2.34375000e-02,1.25239150e+04,3.37418241e+05,2.86202361e+02,1.78539316e-01
1.00000000e+00,1.74670005e+00,-2.04600006e-01,9.99999972e-10,2.49999762e-02,1.27265898e+04,3.41730140e+05,2.89724321e+02,1.75506290e-01
1.00000000e+00,1.74513745e+00,-2.04600006e-01,9.99999972e-10,2.65625715e-02,1.29460929e+04,3.46321571e+05,2.93455040e+02,1.72487255e-01
1.00000000e+00,1.74357498e+00,-2.04600006e-01,9.99999972e-10,2.81250477e-02,1.31839296e+04,3.51192025e+05,2.97392651e+02,1.69473981e-01
1.00000000e+00,1.74201250e+00,-2.04600006e-01,9.99999972e-10,2.96875238e-02,1.34420143e+04,3.56345296e+05,3.01546443e+02,1.66462604e-01
1.00000000e+00,1.74045002e+00,-2.04600006e-01,9.99999972e-10,3.12500000e-02,1.37224710e+04,3.61773109e+05,3.05918976e+02,1.63446607e-01
1.00000000e+00,1.73888755e+00,-2.04600006e-01,9.99999972e-10,3.28124762e-02,1.40281102e+04,3.67463853e+05,3.10516773e+02,1.60422260e-01
1.00000000e+00,1.73732495e+00,-2.04600006e-01,9.99999972e-10,3.43750715e-02,1.43626438e+04,3.73399814e+05,3.15338991e+02,1.57386166e-01
1.00000000e+00,1.73576248e+00,-2.04600006e-01,9.99999972e-10,3.59375477e-02,1.47301739e+04,3.79528729e+05,3.20356670e+02,1.54326880e-01
1.00000000e+00,1.73420000e+00,-2.04600006e-01,9.99999972e-10,3.75000238e-02,1.51354135e+04,3.85764236e+05,3.25534492e+02,1.51231544e-01
1.00000000e+00,1.73263752e+00,-2.04600006e-01,9.99999972e-10,3.90625000e-02,1.55849744e+04,3.92062053e+05,3.31066985e+02,1.48143298e-01
1.00000000e+00,1.73107505e+00,-2.04600006e-01,9.99999972e-10,4.06249762e-02,1.58218292e+04,3.95227595e+05,3.33973740e+02,1.46612872e-01
1.00000000e+00,1.72951245e+00,-2.04600006e-01,9.99999972e-10,4.21875715e-02,1.66566901e+04,4.07628229e+05,3.47303482e+02,1.42825737e-01
1.00000000e+00,1.72794998e+00,-2.04600006e-01,9.99999972e-10,4.37500477e-02,1.73174222e+04,4.24356370e+05,3.63273385e+02,1.41580019e-01
1.00000000e+00,1.72638750e+00,-2.04600006e-01,9.99999972e-10,4.53125238e-02,1.81626357e+04,4.64768142e+05,3.97878218e+02,1.43721023e-01
1.00000000e+00,1.72482502e+00,-2.04600006e-01,9.99999972e-10,4.68750000e-02,1.93438986e+04,5.67221680e+05,4.94901207e+02,1.55712411e-01
1.00000000e+00,1.72326255e+00,-2.04600006e-01,9.99999972e-10,4.84374762e-02,2.14131320e+04,8.09944433e+05,7.72395439e+02,1.90940866e-01
1.00000000e+00,1.72169995e+00,-2.04600006e-01,9.99999972e-10,5.00000715e-02,2.27881451e+04,9.79279108e+05,9.77351714e+02,2.16556195e-01
2.00000000e+00,1.72169995e+00,-2.04600006e-01,9.99999972e-10,0.00000000e+00,1.20183408e+05,2.46498251e+06,1.57335424e+03,5.97757048e-01
2.00000000e+00,1.72040379e+00,-2.03758121e-01,9.99999972e-10,1.54557731e-03,1.22001075e+05,2.46833198e+06,1.51596808e+03,5.90941248e-01
2.00000000e+00,1.71910751e+00,-2.02916250e-01,9.99999972e-10,3.09124647e-03,1.24084009e+05,2.46473956e+06,1.44562062e+03,5.82198196e-01
2.00000000e+00,1.71781123e+00,-2.02074379e-01,9.99999972e-10,4.63691563e-03,1.24363358e+05,2.45753381e+06,1.43065078e+03,5.79899797e-01
2.00000000e+00,1.71651495e+00,-2.01232493e-01,9.99999972e-10,6.18259291e-03,1.24368546e+05,2.45740631e+06,1.42764081e+03,5.79304428e-01
