"ObjectId","Points:0","Points:1","Points:2","arc_length","pressure","wall-heat-flux","wall-tau-mag","wall-y_plus"
1.00000000e+00,1.77170002e+00,0.00000000e+00,2.04599991e-01,0.00000000e+00,9.53948032e+03,2.56823148e+05,2.09437665e+02,3.78098869e-01
1.00000000e+00,1.76857495e+00,0.00000000e+00,2.04599991e-01,3.12507153e-03,9.64070404e+03,2.60881850e+05,2.13668518e+02,3.75896357e-01
1.00000000e+00,1.76545000e+00,0.00000000e+00,2.04600006e-01,6.25002384e-03,9.83126290e+03,2.66718095e+05,2.18923904e+02,3.67912901e-01
1.00000000e+00,1.76232505e+00,0.00000000e+00,2.04600006e-01,9.37497616e-03,1.00171654e+04,2.70467434e+05,2.21413743e+02,3.56518200e-01
1.00000000e+00,1.75919998e+00,0.00000000e+00,2.04600006e-01,1.25000477e-02,1.02235726e+04,2.74822828e+05,2.24701697e+02,3.45471409e-01
1.00000000e+00,1.75607502e+00,-2.64697796e-23,2.04600006e-01,1.56250000e-02,1.04532941e+04,2.79678902e+05,2.28397411e+02,3.34459064e-01
1.00000000e+00,1.75294995e+00,0.00000000e+00,2.04600006e-01,1.87500715e-02,1.07092554e+04,2.84892665e+05,2.32342780e+02,3.23308958e-01
1.00000000e+00,1.74982500e+00,0.00000000e+00,2.04600006e-01,2.18750238e-02,1.09959411e+04,2.90508558e+05,2.36556224e+02,3.12006978e-01
1.00000000e+00,1.74670005e+00,0.00000000e+00,2.04600006e-01,2.49999762e-02,1.11465459e+04,2.93383130e+05,2.38697340e+02,3.06275739e-01
1.00000000e+00,1.74357498e+00,0.00000000e+00,2.04600006e-01,2.81250477e-02,1.16755081e+04,3.02569781e+05,2.45638970e+02,2.88573616e-01
1.00000000e+00,1.74045002e+00,0.00000000e+00,2.04600006e-01,3.12500000e-02,1.20854641e+04,3.08825970e+05,2.50435234e+02,2.76362965e-01
1.00000000e+00,1.73732495e+00,0.00000000e+00,2.04600006e-01,3.43750715e-02,1.25541745e+04,3.14953887e+05,2.55966232e+02,2.64031376e-01
1.00000000e+00,1.73420000e+00,1.32348898e-23,2.04600006e-01,3.75000238e-02,1.31113674e+04,3.23265401e+05,2.64964964e+02,2.52874543e-01
1.00000000e+00,1.73107505e+00,0.00000000e+00,2.04600006e-01,4.06249762e-02,1.38176848e+04,3.44311036e+05,2.83319145e+02,2.45204059e-01
1.00000000e+00,1.72794998e+00,0.00000000e+00,2.04600006e-01,4.37500477e-02,1.47911591e+04,4.09633726e+05,3.41305821e+02,2.50911964e-01
1.00000000e+00,1.72482502e+00,0.00000000e+00,2.04600006e-01,4.68750000e-02,1.64423046e+04,6.06524894e+05,5.42327365e+02,2.93814548e-01
1.00000000e+00,1.72169995e+00,0.00000000e+00,2.04600006e-01,5.00000715e-02,1.75203037e+04,7.53879479e+05,6.97847306e+02,3.28393319e-01
2.00000000e+00,1.72169995e+00,0.00000000e+00,2.04600006e-01,0.00000000e+00,1.01156370e+05,2.04770403e+06,1.25785504e+03,9.58560239e-01
2.00000000e+00,1.71910751e+00,0.00000000e+00,2.02916250e-01,3.09124647e-03,1.02503686e+05,2.07213234e+06,1.23629094e+03,9.55851563e-01
2.00000000e+00,1.71651495e+00,0.00000000e+00,2.01232493e-01,6.18259291e-03,1.04000214e+05,2.09192156e+06,1.20641167e+03,9.50675460e-01
2.00000000e+00,1.71392250e+00,0.00000000e+00,1.99548751e-01,9.27383126e-03,1.04124041e+05,2.08636034e+06,1.19439776e+03,9.46654337e-01
2.00000000e+00,1.71133006e+00,0.00000000e+00,1.97864994e-01,1.23650777e-02,1.04077854e+05,2.08468265e+06,1.18787120e+03,9.43905782e-01
2.00000000e+00,1.70873749e+00,0.00000000e+00,1.96181253e-01,1.54564161e-02,1.04045438e+05,2.08299717e+06,1.18200013e+03,9.41473916e-01
2.00000000e+00,1.70614505e+00,0.00000000e+00,1.94497496e-01,1.85476625e-02,1.04031249e+05,2.08108123e+06,1.17572880e+03,9.38965230e-01
2.00000000e+00,1.70355248e+00,0.00000000e+00,1.92813754e-01,2.16390009e-02,1.04039976e+05,2.07910016e+06,1.16906460e+03,9.36397373e-01
2.00000000e+00,1.70096004e+00,0.00000000e+00,1.91129997e-01,2.47302473e-02,1.04083943e+05,2.07720054e+06,1.16192886e+03,9.33787767e-01
2.00000000e+00,1.69836748e+00,0.00000000e+00,1.89446256e-01,2.78215856e-02,1.04160795e+05,2.07517332e+06,1.15415697e+03,9.31061546e-01
2.00000000e+00,1.69577503e+00,4.03896783e-28,1.87762499e-01,3.09128321e-02,1.04204985e+05,2.07405078e+06,1.15008462e+03,9.29648738e-01
2.00000000e+00,1.69318247e+00,0.00000000e+00,1.86078757e-01,3.40041704e-02,1.04409309e+05,2.07047144e+06,1.13642837e+03,9.25117146e-01
2.00000000e+00,1.69059002e+00,0.00000000e+00,1.84395000e-01,3.70954169e-02,1.04572289e+05,2.06745050e+06,1.12613323e+03,9.21718941e-01
2.00000000e+00,1.68799746e+00,-4.03896783e-28,1.82711244e-01,4.01867633e-02,1.04741615e+05,2.06364830e+06,1.11467194e+03,9.17861662e-01
2.00000000e+00,1.68540502e+00,4.03896783e-28,1.81027502e-01,4.32780017e-02,1.04907210e+05,2.05881544e+06,1.10196169e+03,9.13463669e-01
2.00000000e+00,1.68281245e+00,0.00000000e+00,1.79343745e-01,4.63693481e-02,1.05078708e+05,2.05291422e+06,1.08789979e+03,9.08513386e-01
2.00000000e+00,1.68022001e+00,0.00000000e+00,1.77660003e-01,4.94605865e-02,1.05260089e+05,2.04565848e+06,1.07214721e+03,9.02877992e-01
