x ch normalized_heat_flux
0.018014092 -0.0243276861 244173.765545639
0.0180145688 -0.0255931225 256874.783208249
0.018015366 -0.0257400777 258349.7531007
0.0180164818 -0.0243897326 244796.518054105
0.0180179179 -0.0235472284 236340.414906588
0.0180196725 -0.0236127526 236998.072629669
0.0180217456 -0.024458196 245483.676138574
0.0180241354 -0.0256075468 257019.557998251
0.0180268455 -0.0267432854 268418.816008142
0.0180298723 -0.0275289621 276304.549059444
0.0180332176 -0.0279238801 280268.288756897
0.0180368777 -0.0279569216 280599.921919258
0.0180408563 -0.0277534518 278557.722466478
0.0180451497 -0.0274456553 275468.409733741
0.0180497598 -0.0270796828 271795.192188767
0.0180522213 -0.02688972375 269888.59834555
0.0180546828 -0.0266997647 267982.004502333
0.0180599224 -0.0263358224 264329.163806055
0.0180654731 -0.0260073952 261032.783467951
0.0180713385 -0.0257158019 258106.100109073
0.0180775151 -0.0254612174 255550.869177573
0.0180840027 -0.0252439231 253369.915048006
0.0180908013 -0.0250678919 251603.113191847
0.0180979092 -0.0249295477 250214.570766705
0.0181053262 -0.0248190761 249105.781938743
0.0181130506 -0.0247079097 247990.019495139
0.0181210805 -0.0245693903 246599.718610785
0.0181294177 -0.024401797 244917.606840146
0.0181380603 -0.0242017377 242909.638124477
0.0181470066 -0.0239976533 240861.270012841
0.0181562547 -0.0238210279 239088.504249927
0.0181658026 -0.0236530751 237402.784225369
0.0181758022 -0.02348958795 235761.885338819
0.0181858018 -0.0233261008 234120.986452269
0.0181962494 -0.0231490135 232343.584660189
0.0182069931 -0.0229530688 230376.91364014
0.0182180312 -0.0227360912 228199.138186557
0.0182293635 -0.0225007012 225836.559911108
0.0182409901 -0.0222499315 223319.617622308
0.0182529055 -0.0219858475 220669.041466594
0.0182651132 -0.021711586 217916.315090402
0.0182776079 -0.0214279275 215069.27226893
0.0182903893 -0.0211350843 212130.04382918
0.0183034558 -0.0208358262 209126.42988716
0.0183168072 -0.0205328893 206085.892316441
0.0183304418 -0.0202300921 203046.756896131
0.0183443557 -0.0199307967 200042.768578949
0.0183585491 -0.0196348801 197072.692830172
0.0183657836 -0.0194884194 195602.686168772
0.0183730181 -0.0193419587 194132.679507372
0.0183877647 -0.0190509483 191211.846638645
0.0184027851 -0.0187606588 188298.249347805
0.0184180792 -0.0184727125 185408.170445236
0.0184336416 -0.01818919 182562.492637764
0.0184494741 -0.0179117061 179777.423459266
0.018465573 -0.017641468 177065.079416365
0.0184819363 -0.017376218 174402.800272975
0.0184985641 -0.0171129256 171760.16930169
0.0185154527 -0.0168512706 169133.972697491
0.0185326003 -0.0165909603 166521.272669217
0.0185500029 -0.016331166 163913.751664648
0.0185676627 -0.0160711501 161304.00649021
0.0185855739 -0.0158166364 158749.486168938
0.0186037328 -0.0155579122 156152.705616439
0.0186221395 -0.0153278364 153843.465263041
0.01864086 -0.0150712044 151267.683845033
0.0186595805 -0.0148145724 148691.902427025
0.0186786167 -0.0145989377 146527.605483005
0.0186978914 -0.0143709388 144239.210700023
0.0187174026 -0.0141398162 141919.463753572
0.0187371485 -0.0139086191 139598.969060481
0.0187571254 -0.0136855049 137359.601364895
0.0187773295 -0.0134713957 135210.615662471
0.018797759 -0.0132644549 133133.578242088
0.0188184138 -0.0130608464 131089.986675766
0.0188392866 -0.0128557133 129031.092901028
0.0188603774 -0.0126479864 126946.165498988
0.0188816823 -0.0124375103 124833.644740413
0.0189031977 -0.0122254826 122705.550777996
0.0189249236 -0.0120141832 120584.766666286
0.0189468563 -0.0118023688 118458.813567739
0.0189579232 -0.01169542035 117385.386130027
0.0189689901 -0.0115884719 116311.958692316
0.0189913251 -0.0113743907 114163.254022186
0.0190138556 -0.0111618303 112029.813420374
0.0190365836 -0.0109520704 109924.481066407
0.0190594997 -0.0107465563 107861.763245096
0.0190826058 -0.0105422735 105811.403818919
0.0191058982 -0.0103362827 103743.901422801
0.0191293713 -0.0101297386 101670.845627814
0.019153025 -0.00992365181 99602.3797927703
0.0191768538 -0.00971994828 97557.8344229154
0.0192008559 -0.00952052139 95556.2131227147
0.0192250293 -0.00932542328 93598.0392144474
0.0192493685 -0.00913427211 91679.4802205711
0.0192738716 -0.00894668885 89796.7318671415
0.0192985348 -0.00876021665 87925.1350758799
0.0193233564 -0.00857227016 86038.7410310149
0.01934840715 -0.00839062687 84215.611370303
0.0193734579 -0.00820898358 82392.4817095911
0.0193987321 -0.00803187583 80614.8746635673
0.0194241516 -0.00785404723 78830.0325415001
0.0194497108 -0.00767565519 77039.5352467258
0.0194754098 -0.0074977628 75254.0528728714
0.0195012428 -0.00732191186 73489.0602624751
0.0195272081 -0.00714820717 71745.6092792663
0.0195533 -0.00697660912 70023.3023629177
0.0195795167 -0.00680647325 68315.6711537053
0.0196058564 -0.0066370815 66615.5085784464
0.0196323115 -0.00646956777 64934.1954413661
0.019658884 -0.00630459981 63278.4338608357
0.0196855664 -0.00614236947 61650.1494099134
0.0197123569 -0.00598336663 60054.2589493221
0.0197392516 -0.00582661247 58480.9381922714
0.01975274925 -0.00574895949 57701.5455096093
0.0197662469 -0.00567130651 56922.1528269472
0.0197933391 -0.00551838428 55387.2926441394
0.0198205281 -0.00536875334 53885.4667034498
0.0198478047 -0.00522282952 52420.8486355521
0.0198751707 -0.00508108456 50998.1732323901
0.0199026205 -0.00494345324 49616.7858894559
0.0199301504 -0.00480973255 48274.6490222484
0.0199577566 -0.00467986334 46971.1689500463
0.0199854374 -0.00455373153 45705.2006669885
0.0200131871 -0.00442942791 44457.5816849944
0.0200410057 -0.00430489704 43207.6818248275
0.0200688876 -0.004181128 41965.4283515401
0.0200968292 -0.00405934453 40743.1037815468
0.0201248303 -0.00393830659 39528.2619974905
0.0201528836 -0.00381621113 38302.8060251599
0.0201809853 -0.00368615403 36997.4401258957
0.0202114256 -0.003553695395 35667.9703376865
0.0202418659 -0.00342123676 34338.5005494774
0.0202760268 -0.00334771886 33600.6111174854
0.0203116387 -0.00329573476 33078.8535860323
0.0203487631 -0.00325947232 32714.8922751918
0.0203874651 -0.00322842505 32403.2749353984
0.0204278119 -0.00319465902 32064.3697613207
0.0204698704 -0.00315525918 31668.9187819242
0.0205137152 -0.00310772588 31191.8333409948
0.0205594227 -0.0030619395 30732.2815048955
0.0206070691 -0.00302709546 30382.5564871256
0.0206567384 -0.00300144404 30125.0965796257
0.0207085144 -0.00298333075 29943.2958852423
0.0207624882 -0.00296681537 29777.5332020409
0.0208187513 -0.00294682384 29576.8808613681
0.0208774004 -0.00292476546 29355.4838207989
0.02090796735 -0.00291374908 29244.9138727889
0.0209385343 -0.0029027327 29134.3439247788
0.021002261 -0.00288063684 28912.5707024102
0.0210686885 -0.00285722688 28677.6080322665
0.0211379286 -0.00283164298 28420.8258140702
0.0212101042 -0.00280239782 28127.2960138322
0.0212853327 -0.00277055148 27807.658514208
0.0213637482 -0.00273748091 27475.7335801042
0.0214454811 -0.00270334515 27133.1174749514
0.0215306729 -0.00267189974 26817.5040566729
0.0216194671 -0.00264677452 26565.3255489289
0.0217120145 -0.00262896903 26386.6142024073
0.0218084734 -0.00261564692 26252.9019475574
