x ch normalized_heat_flux
0.0180144124 -0.0339861251 341114.239466127
0.0180163346 -0.0348731838 350017.530233226
0.0180195346 -0.0351361819 352657.207354362
0.0180240124 -0.0344857313 346128.720771193
0.0180297662 -0.0334555283 335788.709610558
0.0180367921 -0.0323130153 324321.457844479
0.0180450864 -0.0312329922 313481.408933979
0.0180546474 -0.030276956 303885.800128753
0.0180654675 -0.0294399448 295484.829495221
0.0180775411 -0.0286964271 288022.240747053
0.0180908628 -0.0280069895 281102.446804926
0.0181054268 -0.0273266099 274273.566809946
0.0181212239 -0.0266179889 267161.231620998
0.0181382466 -0.0258585326 259538.66925415
0.0181564875 -0.0250467099 251390.512261347
0.0181759354 -0.0241839774 242731.380344004
0.0181965791 -0.0232833046 233691.446657071
0.018218413 -0.0223648213 224472.751338909
0.0182414204 -0.0214465726 215256.410669897
0.0182655938 -0.0205425695 206183.051202638
0.0182909183 -0.0196617972 197342.856200315
0.0183173809 -0.0188125186 188818.75929661
0.0183449686 -0.0180012565 180676.22897181
0.0183736682 -0.0172288548 172923.735338523
0.0184034649 -0.0164961684 165569.8589149
0.018434342 -0.0158050731 158633.426857275
0.0184662845 -0.0151611567 152170.523174684
0.0184992757 -0.0145600438 146137.232556426
0.0185332987 -0.0140021294 140537.519565221
0.0185683351 -0.0134661347 135157.81170178
0.0186043698 -0.012977168 130250.117650045
0.018641863 -0.01254474375 125909.932685403
0.0186793562 -0.0121123195 121569.747720762
0.0187182669 -0.0117508201 117941.426088459
0.0187580995 -0.0113818785 114238.408079754
0.01879883 -0.0110091818 110497.700629347
0.0188404396 -0.0106349839 106741.925833228
0.0188829061 -0.0102629652 103008.023379086
0.0189262088 -0.00989544392 99319.2609342367
0.0189703256 -0.00953310356 95682.4986977179
0.0190152302 -0.00917554274 92093.7080715931
0.019060906 -0.00882167835 88542.0180241451
0.0191073231 -0.00847107638 85023.0724544462
0.019154463 -0.00812438317 81543.3585915316
0.0192022976 -0.00778301107 78117.0520054226
0.0192508064 -0.0074485587 74760.1978334772
