x ch normalized_heat_flux
0.0180150419 -0.031202415 379156.356623096
0.0180169381 -0.0268326979 312347.278520738
0.0180201065 -0.0244541392 263966.759113018
0.0180245433 -0.0231899098 240154.341808323
0.0180302449 -0.0223354641 233822.37809737
0.0180372111 -0.0217323191 240687.414402518
0.0180454366 -0.0214066524 257812.399280611
0.0180549184 -0.0213976428 279277.316696123
0.01806565 -0.0217007603 296350.497285542
0.0180776287 -0.0222344641 305321.632761345
0.0180908442 -0.0228169784 307951.073783011
0.0181052946 -0.023266349 306858.754953014
0.0181209706 -0.0234979391 303864.936491975
0.0181378648 -0.0235003829 299866.03112319
0.0181559706 -0.023306502 295360.889736925
0.0181752779 -0.0229661278 290638.41754628
0.01819578 -0.0225286465 285807.233532933
0.0182174668 -0.0220399182 280924.889597815
0.0182403289 -0.0215304662 275985.731973381
0.0182643589 -0.0210168585 270942.694274329
0.0182895437 -0.0205104575 265763.285654557
0.0183158759 -0.0200162716 260423.37898977
0.0183433443 -0.0195350852 254903.16702351
0.0183719378 -0.0190660376 249186.656509026
0.018401647 -0.0186077375 243285.952410543
0.0184324589 -0.018163288 237263.430849426
0.0184643641 -0.0177334324 231180.823078297
0.0184973478 -0.0173066966 224975.771543995
0.01853139975 -0.0168834087 218710.624766498
0.0185665023 -0.0164461024 212154.983437909
0.018602632 -0.0160561781 206103.792568046
0.0186399799 -0.01560577005 199686.607821275
0.0186773278 -0.015155362 193269.423074504
0.0187158808 -0.0147282565 187346.73773403
0.018755395 -0.0142885596 181090.588004692
0.018795846 -0.0138546778 174641.354535837
0.0188372135 -0.0134273274 168057.577358016
0.0188794713 -0.0130029339 161373.355725374
0.0189225972 -0.0125778951 154615.218584631
0.0189665668 -0.0121510178 147826.496097107
0.0190113559 -0.0117230089 141064.511824995
0.0190569405 -0.0112954546 134385.665436821
0.0191032961 -0.0108700804 127836.226390595
0.0191503987 -0.0104476921 121447.845948441
0.0191982221 -0.0100289546 115239.046145915
0.0192467421 -0.00961441733 109221.572276091
0.0192959309 -0.00920471828 103405.374337528
0.0193457678 -0.0088005783 97798.6371448682
0.0193962213 -0.00840211194 92402.794715578
0.0194472689 -0.00800994318 87220.6654020925
0.0194988828 -0.00762460288 82250.4688648283
0.0195510369 -0.00724611478 77483.6074727747
0.0196037032 -0.00687542558 72919.2493201567
0.0196568556 -0.00651351037 68556.2352993141
0.0197104663 -0.00616130047 64392.8408254634
0.0197645091 -0.00581956655 60425.7847963865
0.019818956 -0.00548889302 56651.4849034671
0.0198737793 -0.00516982796 53066.0337439458
0.0199289545 -0.00486268336 49664.4117297594
0.0199844539 -0.00456770603 46441.6646630372
0.0200402513 -0.00428541563 43397.8649597793
0.0200963281 -0.00401659263 40535.7585062366
0.0201526638 -0.00375072495 37733.6797477681
0.0202143453 -0.003519145655 35311.6927006889
0.0202760268 -0.00328756636 32889.7056536096
0.0203487631 -0.00315437024 31469.2023289751
0.0204278119 -0.00304959947 30361.277926239
0.0205137152 -0.00296028494 29403.3667052829
0.0206070691 -0.00288547762 28597.328848972
0.0207085144 -0.00281868526 27888.1141456357
0.0208187513 -0.00275260885 27203.8889844455
0.0209385343 -0.00268647051 26532.1252970198
0.0210686885 -0.00262159458 25884.6594610063
0.0212101042 -0.00255703717 25256.3573174974
0.0213637482 -0.00249113794 24630.534531219
0.0215306729 -0.00242327293 23996.9918881899
0.0217120145 -0.00235375157 23354.3353678625
0.0219090097 -0.0022849869 22725.9677839765
0.0221229922 -0.00221869745 22126.249234365
