x ch normalized_heat_flux
0.0180150419 -0.0459619425 473647.125231151
0.0180169381 -0.0353355035 370771.976931785
0.0180201065 -0.029057255 326184.043535967
0.0180245433 -0.0272545535 323078.521763823
0.0180302449 -0.0274977386 325797.157417208
0.0180372111 -0.0282122996 320719.384628447
0.0180454366 -0.0291162319 310787.160861603
0.0180549184 -0.029675955 298313.560553515
0.01806565 -0.0296677519 286580.258525654
0.0180776287 -0.0291503407 277188.856818515
0.0180908442 -0.0281999055 268762.403581714
0.0181052946 -0.0269955322 260853.890353757
0.0181209706 -0.0257897452 253875.561901355
0.0181378648 -0.0247764699 247948.450302249
0.0181559706 -0.0239870027 242436.819857828
0.0181752779 -0.0233918354 236895.482794388
0.01819578 -0.0229445305 231153.808849025
0.0182174668 -0.0226066988 225178.650764492
0.0182403289 -0.0223437734 219008.531544349
0.0182643589 -0.0221191477 212663.462695309
0.0182895437 -0.0218901988 206128.255425562
0.0183158759 -0.0216168948 199385.532404308
0.0183433443 -0.0212718509 192482.731882795
0.0183719378 -0.0208454486 185508.90898028
0.018401647 -0.020345116 178567.970369081
0.0184324589 -0.0197832622 171727.116892841
0.0184643641 -0.0191779416 165042.717607642
0.0184973478 -0.0185329001 158472.835469391
0.01853139975 -0.0178536884 151993.769418829
0.0185665023 -0.0171343274 145473.027282735
0.018602632 -0.0164530873 139576.941147056
0.0186399799 -0.0157540799 133794.233475692
0.0186773278 -0.0150550725 128011.525804328
0.0187158808 -0.0144093949 123052.424923879
0.018755395 -0.0137597304 118120.506691342
0.018795846 -0.0131212315 113327.754998455
0.0188372135 -0.012498253 108695.15462699
0.0188794713 -0.0118944719 104235.227372286
0.0189225972 -0.0113126496 99954.2781938606
0.0189665668 -0.0107540144 95849.3855100958
0.0190113559 -0.0102187842 91909.7994342665
0.0190569405 -0.00970656704 88121.050567051
0.0191032961 -0.00921673141 84468.8040533384
0.0191503987 -0.00874892157 80942.0977266532
0.0191982221 -0.0083026085 77530.8172849143
0.0192467421 -0.00787729304 74227.0268779792
0.0192959309 -0.00747236749 71024.4285219525
0.0193457678 -0.00708711473 67917.6846608038
0.0193962213 -0.00672056852 64901.8435556949
0.0194472689 -0.00637218729 61977.3047241426
0.0194988828 -0.00604127906 59144.5145558356
0.0195510369 -0.00572675187 56400.0658353136
0.0196037032 -0.00542790443 53744.706409585
0.0196568556 -0.00514379237 51177.21875642
0.0197104663 -0.00487314351 48692.6065231037
0.0197645091 -0.00461454643 46284.2026701173
0.019818956 -0.00436673034 43945.6507488112
0.0198737793 -0.00412875554 41673.0108871591
0.0199289545 -0.003900107 39466.0867138457
0.0199844539 -0.00368063501 37327.1040548246
0.0200402513 -0.0034706241 35263.4382513646
0.0200963281 -0.00327118533 33287.4806195255
0.0201526638 -0.00307159894 31291.4222030339
0.0202143453 -0.00289952231 29570.4712925965
0.0202760268 -0.00272744568 27849.5203821591
0.0203487631 -0.00264043431 26977.745810272
0.0204278119 -0.00257603591 26336.3792281746
0.0205137152 -0.00252599409 25831.0383989198
0.0206070691 -0.00248669786 25425.0854434295
0.0207085144 -0.00245435932 25081.6654353624
0.0208187513 -0.00242317514 24744.9031325274
0.0209385343 -0.00239113905 24393.0597836563
0.0210686885 -0.00235894416 24031.0007101566
0.0212101042 -0.00232694135 23664.4010079177
0.0213637482 -0.00229434855 23287.8765498433
0.0215306729 -0.00225957157 22884.7641282657
0.0217120145 -0.00222063507 22434.5493392168
0.0219090097 -0.00217824639 21943.2006562271
0.0221229922 -0.00213347166 21423.1303724099
0.0223554168 -0.0020848189 20865.0692397556
0.0226078518 -0.00203164131 20266.5939569396
0.0228819996 -0.00197567395 19647.0346779163
0.0231797025 -0.00191838585 19029.4845288744
0.0235029534 -0.00185749331 18400.2551795322
0.0238539111 -0.00179172482 17741.4560136776
0.0242349096 -0.0017243562 17078.3954949261
0.0246484708 -0.00165786163 16440.7854614673
0.0250973199 -0.00159054471 15818.655038059
0.0255844016 -0.00152211287 15199.5338683085
0.0261128936 -0.00145664439 14608.908821154
0.0266862232 -0.00139731728 14078.1169043945
0.0273080822 -0.00134212128 13598.9906671664
0.027982451 -0.00128849968 13140.0773765867
0.0287136119 -0.00123821222 12697.3908906695
0.0295061674 -0.00119665149 12319.4368815361
0.0304008862 -0.00117180491 12068.2021906413
0.031295605 -0.00114695833 11816.9674997465
0.0323034823 -0.00111967581 11529.9447513572
0.0333947837 -0.00109232683 11222.9486363501
0.03457601 -0.00106754201 10929.8862530385
0.0358541161 -0.00104731834 10682.7612579705
0.0372364931 -0.00103093486 10490.1220513211
0.0387310162 -0.00101384067 10313.6728140298
0.0403460413 -0.000994827482 10133.7076720386
0.0420904085 -0.00097657321 9961.79027119046
0.0439734645 -0.000960897596 9806.13028745107
0.0460050628 -0.00094765157 9664.96312406405
0.0481955446 -0.000936450029 9535.49501390143
0.0505557396 -0.000926131441 9410.57011697143
0.0530969501 -0.000915646087 9281.75429280032
0.0558309145 -0.000904562708 9146.52311862185
0.0587697774 -0.000891877629 8998.50331897782
0.0619260333 -0.000877245038 8838.42808203143
0.0653124675 -0.000860930071 8674.70057950127
0.0689420775 -0.000844548107 8521.37515612128
0.0728279725 -0.000829816679 8389.62770342661
0.076983273 -0.000817339285 8281.46590107113
0.0814209655 -0.000807131466 8195.04039596967
0.086153768 -0.000798579655 8119.94763857094
0.0911939517 -0.000791136001 8046.97444178976
0.0965531468 -0.000783286931 7965.65094750874
0.102242149 -0.000773989945 7870.45888589551
0.108270667 -0.000763634045 7767.51273177598
0.11464712 -0.000752866908 7662.27116609929
0.121378347 -0.000742672302 7558.88947214507
0.128469378 -0.000732623972 7446.49118323227
0.135923132 -0.000723461097 7332.24996482957
0.1439208535 -0.000710290013 7166.32987343287
0.151918575 -0.000697118929 7000.40978203618
0.160453424 -0.000679283519 6786.6149811842
0.16933693 -0.000656602671 6541.79738169329
0.178558066 -0.000630777038 6294.91922832974
0.188102499 -0.000605442154 6076.2753858695
0.197952598 -0.000583959743 5913.85186816562
0.20808737 -0.000568223302 5822.69152595442
0.218482539 -0.00056047854 5800.8357598648
0.229110733 -0.000560967659 5817.69233280615
0.239941671 -0.000565488474 5826.07943549966
0.250942498 -0.000567595707 5791.39442975955
0.262078047 -0.000563557493 5702.74391169061
0.273311466 -0.000554089551 5570.79724222844
0.28460446 -0.000540942827 5409.57196091331
0.295917958 -0.000525275653 5230.94210873859
0.307212591 -0.000507933844 5047.72668774978
0.318449229 -0.000489941915 4872.64832598922
0.329589576 -0.000472706597 4715.79025641408
0.340596676 -0.000457529124 4581.87884501783
0.351435304 -0.000444974081 4471.77698640424
0.362072468 -0.000434687274 4383.0889304503
0.372477829 -0.000426247367 4312.83470605942
0.382623851 -0.000419496384 4258.24961789073
0.392486155 -0.000414303417 4216.08861113622
0.402043581 -0.000410451408 4182.75593781384
0.411278367 -0.000407615822 4154.82878015269
0.420176059 -0.00040541566 4129.8328194298
0.428725481 -0.000403457496 4105.46051453346
0.436918706 -0.000401615252 4081.53513629815
0.444750726 -0.000399590179 4055.90792183989
