x ch normalized_heat_flux
0.0180150419 -0.0484192967 485978.072543058
0.0180169381 -0.040276356 404248.45447906
0.0180201065 -0.0390270725 391709.561335867
0.0180245433 -0.0397282317 398747.003425806
0.0180302449 -0.0411489531 413006.596080994
0.0180372111 -0.0426880904 428454.713451793
0.0180454366 -0.0445177034 446818.296978187
0.0180549175 -0.0461043417 462743.17559909
0.01806565 -0.046722874 468951.30242964
0.0180776287 -0.0463365056 465073.373935822
0.0180908442 -0.0453998037 455671.820940745
0.0181052946 -0.0442883894 444516.702710562
0.0181209706 -0.0432003066 433595.759657888
0.0181378648 -0.0421890132 423445.541649713
0.0181559697 -0.0412622504 414143.746085867
0.0181752779 -0.0404037051 405526.640540736
0.01819578 -0.039594505 397404.806237024
0.0182174668 -0.0388132147 389563.098901969
0.0182403289 -0.0380386002 381788.395687953
0.0182643589 -0.0372529998 373903.428449652
0.0182895437 -0.0364439711 365783.314465055
0.0183158759 -0.0356076583 357389.353579889
0.0183433443 -0.0347462669 348743.682105748
0.0183719378 -0.0338650271 339898.7948678
0.018401647 -0.0329677984 330893.42915673
0.0184324589 -0.0320618004 321800.047142202
0.0184643641 -0.0311590843 312739.605123605
0.0184973478 -0.0302623697 303739.399366192
0.0185313988 -0.0293838605 294921.918799042
0.0185665023 -0.0284792949 285842.913593732
0.018602632 -0.0276458208 277477.444364755
0.0186399799 -0.02666176205 267600.576934044
0.0186773278 -0.0256777033 257723.709503334
0.0187158808 -0.0247557703 248470.39000285
0.018755395 -0.0238277968 239156.442803343
0.018795846 -0.0228962768 229806.899852726
0.0188372135 -0.0219627563 220437.278148382
0.0188794713 -0.0210336652 211112.113745593
0.0189225972 -0.0201146267 201887.845958513
0.0189665668 -0.0192102529 192810.765824418
0.0190113559 -0.0183202457 183877.881353061
0.0190569405 -0.0174433533 175076.628393522
0.0191032961 -0.0165824778 166436.1349394
0.0191503987 -0.0157413185 157993.530375182
0.0191982221 -0.0149230231 149780.40774916
0.0192467421 -0.0141294114 141815.032153078
0.0192959309 -0.0133607127 134099.705040688
0.0193457678 -0.0126169519 126634.676329995
0.0193962213 -0.0118984208 119422.874778977
0.0194472689 -0.0112069277 112482.450055401
0.0194988828 -0.0105438037 105826.762233793
0.0195510369 -0.00990934018 99458.7358566462
0.0196037032 -0.00930418074 93384.8306519794
0.0196568556 -0.00872797053 87601.4850373078
0.0197104663 -0.00817988534 82100.4265259479
0.0197645091 -0.00765863899 76868.7458994694
0.019818956 -0.00716313347 71895.4225768271
0.0198737793 -0.00669263257 67173.0673156906
0.0199289545 -0.0062463861 62694.1505583197
0.0199844539 -0.00582424132 58457.13927355
0.0200402513 -0.00542586669 54458.7058382817
0.0200963281 -0.00505532045 50739.582270275
0.0201526638 -0.00468885386 47061.4056093648
0.0202143453 -0.004378161625 43943.0287676914
0.0202760268 -0.00406746939 40824.6519260179
0.0203487631 -0.00387179223 38860.6661695396
0.0204278119 -0.00372913037 37428.787962432
0.0205137152 -0.00359725743 36105.1967174194
0.0206070691 -0.00348116644 34940.0068157698
0.0207085144 -0.00337641034 33888.5837048445
0.0208187513 -0.00327493972 32870.1365218364
0.0209385343 -0.00317731593 31890.2994623992
0.0210686885 -0.00308575411 30971.3055935325
0.0212101042 -0.00299854972 30096.0466728573
0.0213637482 -0.00291263591 29233.7411328301
0.0215306729 -0.00282688602 28373.0808361477
0.0217120145 -0.00274050259 27506.061782336
0.0219090097 -0.00265319296 26629.7465817097
0.0221229922 -0.00256748567 25769.513855589
0.0223554168 -0.00248478912 24939.499528368
0.0226078518 -0.00240222365 24110.8008337583
0.0228819996 -0.00231825444 23268.0129865576
0.0231797025 -0.00223707478 22453.2234835019
0.0235029534 -0.00215974567 21677.0814411647
0.0238539111 -0.00208168081 20893.5547734561
0.0242349096 -0.00200170954 20090.8937208964
0.0246484708 -0.00192738406 19344.89871533
0.0250973199 -0.00186359044 18704.6105946613
0.0255844016 -0.00180503202 18116.8674834986
0.0261128936 -0.00174488535 17513.1833172955
0.0266862232 -0.00167892466 16851.1446018548
0.0273080822 -0.00160812051 16140.4927194401
0.027982451 -0.00154207437 15477.596353659
0.0287136119 -0.00148680259 14922.8408131799
0.0295061674 -0.0014406055 14459.1667351692
0.0304008862 -0.00140483299 14100.122786895
0.031295605 -0.00136906048 13741.0788386208
0.0323034823 -0.00134095515 13458.9893612331
0.0333947837 -0.00131458463 13194.3119422081
0.03457601 -0.00128216529 12868.9233174222
0.0358541161 -0.00124333065 12479.1451756198
0.0372364931 -0.00120793853 12123.9191514299
