x ch normalized_heat_flux
0.0180163328 -0.0252441652 253372.344973663
0.0180240124 -0.0253229123 254162.719193955
0.0180367921 -0.0256070606 257014.678073201
0.0180546474 -0.0253003631 253936.395858008
0.0180775411 -0.0247750785 248664.183850753
0.0181054268 -0.0241452623 242342.80200936
0.0181382466 -0.023439005 235254.190964469
0.0181759335 -0.0226982553 227819.384265948
0.0182184111 -0.0219103992 219911.776865296
0.0182655919 -0.0211049374 211827.46338391
0.0183173809 -0.0203194208 203943.337235118
0.0183736682 -0.01952173 195937.020252217
0.0184343401 -0.0186507143 187194.75095278
0.0184992738 -0.017718887 177842.123672735
0.0185683351 -0.0168393422 169014.248925449
0.018643301 -0.015819781 158781.048102941
0.0187182669 -0.0148002198 148547.847280434
0.01879883 -0.0138507355 139017.999028344
0.0188829061 -0.0128679397 129153.807659629
0.0189703256 -0.0118716275 119153.953973048
0.019060906 -0.0108798407 109199.521127318
0.019154463 -0.00991266128 99492.069297789
0.0192508064 -0.00898670033 90198.3217962657
0.0193497371 -0.00810880307 81386.9831899032
0.019451052 -0.00728235021 73091.9852175246
0.0195545442 -0.0065092803 65332.7848489072
0.0196600035 -0.00578945968 58108.0405563212
0.0197672118 -0.00512601528 51449.1369223185
0.0198759492 -0.00452121207 45378.8071510136
0.0199859943 -0.00397425564 39889.0778543791
0.0200971197 -0.00347519689 34880.0912325071
0.0202229414 -0.003089183705 31005.7279846306
0.0203487631 -0.00270317052 27131.3647367542
0.0205137152 -0.00253439508 25437.3879833949
0.0207085144 -0.00239535235 24041.8345050949
0.0209385343 -0.00227690558 22852.9999513796
0.0212101042 -0.00216266327 21706.3650062118
0.0215306729 -0.00204427377 20518.1052639067
0.0219090097 -0.00192898791 19360.9963455058
0.0223554168 -0.00181572512 18224.1927129357
0.0228819996 -0.00169596716 17022.1979187303
0.0235029534 -0.00157220487 15780.0121942996
0.0242349096 -0.00145550328 14608.6937812647
0.0250973199 -0.00134803203 13530.0190691474
0.0261128936 -0.0012422842 12468.6420954705
0.0273080822 -0.00113569433 11398.81367776
0.0287136119 -0.00103205559 10358.6053612689
0.0305085471 -0.000946823159 9503.1387320822
0.0323034823 -0.000861590728 8647.67210289551
0.03457601 -0.000795643951 7985.77303039438
0.0372364931 -0.000734518864 7372.26862225855
0.0403460413 -0.000677094329 6795.90616476789
0.0439734645 -0.000623455853 6257.5438803643
0.0481955446 -0.000571798242 5739.06327579246
0.0530969501 -0.000523836119 5257.67379516804
0.0587697774 -0.000480837305 4826.10039006822
0.0653124675 -0.000441171549 4427.98044697447
0.0728279725 -0.000403074722 4045.6076366014
0.0814209655 -0.000366131106 3674.8094524045
0.0911939517 -0.000331220392 3324.41523652111
0.102242149 -0.000298982195 3000.84472005131
0.11464712 -0.000269437645 2704.30998200849
0.128469378 -0.00024268392 2435.78638511686
0.144461401 -0.0002203082915 2211.20516334192
0.160453424 -0.000197932663 1986.62394156697
0.178558066 -0.000179705399 1803.67930523041
0.197952598 -0.000164007943 1646.1260169624
0.218482539 -0.000150539316 1510.94319037539
0.239941671 -0.000139043201 1395.55820566467
0.262078047 -0.000129308522 1297.85252095476
0.28460446 -0.000121142381 1215.89004455029
0.307212591 -0.000114341463 1147.63013070558
0.329589576 -0.00010866607 1090.66696231937
0.351435304 -0.000103859078 1042.41981983475
0.372477829 -9.96921299e-05 1000.59671326276
0.392486155 -9.59858444e-05 963.397216236929
0.411278367 -9.26476932e-05 929.892634456556
0.428725481 -8.96081838e-05 899.385480896671
0.444750726 -8.6931439e-05 872.519347614036
0.4588992895 -8.44588867e-05 847.70266742843
0.473047853 -8.19863344e-05 822.885987242822
0.486770242 -7.98958863e-05 801.904436340013
0.500492632 -7.78398025e-05 781.267795368088
0.514214993 -7.58981841e-05 761.780028466134
0.527937412 -7.41140539e-05 743.872949783559
0.541659772 -7.25259961e-05 727.933823829031
0.555382192 -7.11670364e-05 714.294125182402
0.569104552 -7.00614764e-05 703.197765786486
0.582826912 -6.92250906e-05 694.803072209981
0.596549332 -6.86661806e-05 689.193366513346
0.610271692 -6.8386049e-05 686.381722720379
0.623994112 -6.83778999e-05 686.299931282236
0.637716472 -6.86249332e-05 688.779371818759
0.651438892 -6.91001478e-05 693.549037862924
0.665161252 -6.97643118e-05 700.215164026886
0.678883642 -7.06314204e-05 708.918218280739
0.692606032 -7.1498529e-05 717.621272534592
0.706328392 -7.24794663e-05 727.466810384785
0.720050812 -7.34861023e-05 737.570282685581
0.733773172 -7.44893114e-05 747.639359644637
0.747495592 -7.54665161e-05 757.44743388265
0.761217952 -7.64028155e-05 766.8449470385
0.774940372 -7.72902131e-05 775.751639300045
0.788662732 -7.81248818e-05 784.129098571113
0.802385092 -7.89053811e-05 791.962866743859
0.816107512 -7.96319437e-05 799.255279397384
0.829829872 -8.03064395e-05 806.025104470502
0.843552291 -8.09312914e-05 812.296660289834
0.857274652 -8.15086751e-05 818.091784068321
0.870997071 -8.20412388e-05 823.437055438865
0.884719431 -8.25297975e-05 828.340654448599
0.898441821 -8.29675155e-05 832.733972081348
0.912164211 -8.34052335e-05 837.127289714097
0.925886571 -8.38000997e-05 841.090509501806
0.939608991 -8.4172425e-05 844.827489259569
0.953331351 -8.45269897e-05 848.386208225799
0.967053771 -8.48660638e-05 851.789450090055
0.980776131 -8.51887744e-05 855.028453670568
0.994498551 -8.54930549e-05 858.082476776658
1.00822091 -8.57769191e-05 860.931584181805
1.02194333 -8.60380023e-05 863.552041705084
1.03566563 -8.6274129e-05 865.922014140928
1.04938805 -8.64849208e-05 868.03770353862
1.06311047 -8.66693736e-05 869.889031879355
1.07683289 -8.68314382e-05 871.515652819833
1.09055519 -8.69720607e-05 872.927062240536
1.10427761 -8.71306984e-05 874.519287839275
