x pp_inf
0.018014092 66.6964951
0.0180145688 66.6381912
0.018015366 66.5049286
0.0180164818 66.3607101
0.0180179179 66.3004684
0.0180196725 66.187088
0.0180217456 66.1073608
0.0180241354 66.0678177
0.0180268455 66.0175018
0.0180298723 65.9748688
0.0180332176 65.9439468
0.0180368777 65.8893661
0.0180408563 65.8280182
0.0180451497 65.7471848
0.0180497598 65.6227341
0.0180546828 65.4481506
0.0180599224 65.2274933
0.0180654731 64.9588013
0.0180713385 64.6464691
0.0180775151 64.2970963
0.0180840027 63.9295921
0.0180908013 63.570034
0.0180979092 63.2200241
0.0181053262 62.8716774
0.0181130506 62.5003586
0.0181210805 62.0867081
0.0181294177 61.6340981
0.0181380603 61.1429405
0.0181470066 60.633316
0.0181562547 60.1272392
0.0181658026 59.6228523
0.0181758022 59.0908661
0.0181858018 58.5588799
0.0181962494 57.9964485
0.0182069931 57.4207878
0.0182180312 56.827961
0.0182293635 56.2219543
0.0182409901 55.6071091
0.0182529055 54.9838371
0.0182651132 54.3522377
0.0182776079 53.7108307
0.0182903893 53.0580673
0.0183034558 52.3949623
0.0183168072 51.7228203
0.0183304418 51.0450058
0.0183443557 50.3647842
0.0183585491 49.6823387
0.0183730181 48.9977188
0.0183877647 48.3074265
0.0184027851 47.6078072
0.0184180792 46.9008446
0.0184336416 46.1889954
0.0184494741 45.4756889
0.018465573 44.7637405
0.0184819363 44.0501175
0.0184985641 43.3314438
0.0185154527 42.6073456
0.0185326003 41.8784523
0.0185500029 41.1458168
0.0185676627 40.4099579
0.0185855739 39.6773987
0.0186037328 38.9465714
0.0186221395 38.230957
0.01864086 37.47281645
0.0186595805 36.7146759
0.0186786167 35.9850388
0.0186978914 35.2513046
0.0187174026 34.5295219
0.0187371485 33.8196449
0.0187571254 33.1287537
0.0187773295 32.4486961
0.018797759 31.771265
0.0188184138 31.0905018
0.0188392866 30.4024086
0.0188603774 29.7093391
0.0188816823 29.0157127
0.0189031977 28.3258476
0.0189249236 27.6431351
