x pp_inf
0.0180144124 67.2854691
0.0180163346 66.9334412
0.0180195346 66.5643082
0.0180240124 66.0722656
0.0180297662 65.5205765
0.0180367921 64.9102707
0.0180450864 64.2436447
0.0180546474 63.5084686
0.0180654675 62.711071
0.0180775411 61.8552628
0.0180908628 60.9348526
0.0181054268 59.9531288
0.0181212239 58.9123192
0.0181382466 57.8096275
0.0181564875 56.649704
0.0181759354 55.4332581
0.0181965791 54.1677551
0.018218413 52.8626022
0.0182414204 51.5223503
0.0182655938 50.1503029
0.0182909183 48.7483864
0.0183173809 47.3214569
0.0183449686 45.8763466
0.0183736682 44.4171104
0.0184034649 42.9509773
0.018434342 41.4866295
0.0184662845 40.0304337
0.0184992757 38.5793419
0.0185332987 37.1452904
0.0185683351 35.7149925
0.0186043698 34.3208199
0.018641863 32.9361029
0.0186793562 31.5513859
0.0187182669 30.1902943
0.0187580995 28.8321743
0.01879883 27.4882774
0.0188404396 26.1720047
0.0188829061 24.8915119
0.0189262088 23.6468868
0.0189703256 22.4349442
0.0190152302 21.2529964
0.019060906 20.1004925
0.0191073231 18.9802876
0.019154463 17.8967552
0.0192022976 16.85392
0.0192508064 15.8540077
0.0192999598 14.8972778
0.0193497371 13.9827681
0.0194001086 13.1087656
0.019451052 12.2741671
0.0195025392 11.4779558
0.0195545442 10.719223
0.0196070429 9.99770069
0.0196600035 9.31326675
0.0197134018 8.66571331
0.0197672118 8.05445862
0.0198214035 7.47859287
0.0198759492 6.93694687
0.0199308228 6.42828369
0.0199859943 5.95118237
0.020041436 5.5042696
0.0200971197 5.08648157
0.0201530177 4.7083993
0.02021452225 4.478105785
0.0202760268 4.24781227
0.0203487631 4.14657831
0.0204278119 4.06978035
0.0205137152 4.01090288
0.0206070691 3.95712805
0.0207085144 3.90839243
0.0208187513 3.86235809
0.0209385343 3.81621861
0.0210686885 3.76881862
0.0212101042 3.71946955
0.0213637482 3.66760492
0.0215306729 3.61260796
0.0217120145 3.55354691
0.0219090097 3.489995
0.0221229922 3.42291045
0.0223554168 3.35382533
0.0226078518 3.28361487
0.0228819996 3.21175432
0.0231797025 3.13654423
0.0235029534 3.05685616
0.0238539111 2.97435069
0.0242349096 2.89248586
0.0246484708 2.81293511
0.0250973199 2.73489642
0.0255844016 2.65700173
0.0261128936 2.57846141
0.0266862232 2.49912572
0.0273080822 2.41948605
0.027982451 2.34110832
0.0287136119 2.26569033
0.0295061674 2.19516253
0.0304008862 2.133343695
0.031295605 2.07152486
0.0323034823 2.00955606
0.0333947837 1.94605768
0.03457601 1.88411534
0.0358541161 1.8295989
0.0372364931 1.78613067
0.0387310162 1.75000381
0.0403460413 1.71860945
0.0420904085 1.69380856
0.0439734645 1.67345452
0.0460050628 1.65271342
0.0481955446 1.62927544
0.0505557396 1.60554361
0.0530969501 1.58893359
0.0558309145 1.58394623
0.0587697774 1.58745551
0.0619260333 1.59416771
0.0653124675 1.60020936
0.0689420775 1.60436976
0.0728279725 1.60827935
0.076983273 1.61458731
0.0814209655 1.62475383
0.086153768 1.63844001
0.0911939517 1.65418136
0.0965531468 1.67014492
0.102242149 1.68501902
0.108270667 1.69834018
0.11464712 1.71024418
0.121378347 1.72113121
0.128469378 1.73128533
0.135923132 1.74112964
0.1439208535 1.75014836
0.151918575 1.75916708
0.160453424 1.76670122
0.16933693 1.77378106
0.178558066 1.78046906
0.188102499 1.78681242
0.197952598 1.7928232
0.20808737 1.79849792
0.218482539 1.8038224
0.229110733 1.80877602
0.239941671 1.81335163
0.250942498 1.8175844
0.262078047 1.82154882
0.273311466 1.82530415
0.28460446 1.82884634
0.295917958 1.83210731
0.307212591 1.83499885
0.318449229 1.83747292
0.329589576 1.83954406
0.340596676 1.84127688
0.351435304 1.84275997
0.362072468 1.84407747
0.372477829 1.84529006
0.382623851 1.84642756
0.392486155 1.8474921
0.402043581 1.84847283
0.411278367 1.84935808
0.420176059 1.85015488
0.428725481 1.85086977
0.436918706 1.8515327
0.444750726 1.85216594
0.452219486 1.85282993
0.4592030645 1.85316306
0.466186643 1.85349619
0.473047853 1.85405886
0.479909033 1.85457766
0.486770242 1.85504961
0.493631423 1.85544884
0.500492632 1.85576034
0.507353783 1.85598993
0.514214993 1.85615754
0.521076202 1.85628617
0.527937412 1.85639453
0.534798563 1.8564961
0.541659772 1.85659945
0.548520982 1.85670877
0.555382192 1.85682535
0.562243342 1.85694802
0.569104552 1.85707414
0.575965762 1.8572005
0.582826912 1.857324
0.589688122 1.85744214
0.596549332 1.85755217
0.603410542 1.85765016
0.610271692 1.8577292
0.617132902 1.85778034
0.623994112 1.85779583
0.630855262 1.85777438
0.637716472 1.857728
0.644577682 1.85768306
0.651438892 1.85767543
0.658300042 1.85774243
0.665161252 1.85789442
0.672022462 1.85815895
0.678883642 1.85848463
0.685744822 1.85881031
0.692606032 1.85897148
0.699467242 1.85901737
0.706328392 1.85893416
0.713189602 1.85873532
0.720050812 1.85845554
0.726911962 1.85813856
0.733773172 1.85782135
0.740634382 1.8575238
0.747495592 1.85724604
0.754356742 1.85697448
0.761217952 1.85669518
0.768079162 1.85640717
0.774940372 1.85613346
0.781801522 1.85592079
0.788662732 1.85583067
0.795523942 1.85592079
0.802385092 1.85622418
0.809246302 1.85673356
0.816107512 1.8573966
0.822968721 1.85812438
0.829829872 1.85881162
0.836691082 1.85936093
0.843552291 1.85970533
0.850413442 1.85981929
0.857274652 1.85972035
0.864135861 1.85945904
0.870997071 1.85910201
0.877858222 1.85871768
0.884719431 1.8583529
0.891580641 1.85806823
0.898441821 1.857899785
0.905303001 1.85773134
0.912164211 1.85756946
0.919025421 1.85742497
0.925886571 1.85727918
0.932747781 1.85711515
0.939608991 1.85692132
0.946470201 1.85669255
0.953331351 1.85643029
0.960192561 1.85614276
0.967053771 1.85584605
0.973914921 1.85556519
0.980776131 1.85533285
0.987637341 1.85518658
0.994498551 1.85516346
1.0013597 1.85529304
1.00822091 1.85559011
1.01508212 1.85604894
1.02194333 1.85664046
1.02880454 1.85731494
1.03566563 1.8580085
1.04252684 1.85865247
1.04938805 1.85918486
1.05624926 1.85955918
1.06311047 1.85975242
1.06997168 1.85976315
1.07683289 1.85961497
1.08369398 1.85934365
1.09055519 1.85898924
1.0974164 1.85863769
1.10427761 1.8580693
1.11113882 1.85764766
1.118744255 1.45582062
1.12634969 1.05399358
1.13456452 0.975634158
1.14264703 0.933626592
1.15059936 0.901906669
1.15842354 0.876550674
1.16612196 0.855369031
1.1736964 0.83722198
1.18114924 0.821367383
1.1884824 0.807271957
1.1956979 0.794554949
1.20279765 0.782957733
1.20978367 0.772309959
1.21665788 0.762497723
1.22342205 0.753439128
1.23007822 0.745068729
1.23662806 0.737330019
1.24307346 0.730172634
1.24941611 0.723551631
1.25565791 0.717426956
1.26180029 0.711763084
1.26784515 0.706528485
1.27379405 0.701694489
1.27964866 0.697234988
1.28541064 0.693125665
1.29108143 0.689343691
1.29666269 0.685867846
1.30215597 0.682677329
1.30756259 0.679753959
1.31288421 0.677077055
1.31812239 0.674639344
1.32327819 0.672384918
1.32831371 0.6703988015
1.33334923 0.668412685
1.33826709 0.666762471
1.3431083 0.665270925
1.34787416 0.663923681
1.352566 0.662710845
1.35718524 0.661623895
1.36173296 0.660654008
1.36621046 0.659792662
1.37061894 0.659031928
1.37495971 0.658364415
1.37923396 0.657783091
1.38344264 0.657281399
1.38758719 0.656853378
1.39166856 0.656493187
1.39568794 0.656195641
1.3996464 0.655955851
1.40354514 0.655769229
1.40738499 0.655631483
1.41116726 0.655538738
1.41489279 0.655487239
1.41856265 0.65547365
1.42217791 0.65549475
1.42573953 0.655547619
1.42924857 0.655629516
1.43270576 0.655737936
1.43611228 0.655870557
1.43946886 0.656024754
1.44277668 0.656199574
1.44603634 0.656390846
1.44924903 0.656606138
1.45241535 0.656800866
1.455514135 0.656987637
1.45861292 0.657174408
1.46164584 0.657447457
1.46463585 0.657730043
1.46758378 0.658018231
1.47049057 0.658311129
1.47335696 0.65860939
1.47618377 0.658912361
1.47897172 0.659219265
1.48172152 0.659529746
1.48443401 0.659843266
1.4871099 0.660159409
1.48974991 0.660477698
1.49235487 0.660797715
1.49492526 0.661119103
1.49746203 0.661441505
1.49996579 0.661764562
1.50243723 0.662088096
1.50487697 0.662411749
1.50728571 0.662735283
1.50966418 0.663058579
1.51201296 0.663381398
1.51433265 0.66370362
1.51662397 0.664025009
1.51888752 0.664345562
1.52112389 0.664665103
1.52333367 0.664983571
1.52551758 0.665300488
1.52767622 0.66561687
1.52981007 0.665930748
1.53191972 0.66624856
1.53400576 0.666534126
1.53605765 0.6667966845
1.53810954 0.667059243
1.54012823 0.667377114
1.5421257 0.667692244
1.54410231 0.668004334
1.54605865 0.668313384
1.54799533 0.668620408
1.54991281 0.668925464
1.5518117 0.669228494
1.55369246 0.669529676
1.55555546 0.66982913
1.55740154 0.670127034
1.5592308 0.670423329
1.5610441 0.670718193
1.56284177 0.671011686
1.56462443 0.671303809
1.5663923 0.67159462
1.56814611 0.671884298
1.56988633 0.672172785
1.57161331 0.672460139
1.57332754 0.672746539
1.57502961 0.673031926
1.57671976 0.673316419
1.5783987 0.673600078
1.5800668 0.673882902
1.58172452 0.67416507
1.58337235 0.674446642
1.58501053 0.674727261
1.58663976 0.675007761
1.58826041 0.675287664
1.58987296 0.675569117
1.59147775 0.675835788
1.593071875 0.6760951575
1.594666 0.676354527
1.5962503 0.676637471
1.59782863 0.676918507
1.59940147 0.677198589
1.6009692 0.677479923
1.60253227 0.677757204
1.60409105 0.678060591
1.60564613 0.678575993
1.60719776 0.679998159
1.60874641 0.688435972
1.61029255 0.764765143
1.61183655 0.979753792
1.61337888 1.27924573
1.61492002 1.59138417
1.6164602 1.73997009
1.61800003 2.14329171
1.61929619 2.82534146
1.62059247 3.4378078
1.62188876 4.11769962
1.62318504 4.77337599
1.6244812 5.38822508
1.62577748 5.95239496
1.62707376 6.46725082
1.62837005 6.94069672
1.62966621 7.38470793
1.63096249 7.80936956
1.63225877 8.22146606
1.63355505 8.6262846
1.63485122 9.02723026
1.6361475 9.42627335
1.63744378 9.82587147
1.638740005 10.226125235
1.64003623 10.626379
1.64133251 11.0295773
1.64262879 11.4365788
1.64392495 11.8440247
1.64522123 12.250453
1.64651752 12.6574068
1.6478138 13.0655394
1.64910996 13.4749622
1.65040624 13.8851862
1.65170252 14.2947521
1.65299881 14.7017689
1.65429497 15.1052933
1.65559125 15.5056295
1.65688753 15.9016981
1.65818369 16.2915382
1.65947998 16.6740456
1.66077626 17.0458775
1.66207254 17.4007759
1.6633687 17.7356548
1.66466498 18.0527
1.66596127 18.3538189
1.66725755 18.6370144
1.66855371 18.8986092
1.66984999 19.1366405
1.67114627 19.3517895
1.67244256 19.5459671
1.67373872 19.720232
1.675035 19.8733902
1.67633128 20.0022221
1.67762744 20.1035309
1.67892373 20.1766357
1.68022001 20.2135887
1.68151629 20.2505417
1.68281245 20.2612286
1.68410873 20.262249
1.68540502 20.2583179
1.6867013 20.2515583
1.68799746 20.2407951
1.68929374 20.2226677
1.69059002 20.194231
1.69188631 20.1552849
1.69318247 20.1089439
1.69447875 20.0605431
1.69577503 20.0154209
1.69707119 19.9770737
1.69836748 19.94664
1.69966376 19.923193
1.70096004 19.9046745
1.7022562 19.8888302
1.70355248 19.8738556
1.70484877 19.8588219
1.70614505 19.8435535
1.70744121 19.8281994
1.70873749 19.8129711
1.71003377 19.7985382
1.71133006 19.7870712
1.71262622 19.7826958
1.7139225 19.7896175
1.71521878 19.8087711
1.71651495 19.833704
1.71781123 19.8562126
1.71910751 19.8425827
1.72040379 19.7822037
1.72183317 11.803436175
1.72326255 3.82466865
1.72482502 3.33177638
1.7263875 3.09178972
1.72794998 2.93175507
1.72951245 2.80476999
1.73107505 2.70153308
1.73263752 2.61588764
1.7342 2.5430522
1.73576248 2.47959423
1.73732495 2.42309737
1.73888755 2.37186813
1.74045002 2.32476306
1.7420125 2.28102612
1.74357498 2.24014616
1.74513745 2.20174742
1.74670005 2.16552973
1.74826252 2.13123798
1.749825 2.09865546
1.75138748 2.06760335
1.75294995 2.03794193
1.75451255 2.00956798
1.75607502 1.98241091
1.7576375 1.95642233
1.75919998 1.93157625
1.76076245 1.90783823
1.76232505 1.88521743
1.76388752 1.86361051
1.76545 1.84317279
1.76701248 1.82332909
1.76857495 1.80519795
1.77013755 1.78488982
