x pp_inf
0.0180163328 66.175415
0.0180240124 65.6447296
0.0180367921 64.6590271
0.0180546474 63.1624374
0.0180775411 61.5108528
0.0181054268 59.5999527
0.0181382466 57.4847946
0.0181759335 55.1935387
0.0182184111 52.7314682
0.0182655919 50.1566658
0.0183173809 47.4727631
0.0183736682 44.6548729
0.0184343401 41.7359314
0.0184992738 38.8455849
0.0185683351 36.048069
0.018643301 33.1790228
0.0187182669 30.3099766
0.01879883 27.6478882
0.0188829061 25.0257473
0.0189703256 22.4826584
0.019060906 20.0735378
0.019154463 17.8352242
0.0192508064 15.7808294
0.0193497371 13.9031057
0.019451052 12.1911898
0.0195545442 10.6372013
0.0196600035 9.23567963
0.0197672118 7.98331261
0.0198759492 6.87366152
0.0199859943 5.89671659
0.0200971197 5.04983997
0.0202229414 4.58846998
0.0203487631 4.12709999
0.0205137152 3.99647117
0.0207085144 3.89662313
0.0209385343 3.80746841
0.0212101042 3.70347261
0.0215306729 3.58663917
0.0219090097 3.46728325
0.0223554168 3.33899188
0.0228819996 3.19497848
0.0235029534 3.0411725
0.0242349096 2.88478661
0.0250973199 2.72895288
0.0261128936 2.57243109
0.0273080822 2.41136575
0.0287136119 2.25186419
0.0305085471 2.119699415
0.0323034823 1.98753464
0.03457601 1.88137269
0.0372364931 1.7923497
0.0403460413 1.72210777
0.0439734645 1.6652981
0.0481955446 1.62148726
0.0530969501 1.59639037
0.0587697774 1.58977926
0.0653124675 1.59578133
0.0728279725 1.6107862
0.0814209655 1.63379145
0.0911939517 1.66284525
0.102242149 1.69372308
0.11464712 1.72212827
0.128469378 1.7458514
0.144461401 1.7621755
0.160453424 1.7784996
0.178558066 1.78846645
0.197952598 1.79520082
0.218482539 1.79946887
0.239941671 1.8019942
0.262078047 1.80343044
0.28460446 1.80437243
0.307212591 1.80525148
0.329589576 1.80621362
0.351435304 1.80716455
0.372477829 1.80795121
0.392486155 1.80849504
0.411278367 1.80883622
0.428725481 1.80895936
0.444750726 1.80923378
0.4588992895 1.80937403
0.473047853 1.80951428
0.486770242 1.80997956
0.500492632 1.81045628
0.514214993 1.81091619
0.527937412 1.81136787
0.541659772 1.81178653
0.555382192 1.81212103
0.569104552 1.81231987
0.582826912 1.81235313
0.596549332 1.81222963
0.610271692 1.81200242
0.623994112 1.81175065
0.637716472 1.8115468
0.651438892 1.8114301
0.665161252 1.81138587
0.678883642 1.81139672
0.692606032 1.81140757
0.706328392 1.81136847
0.720050812 1.81129432
0.733773172 1.81119192
0.747495592 1.81107402
0.761217952 1.81095731
0.774940372 1.81085622
0.788662732 1.81077242
0.802385092 1.81069767
0.816107512 1.8106209
0.829829872 1.81053448
0.843552291 1.81043375
0.857274652 1.81032073
0.870997071 1.81021059
0.884719431 1.81012201
0.898441821 1.810187635
0.912164211 1.81025326
0.925886571 1.81051767
0.939608991 1.81094956
0.953331351 1.81153953
0.967053771 1.81224597
0.980776131 1.81300175
0.994498551 1.81373239
1.00822091 1.8143723
1.02194333 1.81486762
1.03566563 1.81518662
1.04938805 1.81532085
1.06311047 1.81529093
1.07683289 1.81511784
1.09055519 1.8149097
1.10427761 1.81471992
