x pp_inf
0.0180187915 66.556839
0.0180262625 66.2780609
0.0180387404 65.8083801
0.0180562008 65.0570984
0.0180786084 63.9171524
0.0181059223 62.5422401
0.0181380939 60.8689346
0.0181750711 58.9272766
0.0182168018 56.7832336
0.0182632357 54.428669
0.0183143206 51.8849106
0.01837001 49.1758347
0.0184302628 46.3740578
0.0184950344 43.5173035
0.0185642689 40.7469597
0.0186412679 37.8096981
0.0187182669 34.8724365
0.01879883 32.0889206
0.0188829061 29.2322502
0.0189703256 26.4476929
0.019060906 23.8209953
0.019154463 21.3732052
0.0192508064 19.0806808
0.0193497371 16.918642
0.019451052 14.895751
0.0195545442 13.0439939
0.0196600035 11.3850021
0.0197672118 9.91956615
0.0198759492 8.62188148
0.0199859943 7.46376848
0.0200971197 6.42252398
0.0202229414 5.850645305
0.0203487631 5.27876663
0.0205137152 5.06682777
0.0207085144 5.02122402
0.0209385343 4.91882515
0.0212101042 4.76998043
0.0215306729 4.61579657
0.0219090097 4.44254398
0.0223554168 4.24577141
0.0228819996 4.04798794
0.0235029534 3.8428843
0.0242349096 3.61935639
0.0250973199 3.40485597
0.0261128936 3.22802067
0.0273080822 3.07470536
0.0287136119 2.91096759
0.0305085471 2.730617285
0.0323034823 2.55026698
0.03457601 2.43231368
0.0372364931 2.37878728
0.0403460413 2.3520112
0.0439734645 2.33970976
0.0481955446 2.34694266
0.0530969501 2.37704301
0.0587697774 2.42819834
0.0653124675 2.49829865
0.0728279725 2.58268094
0.0814209655 2.67108345
0.0911939517 2.75241852
0.102242149 2.82107425
0.11464712 2.87673187
0.128469378 2.9213891
0.144461401 2.950932145
0.160453424 2.98047519
0.178558066 2.99191833
0.197952598 3.00210571
0.218482539 3.01053858
0.239941671 3.0059092
0.262078047 2.99279618
0.28460446 2.98921895
0.307212591 2.99855542
0.329589576 3.00588989
0.351435304 3.00032163
0.372477829 2.98691201
0.392486155 2.97739458
0.411278367 2.97834063
0.428725481 2.98759818
0.444750726 2.99996543
0.4588992895 3.007360695
0.473047853 3.01475596
0.486770242 3.01432896
0.500492632 3.00869179
0.514214993 3.00026822
0.527937412 2.99241519
0.541659772 2.98689914
0.555382192 2.9822247
0.569104552 2.97542119
0.582826912 2.96618557
0.596549332 2.95901251
0.610271692 2.96039152
0.623994112 2.97316051
0.637716472 2.99339056
0.651438892 3.01249266
0.665161252 3.02274036
0.678883642 3.01710486
0.692606032 3.01146936
0.706328392 2.99703646
0.720050812 2.98202372
0.733773172 2.96864057
0.747495592 2.95853949
0.761217952 2.95375991
0.774940372 2.95631099
0.788662732 2.9667201
0.802385092 2.98299336
0.816107512 3.00101328
0.829829872 3.01618958
0.843552291 3.02527881
0.857274652 3.02726126
0.870997071 3.02303958
0.884719431 3.01460052
0.898441821 3.004039885
0.912164211 2.99347925
0.925886571 2.98396754
0.939608991 2.97626901
0.953331351 2.97046781
0.967053771 2.96620989
0.980776131 2.96291685
0.994498551 2.96005583
1.00822091 2.95742059
1.02194333 2.95531273
1.03566563 2.95455194
1.04938805 2.95620131
1.06311047 2.96115923
1.07683289 2.96972823
1.09055519 2.98080158
1.10427761 2.99455762
