iter4 log_res CL CD CM
1 -5.355992 -0.06417616 4.388212 -0.8286378
2 -5.355825 -0.06377178 4.324616 -0.8187778
3 -5.357529 -0.06181744 4.259878 -0.820098
4 -5.359222 -0.0581849 4.20536 -0.8357454
5 -5.361388 -0.0533911 4.157802 -0.8610388
6 -5.364028 -0.04777478 4.115184 -0.8929386
7 -5.367079 -0.04154188 4.07637 -0.929565
8 -5.370508 -0.03483354 4.040642 -0.9696406
9 -5.374364 -0.02776386 4.007502 -1.0121912
10 -5.378451 -0.02045464 3.97658 -1.0562906
11 -5.382368 -0.013033886 3.94758 -1.1009872
12 -5.385952 -0.005606288 3.920276 -1.1454408
13 -5.389226 0.0017703206 3.89449 -1.189186
14 -5.392137 0.00909361 3.870078 -1.232277
15 -5.394647 0.016373734 3.846912 -1.2748996
16 -5.396738 0.0236157 3.824874 -1.317204
17 -5.398413 0.03081724 3.803858 -1.3592788
18 -5.399697 0.0379698 3.78377 -1.4011556
19 -5.400627 0.04505496 3.764532 -1.4427702
20 -5.401244 0.05204956 3.746066 -1.4840052
21 -5.401597 0.05892936 3.72831 -1.524724
22 -5.401735 0.06568902 3.711216 -1.5648898
23 -5.401699 0.07232286 3.69475 -1.6044548
24 -5.401521 0.0788066 3.678876 -1.6432644
25 -5.401223 0.08511026 3.66356 -1.681139
26 -5.400818 0.091202 3.648772 -1.7178918
27 -5.400332 0.09704934 3.634486 -1.7533358
28 -5.399757 0.10261188 3.620688 -1.7872338
29 -5.399076 0.1078505 3.607368 -1.8193604
30 -5.398272 0.11272706 3.594518 -1.8495002
31 -5.397329 0.11719262 3.582136 -1.8773792
32 -5.396241 0.12119664 3.570224 -1.9027194
33 -5.39499 0.1247451 3.558776 -1.925564
34 -5.393569 0.12784936 3.547784 -1.946002
35 -5.391978 0.13052518 3.53724 -1.9641542
36 -5.390235 0.13279012 3.527144 -1.9801322
37 -5.38835 0.13466508 3.51749 -1.9940644
38 -5.38635 0.13617526 3.508278 -2.006106
39 -5.384244 0.13735418 3.499518 -2.016464
40 -5.382038 0.13823224 3.491204 -2.025316
41 -5.379751 0.13883418 3.483334 -2.032776
42 -5.3774 0.13919248 3.4759 -2.03905
43 -5.375004 0.13934274 3.468902 -2.044366
44 -5.372588 0.13932236 3.46234 -2.048972
45 -5.370194 0.13916838 3.456216 -2.053118
46 -5.367892 0.13891648 3.450526 -2.05704
47 -5.365775 0.13859904 3.445274 -2.06095
48 -5.363933 0.13822176 3.440458 -2.064894
49 -5.362451 0.13778378 3.436076 -2.068876
50 -5.361399 0.13727928 3.432126 -2.072864
51 -5.360827 0.1366992 3.428606 -2.076816
52 -5.361043 0.13603408 3.425514 -2.080688
53 -5.361957 0.13532216 3.422812 -2.08504
54 -5.363473 0.13458618 3.420466 -2.09022
55 -5.365435 0.1338366 3.418446 -2.096392
56 -5.367751 0.13307724 3.416718 -2.103594
57 -5.370451 0.13230132 3.41524 -2.11169
58 -5.373244 0.13146714 3.413948 -2.120036
59 -5.375714 0.13054582 3.412788 -2.12812
60 -5.377773 0.12955628 3.411744 -2.13603
61 -5.379373 0.1285211 3.410798 -2.143872
62 -5.380525 0.127466 3.40993 -2.151764
63 -5.381292 0.12642026 3.40912 -2.15984
64 -5.381771 0.12541874 3.408346 -2.168266
65 -5.382093 0.1245038 3.40759 -2.17725
66 -5.382381 0.1237226 3.40683 -2.187026
67 -5.382745 0.12311984 3.406048 -2.197808
68 -5.383302 0.12272958 3.405218 -2.209746
69 -5.384155 0.12257118 3.404316 -2.2229
70 -5.385377 0.12264984 3.403314 -2.237246
71 -5.387005 0.12295962 3.402182 -2.252698
72 -5.389025 0.12348652 3.400888 -2.269126
73 -5.391363 0.12421114 3.399402 -2.286372
74 -5.393894 0.12511038 3.397698 -2.304262
75 -5.396444 0.12615884 3.395744 -2.32261
76 -5.398816 0.12732968 3.393516 -2.341228
77 -5.400812 0.1285954 3.390986 -2.35992
78 -5.402271 0.12992836 3.388132 -2.378496
79 -5.403095 0.1313014 3.384932 -2.39677
80 -5.40325 0.13268826 3.381364 -2.41456
81 -5.402761 0.13406408 3.377412 -2.431696
82 -5.40171 0.1354058 3.373056 -2.448016
83 -5.400216 0.13669254 3.368284 -2.463374
84 -5.398416 0.13790594 3.36308 -2.477642
85 -5.396475 0.1390278 3.357432 -2.490676
86 -5.394541 0.14004222 3.351336 -2.50234
87 -5.392743 0.14093834 3.344782 -2.512542
88 -5.391182 0.1417076 3.337768 -2.521212
89 -5.389931 0.1423809 3.33028 -2.528738
90 -5.389023 0.14296988 3.322314 -2.535234
91 -5.388453 0.14346262 3.313868 -2.540504
92 -5.388171 0.1438215 3.304936 -2.544026
93 -5.388103 0.14405506 3.295544 -2.545866
94 -5.388144 0.14418004 3.285716 -2.546184
95 -5.388168 0.14421348 3.275476 -2.545142
96 -5.388049 0.14417236 3.26485 -2.542894
97 -5.387669 0.14407306 3.253854 -2.53959
98 -5.386936 0.14393122 3.242508 -2.535378
99 -5.385787 0.14376138 3.230828 -2.530388
100 -5.384199 0.14357692 3.21883 -2.52475
101 -5.382183 0.1433899 3.206524 -2.518578
102 -5.379788 0.14321102 3.193922 -2.511978
103 -5.377096 0.1430495 3.181034 -2.505046
104 -5.374204 0.14291284 3.167866 -2.497862
105 -5.371222 0.14280654 3.154432 -2.490496
106 -5.368252 0.14273642 3.140732 -2.483018
107 -5.365377 0.14270838 3.126776 -2.475494
108 -5.362652 0.14272526 3.112562 -2.467974
109 -5.360104 0.14278824 3.09809 -2.460486
110 -5.357778 0.14289734 3.083356 -2.453058
111 -5.355834 0.14305002 3.068356 -2.445684
112 -5.354184 0.14323654 3.053096 -2.438272
113 -5.352775 0.14344842 3.037572 -2.43075
114 -5.351556 0.14367714 3.021784 -2.423044
115 -5.350497 0.14391432 3.005736 -2.415088
116 -5.34958 0.14415224 2.98943 -2.406818
117 -5.348874 0.14438494 2.972868 -2.3982
118 -5.348368 0.14461188 2.956062 -2.389266
119 -5.347725 0.14483636 2.939024 -2.3801
120 -5.346929 0.14505344 2.921762 -2.37068
121 -5.34602 0.14525862 2.904282 -2.360984
122 -5.345045 0.14544652 2.886602 -2.350976
123 -5.34398 0.1456132 2.868736 -2.340648
124 -5.34281 0.1457551 2.850696 -2.329996
125 -5.341575 0.1458685 2.8325 -2.319006
126 -5.340318 0.14594978 2.814162 -2.307674
127 -5.339077 0.14599578 2.795698 -2.295998
128 -5.337892 0.14600394 2.777128 -2.283976
129 -5.3368 0.1459725 2.758468 -2.271622
130 -5.335831 0.14590062 2.739742 -2.258948
131 -5.335013 0.14578834 2.72097 -2.24598
132 -5.334366 0.14563676 2.702176 -2.232748
133 -5.3339 0.14544778 2.683382 -2.219292
134 -5.333618 0.14522422 2.664614 -2.205658
135 -5.333515 0.14496958 2.645894 -2.191894
136 -5.333574 0.14468796 2.627248 -2.178056
137 -5.33378 0.1443839 2.608704 -2.164202
138 -5.334112 0.1440623 2.590282 -2.150392
139 -5.334546 0.14372882 2.57201 -2.136698
140 -5.335053 0.14338976 2.553908 -2.12319
141 -5.335612 0.14305092 2.536002 -2.10994
142 -5.336205 0.14271768 2.51831 -2.097008
143 -5.336823 0.14239508 2.500858 -2.084454
144 -5.337458 0.1420875 2.483662 -2.072328
145 -5.338116 0.14179856 2.46674 -2.06067
146 -5.338817 0.1415305 2.450112 -2.049504
147 -5.339585 0.14128512 2.433792 -2.03885
148 -5.340457 0.14106478 2.417794 -2.028734
149 -5.341472 0.14087126 2.402132 -2.019182
150 -5.34267 0.14070578 2.38682 -2.010206
151 -5.34409 0.14056872 2.371868 -2.001816
152 -5.345766 0.14045952 2.357286 -1.9940028
153 -5.347723 0.14037648 2.343082 -1.9867508
154 -5.349982 0.14031656 2.329262 -1.9800236
155 -5.352548 0.14027506 2.315838 -1.9737644
156 -5.355408 0.14024538 2.302812 -1.967893
157 -5.358531 0.14021894 2.290194 -1.9623032
158 -5.361867 0.14018502 2.277992 -1.9568622
159 -5.365344 0.14013108 2.266216 -1.9514136
160 -5.36888 0.14004314 2.25488 -1.945783
161 -5.372388 0.1399065 2.243996 -1.9397876
162 -5.375803 0.1397067 2.233582 -1.9332474
163 -5.379223 0.1394306 2.223658 -1.9260008
164 -5.382531 0.1390674 2.214246 -1.9179166
165 -5.385663 0.13861028 2.205368 -1.9089148
166 -5.388583 0.13805706 2.19705 -1.8989748
167 -5.391282 0.13741046 2.189316 -1.8881394
168 -5.393781 0.13667818 2.182186 -1.8765138
169 -5.396135 0.13587226 2.17568 -1.8642584
170 -5.398493 0.13500834 2.169812 -1.8515782
171 -5.40077 0.13410462 2.164598 -1.8387088
172 -5.402861 0.13318028 2.16004 -1.8258966
173 -5.404804 0.13225448 2.15614 -1.813384
174 -5.406631 0.13134526 2.152892 -1.8013978
175 -5.408362 0.13046752 2.150296 -1.790118
176 -5.409999 0.12963646 2.148342 -1.7797316
177 -5.411544 0.12887486 2.147014 -1.7705264
178 -5.412979 0.12820578 2.146282 -1.7627828
179 -5.414281 0.12763862 2.146104 -1.7566024
180 -5.415418 0.12716602 2.146438 -1.7518726
181 -5.416359 0.12678182 2.147236 -1.7484934
182 -5.417077 0.12648618 2.148462 -1.7464472
183 -5.417556 0.12627822 2.150076 -1.7457022
184 -5.417793 0.12615606 2.152038 -1.7462162
185 -5.417799 0.12611726 2.15431 -1.7479378
186 -5.417603 0.12615872 2.156858 -1.75081
187 -5.417247 0.12627704 2.159644 -1.7547714
188 -5.416774 0.12646846 2.162638 -1.7597572
189 -5.41623 0.12672906 2.165808 -1.765701
190 -5.415658 0.12705482 2.16912 -1.772536
191 -5.415101 0.12744158 2.172548 -1.7801944
192 -5.414591 0.12788522 2.176066 -1.7886092
193 -5.414153 0.12838158 2.179644 -1.7977142
194 -5.413815 0.12892656 2.183262 -1.807444
195 -5.413602 0.12951612 2.186894 -1.8177348
196 -5.413536 0.1301462 2.190518 -1.8285238
197 -5.413631 0.13081292 2.194116 -1.8397496
198 -5.413896 0.13151236 2.19767 -1.8513524
199 -5.414333 0.13224072 2.201158 -1.863274
200 -5.414937 0.13299424 2.204566 -1.875457
201 -5.415696 0.13376918 2.207878 -1.8878446
202 -5.416588 0.13456184 2.21108 -1.9003822
203 -5.417588 0.1353686 2.214158 -1.9130156
204 -5.418661 0.13618592 2.2171 -1.9256926
205 -5.419767 0.1370103 2.219894 -1.9383622
206 -5.420867 0.1378383 2.22253 -1.9509746
207 -5.421919 0.13866658 2.224996 -1.9634816
208 -5.422888 0.13949184 2.227286 -1.975836
209 -5.423745 0.14031084 2.229388 -1.9879924
210 -5.424471 0.14112042 2.2313 -1.9999064
211 -5.425059 0.14191752 2.23301 -2.011536
212 -5.425521 0.14269916 2.234514 -2.02284
213 -5.425878 0.14346246 2.235808 -2.033778
214 -5.426165 0.1442045 2.236886 -2.044312
215 -5.426422 0.14492252 2.237744 -2.054404
216 -5.426693 0.14561382 2.23838 -2.06402
217 -5.427027 0.14627576 2.23879 -2.073124
218 -5.427469 0.14690586 2.238976 -2.081686
219 -5.428054 0.1475018 2.238934 -2.089676
220 -5.428802 0.14806134 2.238666 -2.097064
221 -5.429715 0.14858246 2.238172 -2.103828
222 -5.430778 0.14906334 2.237456 -2.109946
223 -5.431952 0.14950236 2.23652 -2.115396
224 -5.433186 0.1498981 2.235366 -2.120168
225 -5.434412 0.15024946 2.234002 -2.124246
226 -5.435564 0.15055554 2.232432 -2.127624
227 -5.436579 0.15081572 2.230662 -2.130296
228 -5.43741 0.15102968 2.228698 -2.132266
229 -5.438024 0.15119738 2.226552 -2.133534
230 -5.438407 0.15131906 2.22423 -2.13411
231 -5.438565 0.15139528 2.221742 -2.134008
232 -5.438613 0.15142686 2.219098 -2.13324
233 -5.43858 0.1514149 2.21631 -2.13183
234 -5.438488 0.15136072 2.213388 -2.129798
235 -5.438384 0.15126594 2.210342 -2.127172
236 -5.438313 0.15113232 2.207186 -2.123982
237 -5.438317 0.1509619 2.203932 -2.12026
