iter log_res CL CD CM
1 -5.450959 -0.0225962 1.3356378 -0.12242378
2 -5.451144 -0.02290972 1.3343062 -0.12060646
3 -5.451407 -0.02319072 1.333005 -0.11896206
4 -5.451641 -0.02344232 1.3317322 -0.11747456
5 -5.451895 -0.02366706 1.3304868 -0.116131
6 -5.452204 -0.02386698 1.3292676 -0.11492094
7 -5.452587 -0.02404382 1.3280734 -0.11383538
8 -5.453039 -0.02419906 1.3269024 -0.11286668
9 -5.453539 -0.0243341 1.3257536 -0.11200746
10 -5.454092 -0.02445014 1.3246258 -0.11125134
11 -5.454689 -0.02454824 1.3235178 -0.11059284
12 -5.455323 -0.02462932 1.3224288 -0.11002712
13 -5.455986 -0.02469418 1.3213578 -0.1095498
14 -5.456672 -0.02474356 1.320304 -0.109157
15 -5.457378 -0.02477814 1.3192666 -0.10884514
16 -5.458097 -0.02479854 1.318245 -0.10861102
17 -5.458829 -0.02480528 1.3172384 -0.10845168
18 -5.45957 -0.02479888 1.3162462 -0.10836442
19 -5.460317 -0.0247798 1.315268 -0.10834676
20 -5.461073 -0.02474848 1.314303 -0.10839642
21 -5.461834 -0.02470532 1.3133508 -0.10851124
22 -5.462601 -0.02465068 1.312411 -0.10868924
23 -5.463375 -0.0245849 1.3114832 -0.10892854
24 -5.464157 -0.02450834 1.3105668 -0.1092274
25 -5.464947 -0.02442128 1.3096614 -0.10958416
26 -5.465747 -0.02432402 1.3087668 -0.1099972
27 -5.46656 -0.02421684 1.3078826 -0.11046504
28 -5.467388 -0.02410002 1.3070084 -0.11098622
29 -5.468238 -0.0239738 1.3061438 -0.1115593
30 -5.4691 -0.02383848 1.3052884 -0.11218282
31 -5.469971 -0.02369428 1.3044422 -0.11285552
32 -5.470852 -0.02354138 1.3036048 -0.11357632
33 -5.471741 -0.02337998 1.302776 -0.11434418
34 -5.472641 -0.02321026 1.3019554 -0.11515812
35 -5.473551 -0.02303238 1.3011428 -0.11601722
36 -5.474471 -0.02284652 1.300338 -0.1169206
37 -5.475402 -0.02265282 1.2995406 -0.11786742
38 -5.476344 -0.02245144 1.2987506 -0.11885688
39 -5.477296 -0.0222425 1.2979678 -0.11988824
40 -5.47826 -0.02202612 1.2971918 -0.12096078
41 -5.479235 -0.02180246 1.2964226 -0.12207384
42 -5.480221 -0.0215716 1.2956598 -0.12322672
43 -5.481218 -0.02133368 1.2949034 -0.12441886
44 -5.482226 -0.0210888 1.2941532 -0.12564964
45 -5.483245 -0.02083706 1.293409 -0.1269185
46 -5.484275 -0.02057856 1.2926706 -0.12822492
47 -5.485316 -0.02031338 1.2919378 -0.12956836
48 -5.486367 -0.02004164 1.2912104 -0.13094834
49 -5.487429 -0.019763382 1.2904886 -0.13236438
50 -5.488501 -0.019478722 1.2897718 -0.13381604
51 -5.489584 -0.019187732 1.28906 -0.13530286
52 -5.490676 -0.018890486 1.2883534 -0.13682442
