,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801440995437411999e-02,-2.822251888054063093e-05,2.822253506751827896e-05,6.654892530335852996e+01,2.732693894368503243e+05
1,1.801440995447125062e-02,2.822254230028691983e-05,2.822251747516855909e-05,6.642008450120985685e+01,2.712914926279686624e+05
2,1.801568167846267013e-02,8.467209892073948412e-05,2.805757831515070060e-05,6.620813032563175682e+01,2.702124084029218648e+05
3,1.801822828175718080e-02,1.410963746583561028e-04,2.786087009102869024e-05,6.593888796782471218e+01,2.681452302984728012e+05
4,1.802204891703717074e-02,1.974471669473611092e-04,2.765650510075331098e-05,6.562576728014343530e+01,2.647763551309953327e+05
5,1.802714159604835997e-02,2.536964122040496800e-04,2.744430395774007114e-05,6.522598701686271738e+01,2.628002489544150303e+05
6,1.803350370436317129e-02,3.098157622530673208e-04,2.722418540284151912e-05,6.474673644354410840e+01,2.608476390532116638e+05
7,1.804113198093242054e-02,3.657766647994118120e-04,2.699638205750116908e-05,6.425106931506353192e+01,2.572969907027322915e+05
8,1.805002252389766026e-02,4.215506029010985937e-04,2.676129735179966023e-05,6.358786720991820829e+01,2.569761941510256438e+05
9,1.806017080228743132e-02,4.771092004198354878e-04,2.651945003648686138e-05,6.285855252150524564e+01,2.554781770222472551e+05
10,1.807157165786486830e-02,5.324242155155826852e-04,2.627141081729140930e-05,6.205951575140819187e+01,2.534782758123633976e+05
11,1.808421932466553958e-02,5.874676085780980092e-04,2.601781206278146167e-05,6.119458080546635870e+01,2.511191567803358776e+05
12,1.809810744435319876e-02,6.422115674180232199e-04,2.575940109289892002e-05,6.026673943231227781e+01,2.484674933619454969e+05
13,1.811322908898743006e-02,6.966285447249104951e-04,2.549704337972670082e-05,5.927816526302465405e+01,2.455563521347223141e+05
14,1.812957677502467085e-02,7.506912677293449323e-04,2.523166704049578876e-05,5.823136674380285882e+01,2.423938657502482529e+05
15,1.814714247958399904e-02,8.043727398037934509e-04,2.496426276309682065e-05,5.712997324868045013e+01,2.390047063682097942e+05
16,1.816591766699137897e-02,8.576462777073290238e-04,2.469592043841342151e-05,5.597616994031950099e+01,2.353868100171680853e+05
17,1.818589330784748173e-02,9.104855156894960371e-04,2.442779337624390127e-05,5.477501897367386618e+01,2.315647379825488897e+05
18,1.820705989627267873e-02,9.628644121745136113e-04,2.416099495780049084e-05,5.353210769393820101e+01,2.275789100162732066e+05
19,1.822940746046914848e-02,1.014757232364543000e-03,2.389659021433573115e-05,5.225064776593143989e+01,2.234546297140668321e+05
20,1.825292557820172926e-02,1.066138545983539958e-03,2.363566850255073999e-05,5.093257347842892813e+01,2.191892693430120125e+05
21,1.827760339189143934e-02,1.116983227582045001e-03,2.337933293389198060e-05,4.958197092398121697e+01,2.147882125431861205e+05
22,1.830342961927531112e-02,1.167266451813872043e-03,2.312864939695831950e-05,4.820340369122154556e+01,2.102603421330795099e+05
23,1.833039254025249989e-02,1.216963646091734959e-03,2.288462227067047055e-05,4.680114197342002313e+01,2.056204078727337474e+05
24,1.835848000825789084e-02,1.266050495928279030e-03,2.264822022218170142e-05,4.537969532035141640e+01,2.008905139644252486e+05
25,1.838767945222903946e-02,1.314502938379044986e-03,2.242037586909555137e-05,4.393945790982532884e+01,1.960527839954798983e+05
26,1.841797790606315016e-02,1.362297194679628048e-03,2.220202650369763867e-05,4.248927466445713463e+01,1.911429217645205208e+05
27,1.844936196615426169e-02,1.409409696605723981e-03,2.199414389423806054e-05,4.102904056462492122e+01,1.861533118560107832e+05
28,1.848181766988523170e-02,1.455816912800482954e-03,2.179786645099481921e-05,3.956343473408749389e+01,1.810970084677830455e+05
29,1.851533030634502919e-02,1.501495133634495006e-03,2.161487664853691166e-05,3.809897680834092881e+01,1.759937189991009072e+05
30,1.854988401257402081e-02,1.546420026832641967e-03,2.144847475357314985e-05,3.664524839272994683e+01,1.708842568473305146e+05
31,1.858546018894724830e-02,1.590564866135010108e-03,2.130660436577818941e-05,3.517706062101979825e+01,1.653881631485809048e+05
32,1.862201990637599863e-02,1.633880439023486066e-03,2.122906930661055998e-05,3.381386579285844363e+01,1.608692134648766660e+05
33,1.865943990687458920e-02,1.676227973219738925e-03,2.136640133254071901e-05,3.229317794498105343e+01,1.549504509525545873e+05
34,1.869770782926191005e-02,1.717605657795547936e-03,2.170195377215937977e-05,3.091629952931030445e+01,1.501242590910819708e+05
35,1.873691061892416090e-02,1.758120470772461981e-03,2.207380054867395889e-05,2.953599464625543192e+01,1.450054698142889538e+05
36,1.877704261340858161e-02,1.797765269488471899e-03,2.244927444408904136e-05,2.817531341955632129e+01,1.398742734686696786e+05
37,1.881808244504422009e-02,1.836515888173182072e-03,2.282325962456479876e-05,2.682683179099144866e+01,1.346985527616603940e+05
38,1.886000784324648114e-02,1.874348550735673935e-03,2.319386897456871007e-05,2.551088157250765676e+01,1.295284950535911048e+05
39,1.890279620420811865e-02,1.911240461651729028e-03,2.356021977714973110e-05,2.423497290997156739e+01,1.244393338514361094e+05
40,1.894642461893741164e-02,1.947169776113359023e-03,2.392180715413897072e-05,2.299067128824749062e+01,1.194307920731736522e+05
41,1.899086986380576006e-02,1.982115536147510942e-03,2.427828566632234052e-05,2.177631890612024179e+01,1.144807283491708076e+05
42,1.903610845263679907e-02,2.016057660341101163e-03,2.462931561410130845e-05,2.059792699642274272e+01,1.095911121801857807e+05
43,1.908211664440639943e-02,2.048976900757094009e-03,2.497454022109025858e-05,1.946081313560652859e+01,1.047836025400110084e+05
44,1.912887038620300975e-02,2.080854757965328993e-03,2.531362972238436853e-05,1.836622836121217262e+01,1.000816126021077071e+05
45,1.917634532098686992e-02,2.111673457243196106e-03,2.564628695526535064e-05,1.731248269767143100e+01,9.549531853526306804e+04
46,1.922451675873074889e-02,2.141415907705153908e-03,2.597222844619548099e-05,1.629766886845639817e+01,9.102255484843527665e+04
47,1.927335969217639985e-02,2.170065694522825203e-03,2.629118048277653025e-05,1.532143003730803876e+01,8.666091275755201059e+04
48,1.932284881907797916e-02,2.197607077767472876e-03,2.660288842170224039e-05,1.438456682195859671e+01,8.241161720022645022e+04
49,1.937295854830209038e-02,2.224024980982129956e-03,2.690710084992450964e-05,1.348798758491848737e+01,7.827840027915177052e+04
50,1.942366300299222873e-02,2.249304982795611967e-03,2.720353695708314031e-05,1.263209338680677618e+01,7.426736811621893139e+04
51,1.947493601622055093e-02,2.273433305034362837e-03,2.749188708561382932e-05,1.181718099328394089e+01,7.039064433934428962e+04
52,1.952675119029559023e-02,2.296396831565184794e-03,2.777184538577858125e-05,1.104179601610869099e+01,6.664048469074092282e+04
53,1.957908188873716884e-02,2.318183094624811161e-03,2.804311778219292995e-05,1.030513338191825135e+01,6.302142667682559841e+04
54,1.963190124705319062e-02,2.338780270121870990e-03,2.830541723589193842e-05,9.606451325845879907e+00,5.953490501676947315e+04
55,1.968518222227872913e-02,2.358177189183666925e-03,2.855846307357755071e-05,8.944962230245559809e+00,5.618050185925792903e+04
56,1.973889759534298849e-02,2.376363327998233868e-03,2.880198800491053142e-05,8.319842845972726053e+00,5.295804367236086546e+04
57,1.979302003960287104e-02,2.393328819081037926e-03,2.903573789046060943e-05,7.730146860268302333e+00,4.986691742659857118e+04
58,1.984752214726353062e-02,2.409064444980912184e-03,2.925946944181607006e-05,7.174864793837952170e+00,4.690730931524783955e+04
59,1.990237651522301990e-02,2.423561642072827055e-03,2.947295280210962917e-05,6.652926997031773482e+00,4.407909331654968992e+04
60,1.995755593348797971e-02,2.436812519980673108e-03,2.967598755699357843e-05,6.163041875408886483e+00,4.138084555630252726e+04
61,2.001303363468899879e-02,2.448809865998375149e-03,2.986844998245317070e-05,5.703813775122333674e+00,3.881336976480454177e+04
62,2.006878391406071924e-02,2.459547179114258877e-03,3.005047078017534005e-05,5.274079360753310297e+00,3.637412725192802463e+04
63,2.012478220574371104e-02,2.469018541272760027e-03,3.022281556576528850e-05,4.874515708275524162e+00,3.406616939926240593e+04
64,2.018096979721200127e-02,2.477214360860987945e-03,3.037747450508824078e-05,4.516120286878874346e+00,3.168758773738612581e+04
65,2.024256307516019912e-02,2.485099215665714182e-03,3.049863889482984109e-05,4.287860953367402139e+00,2.953152356961792975e+04
66,2.031239513797574933e-02,2.493670751934991183e-03,3.060383267315392304e-05,4.179781002666661749e+00,2.821213150535706154e+04
67,2.038828727176967073e-02,2.502986131596877072e-03,3.071815527669297211e-05,4.097918014542345944e+00,2.718956791317182433e+04
68,2.047076343996141051e-02,2.513109668533016188e-03,3.084239596140044134e-05,4.033150493759462663e+00,2.635966178898870203e+04
69,2.056039255783313063e-02,2.524111194249555132e-03,3.097741172724920297e-05,3.978292819421768378e+00,2.565003037635391229e+04
70,2.065779228583830909e-02,2.536066523479517994e-03,3.112413300705076254e-05,3.929071947958249211e+00,2.502205822159156378e+04
71,2.076363313129015939e-02,2.549057957632422985e-03,3.128356984121284326e-05,3.881690481484442401e+00,2.443183014144434492e+04
72,2.087864288056508894e-02,2.563174828848561928e-03,3.145681855502122808e-05,3.834340821347104633e+00,2.386795948998163658e+04
73,2.100361138852614024e-02,2.578514087858833990e-03,3.164506897212048127e-05,3.786774528082547331e+00,2.332841152743295970e+04
74,2.113939574799433840e-02,2.595180938520603997e-03,3.184961220242240259e-05,3.738269708234091659e+00,2.279595156953642800e+04
75,2.128692586795248934e-02,2.613289522505360136e-03,3.207184904487714810e-05,3.688631051539680072e+00,2.226799636401101452e+04
76,2.144721048793240062e-02,2.632963657544693924e-03,3.231329904741400249e-05,3.636598076155176162e+00,2.174166421083450768e+04
77,2.162134365786454876e-02,2.654337632796082130e-03,3.257561026807793281e-05,3.581315895576794528e+00,2.121171401663606957e+04
78,2.181051171365018873e-02,2.677557065049668023e-03,3.286056978292257894e-05,3.522150379134243892e+00,2.066684543354846392e+04
79,2.201600077956187076e-02,2.702779819620605099e-03,3.317011498749251208e-05,3.459736502639416678e+00,2.012921123724419522e+04
80,2.223920482908570140e-02,2.730176999792637959e-03,3.350634573965669927e-05,3.394330290235493486e+00,1.957662226291613115e+04
81,2.248163433670135117e-02,2.759934008742903882e-03,3.387153739203815813e-05,3.326117785856585574e+00,1.901159157647821121e+04
82,2.274492555149664960e-02,2.792251687853620785e-03,3.426815476219432968e-05,3.255187633484140974e+00,1.843458389275464651e+04
83,2.303085042511062927e-02,2.827347535326086864e-03,3.469886708789748019e-05,3.181097074627536880e+00,1.784719273991456430e+04
84,2.334132722428945012e-02,2.865457008802859990e-03,3.516656401316974067e-05,3.104884607994697010e+00,1.725868319051329672e+04
85,2.367843185552721136e-02,2.906834915421621819e-03,3.567437264794288292e-05,3.027015316248211629e+00,1.666509808497078484e+04
86,2.404440992828546855e-02,2.951756892505694174e-03,3.622567574010287041e-05,2.947764548745620328e+00,1.607329701058345927e+04
87,2.444168957947431831e-02,3.000520981711743158e-03,3.682413099296965718e-05,2.867196393161957957e+00,1.548576999139018517e+04
88,2.487289507361515120e-02,3.053449298372667032e-03,3.747369155364063155e-05,2.785252286049481718e+00,1.489757786126262545e+04
89,2.534086119187219099e-02,3.110889797691643137e-03,3.817862768772761317e-05,2.701110922612320220e+00,1.430853096513906530e+04
90,2.584864841000285990e-02,3.173218137757968012e-03,3.894354964343005017e-05,2.616762910575800127e+00,1.372513311609388074e+04
91,2.639955885687705894e-02,3.240839638363491974e-03,3.977343169214561300e-05,2.534070318782724485e+00,1.315494707113822551e+04
92,2.699715303572224057e-02,3.314191333462951881e-03,4.067363731339583186e-05,2.453713128445736302e+00,1.260155258687767491e+04
93,2.764526726277356100e-02,3.393744111681775994e-03,4.164994546815334699e-05,2.375651466138303913e+00,1.206578235900116306e+04
94,2.834803177529630902e-02,3.480004938973942953e-03,4.270857787605538271e-05,2.299201655742670436e+00,1.154373860731068999e+04
95,2.910988942873236895e-02,3.573519153608113903e-03,4.385622717776421189e-05,2.224386400232832628e+00,1.104217061170552915e+04
96,2.993561487294637072e-02,3.674872819966903004e-03,4.510008582313353084e-05,2.152046763321684875e+00,1.055597734930404476e+04
97,3.083033407200205106e-02,3.784695124490648072e-03,4.644787547805406336e-05,2.083875824912844177e+00,1.008965400743853206e+04
98,3.179954399804545140e-02,3.903660793003518956e-03,4.790787668704662137e-05,2.021574899036281625e+00,9.650197491087261369e+03
99,3.284913227641444999e-02,4.032492502050872597e-03,4.948895846400384055e-05,1.964631038279893049e+00,9.236873567556220223e+03
100,3.398539650455507932e-02,4.171963250209377409e-03,5.120060740913249706e-05,1.910379239439681243e+00,8.839787391805290099e+03
101,3.521506295868599701e-02,4.322898654226314981e-03,5.305295586536488018e-05,1.858262671136980737e+00,8.454155008337722393e+03
102,3.654530425744390021e-02,4.486179117141350300e-03,5.505680853165368667e-05,1.809678918497179989e+00,8.082467053040786595e+03
