,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801440995437411999e-02,-2.822251888054063093e-05,2.822253506751827896e-05,6.654892530335852996e+01,2.732693894368503243e+05
1,1.801568167816375993e-02,-2.805757856379405098e-05,8.467208831234343232e-05,6.643593533676407503e+01,2.726151800219221623e+05
2,1.801822828172787092e-02,-2.786087028326777107e-05,1.410963723778125103e-04,6.628237515986509720e+01,2.717416791739100008e+05
3,1.802204891708327969e-02,-2.765650528138425927e-05,1.974471675884486882e-04,6.604430991221823888e+01,2.708096795191170531e+05
4,1.802714159608264852e-02,-2.744430413112651943e-05,2.536964120069398819e-04,6.576295271085120930e+01,2.675811711016267654e+05
5,1.803350370343485831e-02,-2.722418556981466084e-05,3.098157554177116886e-04,6.540368335789717946e+01,2.648053439439603826e+05
6,1.804113197989291872e-02,-2.699638221801584044e-05,3.657766569797688211e-04,6.496289026546315881e+01,2.623614460742999217e+05
7,1.805002252384619102e-02,-2.676129750570410001e-05,4.215506024866916951e-04,6.446068120441699989e+01,2.594947049606424698e+05
8,1.806017080207735978e-02,-2.651945018368465014e-05,4.771091992348971099e-04,6.389759076581020736e+01,2.563638391632367857e+05
9,1.807157165860103984e-02,-2.627141095748063062e-05,5.324242185428167476e-04,6.320374965987195992e+01,2.551154923387655872e+05
10,1.808421932532677107e-02,-2.601781219587275017e-05,5.874676114529238206e-04,6.244376644960617284e+01,2.530388143567704828e+05
11,1.809810744473857105e-02,-2.575940121944272855e-05,6.422115686549151022e-04,6.161637480003538769e+01,2.506213834648531338e+05
12,1.811322908980083149e-02,-2.549704349981319094e-05,6.966285475222243079e-04,6.072437451191910185e+01,2.479532921006313991e+05
13,1.812957677564567063e-02,-2.523166715378805143e-05,7.506912696217224630e-04,5.976989261337244130e+01,2.450582088832043519e+05
14,1.814714247920128087e-02,-2.496426286954778117e-05,8.043727387576148991e-04,5.875626637897327953e+01,2.419655893203277956e+05
15,1.816591766578332101e-02,-2.469592053811990929e-05,8.576462743184814445e-04,5.768712239103994222e+01,2.386903236288848275e+05
16,1.818589330773922111e-02,-2.442779346919616865e-05,9.104855153126732237e-04,5.656591790287357924e+01,2.352451127092351380e+05
17,1.820705989684575851e-02,-2.416099504396955914e-05,9.628644135190536505e-04,5.539563493027215912e+01,2.316364055781500938e+05
18,1.822940745959733891e-02,-2.389659029375160905e-05,1.014757230468004085e-03,5.418025618496052687e+01,2.278723756155153969e+05
19,1.825292557630016008e-02,-2.363566857518971056e-05,1.066138541900729046e-03,5.292310832893023331e+01,2.239529597841216892e+05
20,1.827760339059553152e-02,-2.337933299958219104e-05,1.116983224951440933e-03,5.162698884520839471e+01,2.198824038993612339e+05
21,1.830342961663792081e-02,-2.312864945581570149e-05,1.167266446881771958e-03,5.029652254008893664e+01,2.156771983774286055e+05
22,1.833039253816647063e-02,-2.288462232320290167e-05,1.216963642231362001e-03,4.893577989041197895e+01,2.113457186053003243e+05
23,1.835848000886272993e-02,-2.264822026847533847e-05,1.266050496920979093e-03,4.754761633338118543e+01,2.068900424702890450e+05
24,1.838767945495466127e-02,-2.242037590892892912e-05,1.314502942715168893e-03,4.613527516368134940e+01,2.023019942249125743e+05
25,1.841797790987613134e-02,-2.220202653699656042e-05,1.362297200556965076e-03,4.470669305052486919e+01,1.976187347310124023e+05
26,1.844936196877941872e-02,-2.199414392104572159e-05,1.409409700470643000e-03,4.326239207991793023e+01,1.928431551156571659e+05
27,1.848181766831108117e-02,-2.179786647184285130e-05,1.455816910714443930e-03,4.180606312415631010e+01,1.879779740218280640e+05
28,1.851533030294963064e-02,-2.161487666432972916e-05,1.501495129059003978e-03,4.034618612036326368e+01,1.830359576774712477e+05
29,1.854988401156599034e-02,-2.144847476482234031e-05,1.546420025528139021e-03,3.888891013300052890e+01,1.779756218254625855e+05
30,1.858546019009200967e-02,-2.130660437293903982e-05,1.590564867482007925e-03,3.742546433281369644e+01,1.726299692974616482e+05
31,1.862201990766416959e-02,-2.122906930925838836e-05,1.633880440548919058e-03,3.608222484260863894e+01,1.683839575703878945e+05
32,1.865943990730972030e-02,-2.136638042178053845e-05,1.676227974077480970e-03,3.446351072156897999e+01,1.624431003279651341e+05
33,1.869770783055905994e-02,-2.170189103931194943e-05,1.717605660312203006e-03,3.308705911788922549e+01,1.576323160588428436e+05
34,1.873691061901932089e-02,-2.207369601623824923e-05,1.758120472820520969e-03,3.167374368751081093e+01,1.525255520958393172e+05
35,1.877704261383226006e-02,-2.244912809717362025e-05,1.797765272521277893e-03,3.026920375196600332e+01,1.473566522800730017e+05
36,1.881808244610834110e-02,-2.282307145640407862e-05,1.836515892595529977e-03,2.888281228278549051e+01,1.421445182573093043e+05
37,1.886000784316044926e-02,-2.319363900263134954e-05,1.874348554809986004e-03,2.752628796846480697e+01,1.369576097105998488e+05
38,1.890279620579709066e-02,-2.355994797304658068e-05,1.911240467851414975e-03,2.619781220726345339e+01,1.317930409569641342e+05
39,1.894642461998072985e-02,-2.392149354383820049e-05,1.947169782614259102e-03,2.490366454604338387e+01,1.266663389843995101e+05
40,1.899086986432094865e-02,-2.427793025554181929e-05,1.982115542869561809e-03,2.364734001942676045e+01,1.216168089926087268e+05
41,1.903610845405668064e-02,-2.462891838176882838e-05,2.016057668474421135e-03,2.242593777253041765e+01,1.166557913997551659e+05
42,1.908211664527314014e-02,-2.497410117341025132e-05,2.048976909171862024e-03,2.123748887207147007e+01,1.117750949378719233e+05
43,1.912887038869812845e-02,-2.531314884547913096e-05,2.080854768136543125e-03,2.008387383690636341e+01,1.069733448586005543e+05
44,1.917634532243817080e-02,-2.564576427429220853e-05,2.111673467467187898e-03,1.896796426000842928e+01,1.022576067818998854e+05
45,1.922451675997225926e-02,-2.597166394882892927e-05,2.141415918406627903e-03,1.789113469469566553e+01,9.763842766272544395e+04
46,1.927335969413361896e-02,-2.629057415814430135e-05,2.170065706385860931e-03,1.685366048647679804e+01,9.312474938946835755e+04
47,1.932284882051127015e-02,-2.660224028832000021e-05,2.197607089975755004e-03,1.585540824781142355e+01,8.872035586840793258e+04
48,1.937295855091493088e-02,-2.690641089781372892e-05,2.224024994500819162e-03,1.489652200016458750e+01,8.442610359180413070e+04
49,1.942366300455802136e-02,-2.720280519369309099e-05,2.249304996482035055e-03,1.397753161706597602e+01,8.024486527942701650e+04
50,1.947493601910528851e-02,-2.749111348995737954e-05,2.273433319967853045e-03,1.309957466238617663e+01,7.618941298027809535e+04
51,1.952675119266330042e-02,-2.777102997286164134e-05,2.296396847008658985e-03,1.226205238998600322e+01,7.225453082750037720e+04
52,1.957908188984075828e-02,-2.804226056318919941e-05,2.318183110176866030e-03,1.146470907805886874e+01,6.844718155845369620e+04
53,1.963190125012985107e-02,-2.830451818813397872e-05,2.338780287150137808e-03,1.070690621715220381e+01,6.477121924893243704e+04
54,1.968518222393145917e-02,-2.855752221752178011e-05,2.358177206408291864e-03,9.987724307940220925e+00,6.122757727650409652e+04
55,1.973889759746768127e-02,-2.880100533261156065e-05,2.376363346036575088e-03,9.306266326887323359e+00,5.781649031463465508e+04
56,1.979302004179944036e-02,-2.903471340114272911e-05,2.393328837898858925e-03,8.661611318957374905e+00,5.453719449014902784e+04
57,1.984752214875454973e-02,-2.925840313940221841e-05,2.409064464266039065e-03,8.052874219230425012e+00,5.138951059548076591e+04
58,1.990237651828957038e-02,-2.947184467088616934e-05,2.423561662500366923e-03,7.479171152327054095e+00,4.837336766809788242e+04
59,1.995755593457559929e-02,-2.967483760733375024e-05,2.436812540680054987e-03,6.939309234831016582e+00,4.548771727574252145e+04
60,2.001303363614385933e-02,-2.986725813390836995e-05,2.448809887469542874e-03,6.431942866659688285e+00,4.273370871056427131e+04
61,2.006878391572820830e-02,-3.004923612934160107e-05,2.459547201446172972e-03,5.955936775026556163e+00,4.010966474199273944e+04
62,2.012478220635536066e-02,-3.022152833906432943e-05,2.469018564374019214e-03,5.512109040921759906e+00,3.762021441532591416e+04
63,2.018096979811815142e-02,-3.037605129489605004e-05,2.477214386870867958e-03,5.112560514477095808e+00,3.504017274412824190e+04
64,2.024256307565635085e-02,-3.049719382974778054e-05,2.485099242010977826e-03,4.862018613117582433e+00,3.268536624196498451e+04
65,2.031239513902378946e-02,-3.060247980736772219e-05,2.493670776309681817e-03,4.747212966988335836e+00,3.127411061357543804e+04
66,2.038828727305072933e-02,-3.071681105670485832e-05,2.502986155801553963e-03,4.659944033169050037e+00,3.017977829532777105e+04
67,2.047076344125044883e-02,-3.084105042951659255e-05,2.513109692751851892e-03,4.590841227679900882e+00,2.929617734498542632e+04
68,2.056039255907853025e-02,-3.097606378168065745e-05,2.524111218497342938e-03,4.531247527899736838e+00,2.853903760784384212e+04
69,2.065779228709016882e-02,-3.112278235575481736e-05,2.536066547763542005e-03,4.476765184887998572e+00,2.786628947974983748e+04
70,2.076363313242084868e-02,-3.128221624314456211e-05,2.549057981944988834e-03,4.423518186767632088e+00,2.723242666089524209e+04
71,2.087864288169558047e-02,-3.145546175441092847e-05,2.563174853208252842e-03,4.369595790060018636e+00,2.662819317085028160e+04
72,2.100361138966207880e-02,-3.164370869163039265e-05,2.578514112271509864e-03,4.314322866573289339e+00,2.605141407977723065e+04
73,2.113939574913249048e-02,-3.184824814088151734e-05,2.595180962988921126e-03,4.256690545936111292e+00,2.548246698885937440e+04
