,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801440995437411999e-02,-2.822251888054063093e-05,2.822253506751827896e-05,6.654892530335852996e+01,2.732693894368503243e+05
1,1.801568167722950031e-02,-8.467203087751261521e-05,2.805763818015513038e-05,6.662269337035201033e+01,2.752557408234432223e+05
2,1.801822827763625151e-02,-1.410962622662436132e-04,2.786097988569927856e-05,6.658603322289022231e+01,2.758100279675998027e+05
3,1.802204890790614841e-02,-1.974470098510736874e-04,2.765666624585533058e-05,6.645812266391666867e+01,2.757687744100916898e+05
4,1.802714158059089133e-02,-2.536962155836675948e-04,2.744451866318716043e-05,6.625888555086430642e+01,2.749095621315517928e+05
5,1.803350367987905170e-02,-3.098155208796086113e-04,2.722445686899758861e-05,6.597460272406118520e+01,2.733447731577064260e+05
6,1.804113194640129952e-02,-3.657763827005455185e-04,2.699671442841547860e-05,6.566383209456029135e+01,2.686677342237258563e+05
7,1.805002247929703846e-02,-4.215502923414083791e-04,2.676169566183732952e-05,6.527053772485037086e+01,2.656347008734933916e+05
8,1.806017074577812020e-02,-4.771088578576741790e-04,2.651992015016774854e-05,6.480382342144922347e+01,2.627899773880862631e+05
9,1.807157158969573130e-02,-5.324238486250436851e-04,2.627195935484670931e-05,6.430966994674149362e+01,2.587692128847816784e+05
10,1.808421924522797888e-02,-5.874672236339942896e-04,2.601844630366543896e-05,6.365104551099421570e+01,2.579171827058979252e+05
11,1.809810735451354916e-02,-6.422111706045755593e-04,2.576012884649308995e-05,6.292770149427747128e+01,2.560605650851068203e+05
12,1.811322898912880869e-02,-6.966281394126468173e-04,2.549787280768096070e-05,6.213492444801623549e+01,2.538338287008340703e+05
13,1.812957666578707966e-02,-7.506908569660643380e-04,2.523260642056337054e-05,6.127538973454403504e+01,2.513265087717862625e+05
14,1.814714236193111854e-02,-8.043723273416904587e-04,2.496532017518322984e-05,6.035219349375885400e+01,2.485807695423117548e+05
15,1.816591754234525916e-02,-8.576458675401646848e-04,2.469710336285451093e-05,5.936767773154782191e+01,2.456015975312380760e+05
16,1.818589317886267973e-02,-9.104851144816209548e-04,2.442910818475314068e-05,5.832417919047175303e+01,2.423814706526147784e+05
17,1.820705976462838951e-02,-9.628640230853103719e-04,2.416244630452095866e-05,5.722564094268381751e+01,2.389385591228473641e+05
18,1.822940732562211910e-02,-1.014756853164360895e-03,2.389818031698880881e-05,5.607741037283587104e+01,2.353142369424635253e+05
19,1.825292544135507025e-02,-1.066138178320401959e-03,2.363739633632976040e-05,5.488293799540890916e+01,2.315305554767387221e+05
20,1.827760325492202090e-02,-1.116982874714244917e-03,2.338119336971770102e-05,5.364480478222638737e+01,2.275968728714434546e+05
21,1.830342948170329137e-02,-1.167266111988727022e-03,2.313063235853122089e-05,5.236563228271848658e+01,2.235227071323818818e+05
