,iteration,time,absolute-residual,relative-residual,cfl
0,1.000000000000000000e+00,0.000000000000000000e+00,5.561252255000000332e+03,1.000000000000000000e+00,2.000000000000000111e-01
1,5.000000000000000000e+01,9.523650743999999228e-09,5.517394029000000046e+03,9.921136060999999895e-01,2.184266625999999878e+00
2,1.000000000000000000e+02,1.128409269999999977e-07,5.347004206999999951e+03,9.614748551999999782e-01,2.504785864000000117e+01
3,1.500000000000000000e+02,3.598296173999999807e-07,5.100007536000000073e+03,9.170609966999999640e-01,1.850354755000000040e+01
4,2.000000000000000000e+02,4.786958791000000198e-07,4.995569897999999739e+03,8.982814785999999607e-01,1.850354755000000040e+01
5,2.500000000000000000e+02,5.576522203999999540e-07,4.942724661000000197e+03,8.887790796000000215e-01,9.714362464000000585e+00
6,3.000000000000000000e+02,6.099783705000000315e-07,4.908595825999999761e+03,8.826421822000000139e-01,9.714362464000000585e+00
7,3.500000000000000000e+02,6.610799327000000507e-07,4.878593420000000151e+03,8.772472811000000537e-01,9.714362464000000585e+00
8,4.000000000000000000e+02,7.112899413000000213e-07,4.850560577999999623e+03,8.722065382999999450e-01,9.714362464000000585e+00
9,4.500000000000000000e+02,7.603336861000000315e-07,4.824949056000000382e+03,8.676011867999999794e-01,9.714362464000000585e+00
10,5.000000000000000000e+02,8.090686480999999658e-07,4.802963851999999861e+03,8.636479036999999970e-01,9.714362464000000585e+00
11,5.500000000000000000e+02,8.583006943999999594e-07,4.785501503999999841e+03,8.605079008999999557e-01,9.714362464000000585e+00
12,6.000000000000000000e+02,9.086779739000000486e-07,4.773348614000000453e+03,8.583226213000000326e-01,9.714362464000000585e+00
13,6.500000000000000000e+02,9.609796751999999955e-07,4.769504235999999764e+03,8.576313422000000353e-01,1.020008059000000067e+01
14,7.000000000000000000e+02,1.021129501999999926e-06,4.780402584999999817e+03,8.595910356999999502e-01,1.124558885000000075e+01
15,7.500000000000000000e+02,1.093444864000000097e-06,4.818908653000000413e+03,8.665150278000000039e-01,1.239826170000000083e+01
16,8.000000000000000000e+02,1.182110738000000072e-06,4.910074743999999555e+03,8.829081146999999685e-01,1.582367282000000053e+01
17,8.500000000000000000e+02,1.292898578999999971e-06,5.102094186000000263e+03,9.174362088999999942e-01,1.923377320999999895e+01
18,9.000000000000000000e+02,1.433760773999999944e-06,5.407868902999999591e+03,9.724192780999999508e-01,2.454771012999999868e+01
19,9.500000000000000000e+02,1.617881361999999944e-06,5.988852345999999670e+03,1.076889173999999949e+00,3.454109328999999917e+01
20,1.000000000000000000e+03,1.878407781999999945e-06,7.434852620999999999e+03,1.336902604000000050e+00,4.860278696999999681e+01
21,1.050000000000000000e+03,2.254329073000000069e-06,9.980699645000000601e+03,1.794685655000000102e+00,7.180845218999999702e+01
22,1.100000000000000000e+03,2.807458293999999920e-06,1.294285726000000068e+04,2.327327851000000170e+00,1.000000000000000000e+02
23,1.150000000000000000e+03,3.404477305999999812e-06,1.687307430000000022e+04,3.034042250000000163e+00,1.000000000000000000e+02
24,1.200000000000000000e+03,3.991322622999999809e-06,2.075603666000000158e+04,3.732259518000000220e+00,1.000000000000000000e+02
25,1.250000000000000000e+03,4.570252490000000342e-06,2.354159127000000080e+04,4.233145735999999992e+00,1.000000000000000000e+02
26,1.300000000000000000e+03,5.145269004000000320e-06,2.512820478999999978e+04,4.518443623999999659e+00,1.000000000000000000e+02
27,1.350000000000000000e+03,5.719352530000000209e-06,2.614445439999999871e+04,4.701181173000000157e+00,1.000000000000000000e+02
28,1.400000000000000000e+03,6.293911254999999850e-06,2.686217740000000049e+04,4.830238976999999601e+00,1.000000000000000000e+02
29,1.450000000000000000e+03,6.869467081999999853e-06,2.736514877999999953e+04,4.920681085000000010e+00,1.000000000000000000e+02
30,1.500000000000000000e+03,7.446089890000000124e-06,2.768736955999999918e+04,4.978621412999999940e+00,1.000000000000000000e+02
31,1.550000000000000000e+03,8.023637154000000450e-06,2.787862289999999848e+04,5.013011750999999627e+00,1.000000000000000000e+02
32,1.600000000000000000e+03,8.601918116999999298e-06,2.799345132999999987e+04,5.033659694999999878e+00,1.000000000000000000e+02
33,1.650000000000000000e+03,9.180760353000000753e-06,2.807195150999999896e+04,5.047775252000000101e+00,1.000000000000000000e+02
34,1.700000000000000000e+03,9.760039192000000442e-06,2.812606159000000116e+04,5.057505090000000258e+00,1.000000000000000000e+02
35,1.750000000000000000e+03,1.033964595999999993e-05,2.816367540999999983e+04,5.064268642000000042e+00,1.000000000000000000e+02
36,1.800000000000000000e+03,1.091948159000000058e-05,2.818056276000000071e+04,5.067305252999999787e+00,1.000000000000000000e+02
37,1.850000000000000000e+03,1.149947224999999968e-05,2.818759243000000060e+04,5.068569296999999807e+00,1.000000000000000000e+02
38,1.900000000000000000e+03,1.207957115999999992e-05,2.818583247000000119e+04,5.068252829000000403e+00,1.000000000000000000e+02
39,1.950000000000000000e+03,1.265974874000000030e-05,2.817542458999999872e+04,5.066381329000000378e+00,1.000000000000000000e+02
