,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801393234715019040e-02,1.413014671834004973e-05,1.412927266209419993e-05,6.669029522801085363e+01,2.666602697790761013e+05
1,1.801425152122070050e-02,4.239647560660363249e-05,1.408751174738013966e-05,6.659547308288289003e+01,2.644168118015191867e+05
2,1.801489037163896134e-02,7.066544045608596667e-05,1.403561345422760011e-05,6.648406776074929780e+01,2.617886474555910681e+05
3,1.801584891077911976e-02,9.892528646602909929e-05,1.398266698611539073e-05,6.635445654305615903e+01,2.592875315614864230e+05
4,1.801712700247819904e-02,1.271719694465111921e-04,1.392934516377055965e-05,6.620882001838445774e+01,2.572221246533497469e+05
5,1.801872447694304047e-02,1.554020808338522127e-04,1.387550954417519973e-05,6.604686018902171440e+01,2.555409610612394754e+05
6,1.802064112905937127e-02,1.836121633895870060e-04,1.382104340102421974e-05,6.586724602113180538e+01,2.547261396334703022e+05
7,1.802287671354821028e-02,2.117986789102597914e-04,1.376589275206536951e-05,6.566998047270412542e+01,2.541140545861679420e+05
8,1.802543094420213168e-02,2.399580517501562118e-04,1.371003904432497922e-05,6.545382426932643227e+01,2.537172405146021338e+05
9,1.802830349268260898e-02,2.680866836260022775e-04,1.365347941607105049e-05,6.521841398649857524e+01,2.534906990599232086e+05
10,1.803149399191698171e-02,2.961809920644223109e-04,1.359621879330673968e-05,6.496368564018608538e+01,2.533495357515712385e+05
11,1.803500203428475002e-02,3.242373968952392822e-04,1.353826842152216971e-05,6.468973980958270431e+01,2.532194979674938950e+05
12,1.803882716844953937e-02,3.522522945937592190e-04,1.347964453193732025e-05,6.439666173055731235e+01,2.530344323187367409e+05
13,1.804296890412824053e-02,3.802221016336208913e-04,1.342036563618936072e-05,6.408519096071918852e+01,2.527786210512157413e+05
14,1.804742671148592062e-02,4.081432461848487911e-04,1.336045241396150044e-05,6.375525869482051178e+01,2.524195942239984288e+05
15,1.805220002031701979e-02,4.360121611394945961e-04,1.329992925628300023e-05,6.340729543492886222e+01,2.519476255687453959e+05
16,1.805728821946364984e-02,4.638252818401807087e-04,1.323882328476680068e-05,6.304165122714447023e+01,2.513629109435524442e+05
17,1.806269065916665112e-02,4.915790586928527875e-04,1.317715983822972976e-05,6.265866132325930238e+01,2.506677963245313440e+05
18,1.806840664824720111e-02,5.192699430775294181e-04,1.311496308428716040e-05,6.225864459485363511e+01,2.498663111049895524e+05
19,1.807443545717302147e-02,5.468944005891709101e-04,1.305226073610592002e-05,6.184190867061900576e+01,2.489632216223358409e+05
20,1.808077631784328967e-02,5.744489108325249354e-04,1.298908481617513068e-05,6.140875614394044391e+01,2.479632137033664330e+05
21,1.808742842190544028e-02,6.019299575681271840e-04,1.292546856826543013e-05,6.095950790364765481e+01,2.468711601542521385e+05
22,1.809439092387194956e-02,6.293340430772423506e-04,1.286144689352952939e-05,6.049458902638259872e+01,2.456937463770426984e+05
23,1.810166293798759138e-02,6.566576739384557670e-04,1.279705944157277934e-05,6.001451535955918359e+01,2.444390170246134803e+05
24,1.810924354418969040e-02,6.838973830173780558e-04,1.273234946822818933e-05,5.951976438258654412e+01,2.431141440187730477e+05
25,1.811713178234028096e-02,7.110497080114783859e-04,1.266735809559425987e-05,5.901067217626381023e+01,2.417238454456573236e+05
26,1.812532665347078853e-02,7.381111950716325205e-04,1.260212489399648047e-05,5.848744351121170126e+01,2.402689575266143074e+05
27,1.813382712321039841e-02,7.650784110898457401e-04,1.253669364518631961e-05,5.795054397412801706e+01,2.387569788077869161e+05
28,1.814263212031176978e-02,7.919479366316181700e-04,1.247111267297385933e-05,5.740013247322523426e+01,2.371891686423415376e+05
29,1.815174053867883025e-02,8.187163722127315966e-04,1.240543071760563045e-05,5.683678163032990938e+01,2.355676790021469933e+05
30,1.816115123252265082e-02,8.453803231876696198e-04,1.233969695779486045e-05,5.626096798226186735e+01,2.338947830199923483e+05
31,1.817086302367166076e-02,8.719364202435968877e-04,1.227396442535634056e-05,5.567308427865782505e+01,2.321727715093773149e+05
32,1.818087469762385069e-02,8.983813080031421592e-04,1.220828791976754015e-05,5.507354194280542714e+01,2.304037151631670422e+05
33,1.819118500395246890e-02,9.247116450682894102e-04,1.214271673837424982e-05,5.446287347688829072e+01,2.285897350954053982e+05
34,1.820179265876025951e-02,9.509241107976825706e-04,1.207729522461330014e-05,5.384155536879287496e+01,2.267325316402042808e+05
35,1.821269634055221881e-02,9.770153937363891105e-04,1.201206998817368974e-05,5.320999345012178594e+01,2.248334524328327680e+05
36,1.822389469963096864e-02,1.002982213879079947e-03,1.194709046545043938e-05,5.256864667504440547e+01,2.228936719280213583e+05
37,1.823538634393514005e-02,1.028821289611276009e-03,1.188240535612775067e-05,5.191811101064693190e+01,2.209158415739757183e+05
38,1.824716984960446028e-02,1.054529361261853995e-03,1.181806242079811005e-05,5.125870766127695788e+01,2.188986707431650721e+05
39,1.825924376541232866e-02,1.080103201029157956e-03,1.175411149994239968e-05,5.059088261394956731e+01,2.168429037727159157e+05
40,1.827160660091462982e-02,1.105539585517229971e-03,1.169060317108929940e-05,4.991534015984980499e+01,2.147526543173828686e+05
41,1.828425683595544943e-02,1.130835316570634897e-03,1.162758488078556002e-05,4.923246516317312427e+01,2.126283181836722360e+05
42,1.829719291381125962e-02,1.155987206897160892e-03,1.156510067934342957e-05,4.854274489781564483e+01,2.104707464921682840e+05
43,1.831041324666736123e-02,1.180992090604651018e-03,1.150319464728263964e-05,4.784668942803339320e+01,2.082809534718239156e+05
44,1.832391621314860899e-02,1.205846818625500938e-03,1.144191081828663992e-05,4.714479764855535393e+01,2.060597734681229049e+05
45,1.833770015795286104e-02,1.230548257539727970e-03,1.138129221275600984e-05,4.643761534646493061e+01,2.038083096330018889e+05
46,1.835176339576205171e-02,1.255093296980364006e-03,1.132138009263673916e-05,4.572566161362996695e+01,2.015274731844518392e+05
47,1.836610420447179828e-02,1.279478837373879997e-03,1.126221469388527921e-05,4.500950424832755203e+01,1.992185692720858497e+05
48,1.838072083162081011e-02,1.303701801244220053e-03,1.120383547252203924e-05,4.428966842132691539e+01,1.968828163507888385e+05
49,1.839561149480203883e-02,1.327759133588518907e-03,1.114628368149531003e-05,4.356670812740869536e+01,1.945215882482351444e+05
50,1.841077438009123060e-02,1.351647798781923076e-03,1.108960142388627033e-05,4.284123751770400901e+01,1.921379098747813259e+05
51,1.842620764086438934e-02,1.375364778902773023e-03,1.103382955190993983e-05,4.211352793960690377e+01,1.897307191729591868e+05
52,1.844190939281889832e-02,1.398907066407241049e-03,1.097900914254375001e-05,4.138412456507868598e+01,1.873024646176132956e+05
53,1.845787772003920982e-02,1.422271673772496905e-03,1.092518827997868936e-05,4.065356854445874291e+01,1.848561729850689881e+05
54,1.847411066871676097e-02,1.445455624927806989e-03,1.087242329032710959e-05,3.992221895412352239e+01,1.823927422777051106e+05
55,1.849060624440459003e-02,1.468455952144537063e-03,1.082077869182364945e-05,3.919051205145029826e+01,1.799130784208073164e+05
56,1.850736241044868141e-02,1.491269695568322919e-03,1.077033871939267980e-05,3.845891417887369101e+01,1.774177453907265444e+05
57,1.852437708343114900e-02,1.513893898123442033e-03,1.072123742217320083e-05,3.772793334933520271e+01,1.749076261320777703e+05
58,1.854164812838232992e-02,1.536325601695582958e-03,1.067367306058593936e-05,3.699807577066336961e+01,1.723834070174936205e+05
59,1.855917332600380901e-02,1.558561808658298067e-03,1.062792980002534071e-05,3.627004270434524358e+01,1.698482476660094108e+05
60,1.857695035345216863e-02,1.580599464119956032e-03,1.058446577398961939e-05,3.554388343368558623e+01,1.672937441804143600e+05
61,1.859497672914301944e-02,1.602435396821565985e-03,1.054417165593885045e-05,3.482246673145662186e+01,1.647540982331824489e+05
62,1.861324963374147087e-02,1.624066116148994900e-03,1.050921082328246017e-05,3.410009180253720729e+01,1.620939752993516449e+05
63,1.863176164525027004e-02,1.645482932813483986e-03,1.049022183076007967e-05,3.340904675014994751e+01,1.598545301221905684e+05
64,1.865049575822131864e-02,1.666666764873528037e-03,1.051943781801645043e-05,3.264940804573742383e+01,1.568977310656698828e+05
65,1.866945081594796954e-02,1.687617489484632928e-03,1.059385791424368960e-05,3.196050748842832334e+01,1.544643782768295496e+05
66,1.868863976364357887e-02,1.708350669103292927e-03,1.067970582495583047e-05,3.126079138785495104e+01,1.519230786967565946e+05
67,1.870806436450543966e-02,1.728868344745556045e-03,1.076816238873781993e-05,3.056374663983272910e+01,1.493553456239511142e+05
68,1.872772210170797064e-02,1.749167699609027000e-03,1.085757581341791024e-05,2.987113681523846509e+01,1.467806948304141115e+05
69,1.874761039225076101e-02,1.769245906545393893e-03,1.094730579814608974e-05,2.918368786207600252e+01,1.442045631437147676e+05
70,1.876772661505437048e-02,1.789100167982496034e-03,1.103706228183674958e-05,2.850215360672378750e+01,1.416326541224261455e+05
71,1.878806811453625006e-02,1.808727721874299910e-03,1.112667990525839923e-05,2.782624464590312741e+01,1.390623854587370006e+05
72,1.880863221322860018e-02,1.828125854365283921e-03,1.121605335807666036e-05,2.715682588645398710e+01,1.364962947395153460e+05
73,1.882941621176421887e-02,1.847291898420128043e-03,1.130511445142220060e-05,2.649425412257174628e+01,1.339394480181347753e+05
74,1.885041739045210940e-02,1.866223234162350071e-03,1.139382101408708967e-05,2.583810657440080405e+01,1.313891357395145460e+05
75,1.887163300530839832e-02,1.884917284144363046e-03,1.148214148709235960e-05,2.518897480118797461e+01,1.288421853649631375e+05
76,1.889306028789735151e-02,1.903371512441216036e-03,1.157005093006630073e-05,2.454800796066972524e+01,1.263032290005624673e+05
77,1.891469644629454119e-02,1.921583424661957003e-03,1.165753032626312050e-05,2.391556193542589170e+01,1.237776275830573577e+05
78,1.893653866567911875e-02,1.939550567740112906e-03,1.174456571049585953e-05,2.329155408889810275e+01,1.212658697781500086e+05
79,1.895858410788981915e-02,1.957270528845663111e-03,1.183114540796290978e-05,2.267640926813761482e+01,1.187665234820128389e+05
80,1.898082991159077970e-02,1.974740934966391203e-03,1.191725821646261918e-05,2.207092154520101346e+01,1.162813452613542613e+05
81,1.900327319443144078e-02,1.991959453984836013e-03,1.200289023575074069e-05,2.147558653734567358e+01,1.138150535131655779e+05
82,1.902591105408675889e-02,2.008923794833980883e-03,1.208802540817638019e-05,2.089028849153024225e+01,1.113721325071378087e+05
83,1.904874056576480110e-02,2.025631704935876992e-03,1.217264866683423033e-05,2.031458255475596530e+01,1.089540531547240244e+05
84,1.907175878232221858e-02,2.042080969880604151e-03,1.225674629536170997e-05,1.974812665467952044e+01,1.065599548520316748e+05
85,1.909496273415256865e-02,2.058269413002353828e-03,1.234030468533351942e-05,1.919086413306724026e+01,1.041882604353041970e+05
86,1.911834942967832046e-02,2.074194895412679023e-03,1.242331044955952055e-05,1.864296241432220214e+01,1.018385349628219992e+05
87,1.914191585595146142e-02,2.089855316093524023e-03,1.250575168076545079e-05,1.810464596187137687e+01,9.951149211006821133e+04
88,1.916565897831349133e-02,2.105248611406265995e-03,1.258761740588216016e-05,1.757602246393575385e+01,9.720765248678110947e+04
89,1.918957573929076094e-02,2.120372754208690869e-03,1.266889573780087055e-05,1.705719703759484318e+01,9.492804273288480181e+04
90,1.921366306018802012e-02,2.135225754719557827e-03,1.274957402235980930e-05,1.654828078642149336e+01,9.267343891483261541e+04
91,1.923791784972690017e-02,2.149805665420521060e-03,1.282964072033460032e-05,1.604941835178129494e+01,9.044466952314306400e+04
92,1.926233698467798988e-02,2.164110569319273054e-03,1.290908528354222970e-05,1.556076016550273522e+01,8.824282961055880878e+04
93,1.928691731953635982e-02,2.178138585671679159e-03,1.298789699320049035e-05,1.508241173740770513e+01,8.606921404398065351e+04
94,1.931165570103480014e-02,2.191887878394447025e-03,1.306606491173689962e-05,1.461440134507497213e+01,8.392506865231953270e+04
95,1.933654895196914095e-02,2.205356646208390947e-03,1.314357873517206064e-05,1.415668547793411314e+01,8.181134369078467716e+04
96,1.936159387644419833e-02,2.218543125631067953e-03,1.322042811009084025e-05,1.370917104750649607e+01,7.972853534031019080e+04
97,1.938678725897784866e-02,2.231445590430768816e-03,1.329660071479180951e-05,1.327176233139812034e+01,7.767703184766766208e+04
98,1.941212586508045054e-02,2.244062351859105880e-03,1.337208239758106951e-05,1.284430307391645876e+01,7.565577478788924054e+04
99,1.943760644303257901e-02,2.256391759451601819e-03,1.344685918102517044e-05,1.242696445448815368e+01,7.366771548868945683e+04
100,1.946322572448033056e-02,2.268432201166064189e-03,1.352091759611365942e-05,1.201951512268057165e+01,7.171015592121861118e+04
101,1.948898042410960110e-02,2.280182103118302047e-03,1.359424410374463069e-05,1.162193036876085728e+01,6.978388847139388963e+04
102,1.951486724014556140e-02,2.291639929703891826e-03,1.366682509681287014e-05,1.123417181706435919e+01,6.788953359779543825e+04
103,1.954088285557037050e-02,2.302804184035711025e-03,1.373864755520201045e-05,1.085618027538442831e+01,6.602745330265873054e+04
104,1.956702393832282158e-02,2.313673407892867951e-03,1.380969885819504965e-05,1.048788303589820714e+01,6.419797371330511669e+04
105,1.959328714102047050e-02,2.324246181515545948e-03,1.387996606984259083e-05,1.012919568201740361e+01,6.240139085773334955e+04
106,1.961966910093168939e-02,2.334521123524180026e-03,1.394943592674866944e-05,9.780024569250505451e+00,6.063795645491125470e+04
107,1.964616644130569995e-02,2.344496891374657846e-03,1.401809555909751061e-05,9.440268387099397529e+00,5.890787567873468652e+04
108,1.967277577366951039e-02,2.354172182086639031e-03,1.408593254575652059e-05,9.109818677502401485e+00,5.721130940328805445e+04
109,1.969949369670108072e-02,2.363545731686159026e-03,1.415293457943132000e-05,8.788560798443992184e+00,5.554838549143851560e+04
110,1.972631679684622857e-02,2.372616315273773802e-03,1.421908942408483005e-05,8.476373037657435106e+00,5.391916809812012070e+04
111,1.975324165055939926e-02,2.381382747659149032e-03,1.428438523297750036e-05,8.173131080718230024e+00,5.232373227174146450e+04
112,1.978026482398420952e-02,2.389843883035089930e-03,1.434881046468597938e-05,7.878698573448318143e+00,5.076199746936454903e+04
113,1.980738287335507067e-02,2.397998614942426117e-03,1.441235357011468931e-05,7.592926254469315239e+00,4.923381759081096970e+04
114,1.983459234621746947e-02,2.405845876442267925e-03,1.447500299372733074e-05,7.315686522829754068e+00,4.773934271822409210e+04
115,1.986188978415907858e-02,2.413384640648822809e-03,1.453674755326298944e-05,7.046827851138105281e+00,4.627829459262118326e+04
116,1.988927172394333934e-02,2.420613920686718115e-03,1.459757658113022991e-05,6.786200869607436736e+00,4.485049490202447487e+04
117,1.991673470019365844e-02,2.427532769958239134e-03,1.465748000800587943e-05,6.533653529492151613e+00,4.345575799462542636e+04
118,1.994427524915854885e-02,2.434140282523370152e-03,1.471644875416968936e-05,6.289031452012855183e+00,4.209387536166916107e+04
119,1.997188991255376828e-02,2.440435593235036095e-03,1.477447569516221040e-05,6.052175967463733208e+00,4.076461486459560547e+04
120,1.999957524410359011e-02,2.446417878196226886e-03,1.483155740723105003e-05,5.822923082229798375e+00,3.946773446156196587e+04
121,2.002732781851018079e-02,2.452086355245062989e-03,1.488769799173107054e-05,5.601102583252130174e+00,3.820299611668221769e+04
