,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801393234715019040e-02,1.413014671834004973e-05,1.412927266209419993e-05,6.669029522801085363e+01,2.666602697790761013e+05
1,1.801425149714686036e-02,1.408836530954368072e-05,4.239454304602617763e-05,6.667534564530714647e+01,2.678608773698722362e+05
2,1.801489032353694938e-02,1.403644686963207003e-05,7.066338990311253382e-05,6.664331222524434395e+01,2.692026746517934371e+05
3,1.801584884605696851e-02,1.398348017087248956e-05,9.892340098762061852e-05,6.659066492297665718e+01,2.703949348019897589e+05
4,1.801712692752430872e-02,1.393013798231556951e-05,1.271703046519028976e-04,6.651392254435518225e+01,2.710375327956483816e+05
5,1.801872439726176847e-02,1.387628187854917057e-05,1.554006465190630945e-04,6.641411105872832366e+01,2.709996718539411086e+05
6,1.802064104949404125e-02,1.382179514740659935e-05,1.836109544317784958e-04,6.629155771328440494e+01,2.704259049331559800e+05
7,1.802287663886473906e-02,1.376662382999401982e-05,2.117976913251724878e-04,6.614749666198626699e+01,2.694939775626130286e+05
8,1.802543087885413037e-02,1.371074941247579023e-05,2.399572797120640101e-04,6.598298614348951219e+01,2.682928340525016538e+05
9,1.802830344206944949e-02,1.365416907893521958e-05,2.680861311020263783e-04,6.579908429569474038e+01,2.669518708428679965e+05
10,1.803149396016908920e-02,1.359688777414199079e-05,2.961806527155750029e-04,6.559646519362964057e+01,2.655795705733508221e+05
11,1.803500202399377014e-02,1.353891677289484070e-05,3.242372527484744995e-04,6.537548395350428621e+01,2.642444102026133914e+05
12,1.803882718508612037e-02,1.348027236290557969e-05,3.522523519622479762e-04,6.513625432234206869e+01,2.629622811212019296e+05
13,1.804296895260795036e-02,1.342097307586027945e-05,3.802223628686192056e-04,6.487924792906416371e+01,2.617776140978510084e+05
14,1.804742679494994104e-02,1.336103963140005953e-05,4.081437014421073861e-04,6.460417066384395923e+01,2.606294309618885454e+05
15,1.805220014241732882e-02,1.330049647251490019e-05,4.360128054682239104e-04,6.431111344714840072e+01,2.595046752142541518e+05
16,1.805728838432628033e-02,1.323937073751901084e-05,4.638261134138886056e-04,6.400016379373553832e+01,2.584012941340447869e+05
17,1.806269086995946835e-02,1.317768779397511040e-05,4.915800714406029243e-04,6.367144925483093232e+01,2.573077488235837081e+05
18,1.806840690888305082e-02,1.311547184443222988e-05,5.192711347288751604e-04,6.332513342981200566e+01,2.562093457212510111e+05
19,1.807443577118430025e-02,1.305275062991973055e-05,5.468957680454372954e-04,6.296141686379975511e+01,2.550930897220721527e+05
20,1.808077668807194990e-02,1.298955620937864996e-05,5.744504478168751659e-04,6.258053067036240691e+01,2.539493047525834991e+05
21,1.808742885195000968e-02,1.292592185893726025e-05,6.019316619770198520e-04,6.218273347984592903e+01,2.527715127651192306e+05
22,1.809439141650769078e-02,1.286188249946281010e-05,6.293359095996117411e-04,6.176831753528531976e+01,2.515554726680629537e+05
23,1.810166349747704961e-02,1.279747779179126037e-05,6.566597032551579676e-04,6.133759742995037811e+01,2.502981478703898320e+05
24,1.810924417290757024e-02,1.273275100695693952e-05,6.838995692281755199e-04,6.089092335213698703e+01,2.489976186189340078e+05
25,1.811713248276941926e-02,1.266774327551025967e-05,7.110520457298472041e-04,6.042862609718745404e+01,2.476519703280226095e+05
26,1.812532742883204984e-02,1.260249414949876931e-05,7.381136821526499987e-04,5.995093073587844401e+01,2.462574608474401757e+05
27,1.813382797613869932e-02,1.253704740375638994e-05,7.650810434174907691e-04,5.945840061868513260e+01,2.448179104613030795e+05
28,1.814263305402933832e-02,1.247145138391212010e-05,7.919507123222705369e-04,5.895133156978265276e+01,2.433323887785029074e+05
29,1.815174155524576852e-02,1.240575467348242009e-05,8.187192860328156843e-04,5.843012353826598115e+01,2.418008820066973276e+05
30,1.816115233528294015e-02,1.234000674110171956e-05,8.453833738040971661e-04,5.789517643766163246e+01,2.402237905346593470e+05
31,1.817086421457113007e-02,1.227426066581744046e-05,8.719396027540478062e-04,5.734689288141472474e+01,2.386017610769654857e+05
32,1.818087597888745979e-02,1.220857080400262989e-05,8.983846183142163520e-04,5.678568396191757017e+01,2.369356069019518909e+05
33,1.819118637818634837e-02,1.214298637307706988e-05,9.247150805475823831e-04,5.621194985355651141e+01,2.352254237189717242e+05
34,1.820179412781603931e-02,1.207755170405335919e-05,9.509276668956251604e-04,5.562609619213175449e+01,2.334710345187752100e+05
35,1.821269790798125954e-02,1.201231333412417973e-05,9.770190702736839851e-04,5.502855803682437141e+01,2.316722630077129870e+05
36,1.822389636417449943e-02,1.194732060314674024e-05,1.002985999716552020e-03,5.441979061210381019e+01,2.298289530376873154e+05
37,1.823538810857775957e-02,1.188262210683745035e-05,1.028825183407951942e-03,5.380034756573979138e+01,2.279431232531172573e+05
38,1.824717171965457158e-02,1.181826541833493008e-05,1.054533367156125024e-03,5.317056722513425626e+01,2.260135659342283034e+05
39,1.825924574185456076e-02,1.175430021009122034e-05,1.080107313360141076e-03,5.253093315787288020e+01,2.240416393224980857e+05
40,1.827160868645117883e-02,1.169077689631338948e-05,1.105543802522852056e-03,5.188211758830494347e+01,2.220321010388173745e+05
41,1.828425903122355908e-02,1.162774271773796933e-05,1.130839632452361986e-03,5.122454692692704015e+01,2.199861952128726698e+05
42,1.829719522065634957e-02,1.156524145977980011e-05,1.155991618387234091e-03,5.055864266793753359e+01,2.179050251646947872e+05
43,1.831041566669803014e-02,1.150331692472796005e-05,1.180996594269423947e-03,4.988490278646453646e+01,2.157888853175355762e+05
