,iteration,time,absolute-residual,relative-residual,cfl
0,1.000000000000000000e+00,0.000000000000000000e+00,1.071490941000000021e+04,1.000000000000000000e+00,2.000000000000000111e-01
1,5.000000000000000000e+01,9.522381580000000371e-09,1.055348265999999967e+04,9.849343804000000313e-01,2.184266625999999878e+00
2,1.000000000000000000e+02,1.127998916000000027e-07,9.973310299000000668e+03,9.307881121000000091e-01,2.504785864000000117e+01
3,1.500000000000000000e+02,3.830555762000000261e-07,8.855783412000000681e+03,8.264916739000000012e-01,1.942872493000000134e+01
4,2.000000000000000000e+02,5.027980749000000125e-07,8.601435030000000552e+03,8.027538734000000398e-01,1.942872493000000134e+01
5,2.500000000000000000e+02,5.722851167000000080e-07,8.674700996999999916e+03,8.095916322999999748e-01,1.020008059000000067e+01
6,3.000000000000000000e+02,6.254299333000000426e-07,8.927496886999999333e+03,8.331845420000000280e-01,1.020008059000000067e+01
7,3.500000000000000000e+02,6.772942037999999589e-07,9.419454331000000820e+03,8.790978973999999946e-01,1.020008059000000067e+01
8,4.000000000000000000e+02,7.275317406999999548e-07,1.027091097000000082e+04,9.585625580000000090e-01,1.020008059000000067e+01
9,4.500000000000000000e+02,7.766894313000000142e-07,1.162914472000000023e+04,1.085323661999999967e+00,1.020008059000000067e+01
10,5.000000000000000000e+02,8.256680706999999866e-07,1.370666853000000083e+04,1.279214596999999953e+00,1.020008059000000067e+01
11,5.500000000000000000e+02,8.752534291999999937e-07,1.728713884999999937e+04,1.613372376000000052e+00,1.020008059000000067e+01
12,6.000000000000000000e+02,9.260860001000000200e-07,2.369851279000000068e+04,2.211732446000000074e+00,1.020008059000000067e+01
13,6.500000000000000000e+02,9.807641397999999950e-07,3.312319860000000335e+04,3.091318585999999868e+00,1.124558885000000075e+01
14,7.000000000000000000e+02,1.045675823999999970e-06,4.412838644999999815e+04,4.118409663999999637e+00,1.239826170000000083e+01
15,7.500000000000000000e+02,1.124318240000000073e-06,5.391530529999999999e+04,5.031802253000000391e+00,1.435253769999999918e+01
16,8.000000000000000000e+02,1.221979583999999961e-06,6.048229824999999983e+04,5.644685918000000413e+00,1.831787925000000072e+01
17,8.500000000000000000e+02,1.345527639999999968e-06,6.236390813000000344e+04,5.820292617999999862e+00,2.337877154999999973e+01
18,9.000000000000000000e+02,1.504120441000000063e-06,6.077387483999999677e+04,5.671898148999999556e+00,2.983789507999999913e+01
19,9.500000000000000000e+02,1.718639689999999924e-06,5.733772230000000127e+04,5.351209246999999891e+00,4.198491477999999688e+01
20,1.000000000000000000e+03,2.026965934000000125e-06,5.276135108000000037e+04,4.924106128000000027e+00,5.907699132999999847e+01
21,1.050000000000000000e+03,2.462037412999999975e-06,5.127129194000000280e+04,4.785042037000000192e+00,7.916881854000000374e+01
22,1.100000000000000000e+03,3.010758124000000178e-06,5.353810564000000159e+04,4.996599000999999873e+00,1.010417034000000029e+02
23,1.150000000000000000e+03,3.688719904000000140e-06,5.609988696999999956e+04,5.235684673999999816e+00,1.289576630999999907e+02
24,1.200000000000000000e+03,4.535928162999999834e-06,5.883659982999999920e+04,5.491096340000000353e+00,1.645862878000000080e+02
25,1.250000000000000000e+03,5.599277384000000029e-06,6.069587438000000111e+04,5.664618530000000263e+00,2.100584446000000014e+02
26,1.300000000000000000e+03,6.948405867999999940e-06,6.196678616000000329e+04,5.783230058000000007e+00,2.680937197999999739e+02
27,1.350000000000000000e+03,8.656056563999999575e-06,6.292754987000000256e+04,5.872896117999999888e+00,3.258695920000000115e+02
28,1.400000000000000000e+03,1.083065048999999925e-05,6.376663853999999992e+04,5.951206501999999787e+00,4.159013520999999969e+02
29,1.450000000000000000e+03,1.359231372999999991e-05,6.464748255999999674e+04,6.033413825000000230e+00,5.308072274999999536e+02
30,1.500000000000000000e+03,1.710600521999999839e-05,6.568081935000000522e+04,6.129852977999999730e+00,6.774594776999999794e+02
31,1.550000000000000000e+03,2.161407339999999952e-05,6.705100660999999673e+04,6.257729678999999656e+00,8.646290407999999843e+02
32,1.600000000000000000e+03,2.723299896999999942e-05,6.737481346999999369e+04,6.287949893000000401e+00,1.000000000000000000e+03
33,1.650000000000000000e+03,3.305011682000000018e-05,6.415527923000000010e+04,5.987477521999999830e+00,1.000000000000000000e+03
34,1.700000000000000000e+03,3.886724892000000160e-05,5.942781747000000178e+04,5.546273441000000304e+00,1.000000000000000000e+03
35,1.750000000000000000e+03,4.468438338999999870e-05,5.479158123999999953e+04,5.113583247000000220e+00,1.000000000000000000e+03
36,1.800000000000000000e+03,5.050151826000000234e-05,5.057493467999999848e+04,4.720052476000000219e+00,1.000000000000000000e+03
37,1.850000000000000000e+03,5.631865318999999814e-05,4.719980887999999686e+04,4.405059070000000077e+00,1.000000000000000000e+03
38,1.900000000000000000e+03,6.213578814000000037e-05,4.453099068999999872e+04,4.155983872000000190e+00,1.000000000000000000e+03
39,1.950000000000000000e+03,6.795292309000000260e-05,4.207401722000000154e+04,3.926679696999999969e+00,1.000000000000000000e+03
40,2.000000000000000000e+03,7.377005804000000483e-05,3.966132661999999982e+04,3.701508346999999866e+00,1.000000000000000000e+03
41,2.050000000000000000e+03,7.391100000000000436e-05,3.959571452999999747e+04,3.695384908999999940e+00,2.134379142999999956e+01
42,2.100000000000000000e+03,7.616951512999999853e-05,3.883149738999999681e+04,3.624062127999999827e+00,1.000000000000000000e+03
43,2.150000000000000000e+03,8.198665008000000076e-05,3.743070661999999720e+04,3.493329267000000016e+00,1.000000000000000000e+03
44,2.200000000000000000e+03,8.780378503000000300e-05,3.675867373000000225e+04,3.430609848000000017e+00,1.000000000000000000e+03
45,2.250000000000000000e+03,9.362091998000000523e-05,3.635893527999999787e+04,3.393303096999999990e+00,1.000000000000000000e+03
46,2.300000000000000000e+03,9.943805492999999390e-05,3.605974723999999696e+04,3.365380505000000078e+00,1.000000000000000000e+03
47,2.350000000000000000e+03,1.052551899000000026e-04,3.577724824999999691e+04,3.339015467999999931e+00,1.000000000000000000e+03
48,2.400000000000000000e+03,1.110723248000000023e-04,3.556465271000000212e+04,3.319174371999999984e+00,1.000000000000000000e+03
49,2.450000000000000000e+03,1.168894597999999935e-04,3.540695203999999649e+04,3.304456500000000130e+00,1.000000000000000000e+03
50,2.500000000000000000e+03,1.227065947000000067e-04,3.525834758000000147e+04,3.290587557999999913e+00,1.000000000000000000e+03
51,2.550000000000000000e+03,1.285237297000000115e-04,3.509738558000000194e+04,3.275565311999999896e+00,1.000000000000000000e+03
52,2.600000000000000000e+03,1.343408646000000112e-04,3.492265054000000237e+04,3.259257658000000113e+00,1.000000000000000000e+03
53,2.650000000000000000e+03,1.401579995999999888e-04,3.473047602000000188e+04,3.241322412999999791e+00,1.000000000000000000e+03
54,2.700000000000000000e+03,1.459751344999999886e-04,3.452232964000000356e+04,3.221896548000000138e+00,1.000000000000000000e+03
55,2.750000000000000000e+03,1.517922694999999933e-04,3.430153534999999829e+04,3.201290280999999904e+00,1.000000000000000000e+03
56,2.800000000000000000e+03,1.576094043999999930e-04,3.407572280999999930e+04,3.180215671000000022e+00,1.000000000000000000e+03
57,2.850000000000000000e+03,1.634265393999999978e-04,3.384678100000000268e+04,3.158849013000000205e+00,1.000000000000000000e+03
58,2.900000000000000000e+03,1.692436742999999975e-04,3.361639775999999983e+04,3.137347827999999783e+00,1.000000000000000000e+03
59,2.950000000000000000e+03,1.750608093000000022e-04,3.337784027999999671e+04,3.115083759000000008e+00,1.000000000000000000e+03
60,3.000000000000000000e+03,1.808779442000000019e-04,3.312774848000000202e+04,3.091743216999999877e+00,1.000000000000000000e+03
61,3.050000000000000000e+03,2.092336443000000106e-04,3.130275504000000001e+04,2.921420410000000079e+00,1.000000000000000000e+04
62,3.100000000000000000e+03,2.674049937999999787e-04,2.780258872999999949e+04,2.594757237000000050e+00,1.000000000000000000e+04
63,3.150000000000000000e+03,3.255763432999999739e-04,2.397208079999999973e+04,2.237263973000000128e+00,1.000000000000000000e+04
64,3.200000000000000000e+03,3.837476928000000233e-04,1.892081230000000141e+04,1.765839689000000101e+00,1.000000000000000000e+04
65,3.250000000000000000e+03,4.419190423000000185e-04,1.421863165999999910e+04,1.326995042000000069e+00,1.000000000000000000e+04
66,3.300000000000000000e+03,5.000903918000000137e-04,1.025790323999999964e+04,9.573485739000000549e-01,1.000000000000000000e+04
67,3.350000000000000000e+03,5.582617413000000089e-04,7.160962061000000176e+03,6.683175553000000324e-01,1.000000000000000000e+04
68,3.400000000000000000e+03,6.164330908000000041e-04,4.714276154000000133e+03,4.399734961999999805e-01,1.000000000000000000e+04
69,3.450000000000000000e+03,6.746044402999999993e-04,2.785949295999999777e+03,2.600067989000000024e-01,1.000000000000000000e+04
70,3.500000000000000000e+03,7.327757897999999945e-04,1.430488059999999905e+03,1.335044474000000037e-01,1.000000000000000000e+04
71,3.550000000000000000e+03,7.909471392999999897e-04,6.783619671999999809e+02,6.331009824000000119e-02,1.000000000000000000e+04
72,3.600000000000000000e+03,8.491184887999999849e-04,3.099662696999999980e+02,2.892850120000000150e-02,1.000000000000000000e+04
73,3.650000000000000000e+03,9.072898382999999801e-04,1.371107090000000142e+02,1.279625461999999922e-02,1.000000000000000000e+04
74,3.700000000000000000e+03,9.654611877999999753e-04,4.070649530000000027e+01,3.799051745999999959e-03,1.000000000000000000e+04
75,3.750000000000000000e+03,1.023632537000000037e-03,1.391626289999999955e+01,1.298775600000000047e-03,1.000000000000000000e+04
76,3.800000000000000000e+03,1.081803887000000030e-03,7.097234739000000125e+00,6.623700181000000305e-04,1.000000000000000000e+04
77,3.850000000000000000e+03,1.139975236000000027e-03,6.644554048999999907e+00,6.201222797000000009e-04,1.000000000000000000e+04
