,x/h,pressure
0,-4.040000000000000036e+00,8.661737857765032800e-01
1,-4.028630086526956866e+00,8.648290440733762408e-01
2,-4.016954458955567908e+00,8.636509072485837324e-01
3,-4.004748459414057216e+00,8.638782510569456008e-01
4,-3.992012097237218615e+00,8.640196898895038391e-01
5,-3.978745118482786225e+00,8.640441491274220009e-01
6,-3.964947395519663687e+00,8.640767592143505649e-01
7,-3.950618539828789189e+00,8.640801899094960881e-01
8,-3.935758444975813841e+00,8.640623603153450016e-01
9,-3.920367030573411959e+00,8.640304988392080165e-01
10,-3.904443841955734573e+00,8.639877051175687273e-01
11,-3.887988897030084434e+00,8.639357069579387538e-01
12,-3.871002209479061484e+00,8.638769257762588527e-01
13,-3.853483138950102749e+00,8.638118971830750503e-01
14,-3.835431862134475622e+00,8.637426000948228433e-01
15,-3.816847980188341261e+00,8.636685431897178633e-01
16,-3.797731670407704652e+00,8.635880787870789943e-01
17,-3.778082455078397572e+00,8.635039607976625620e-01
18,-3.757900495604220570e+00,8.633661338257172524e-01
19,-3.737185360180389271e+00,8.633180375308441290e-01
20,-3.715937204255668203e+00,8.632187259958080672e-01
21,-3.694155612010831646e+00,8.631117622372487252e-01
22,-3.671840758450468201e+00,8.629974536315283551e-01
23,-3.648992285389843104e+00,8.628791006251417262e-01
24,-3.625610313871941326e+00,8.627519117586291975e-01
25,-3.601694534774948053e+00,8.626134676473580232e-01
26,-3.577245057668497985e+00,8.624680333095842144e-01
27,-3.552261587302643520e+00,8.623146683522227018e-01
28,-3.526744223994668470e+00,8.621501026195677042e-01
29,-3.500692747214770417e+00,8.619728335136317421e-01
30,-3.474107274317379979e+00,8.617827652737350963e-01
31,-3.446987560635018433e+00,8.615794000200149849e-01
32,-3.419333656916266229e+00,8.614744208495030975e-01
33,-3.391145401319277219e+00,8.611270531573855802e-01
34,-3.362422871151375503e+00,8.608735562538797348e-01
35,-3.333165951458489040e+00,8.605991056184298937e-01
36,-3.303374685617881834e+00,8.603036957654941475e-01
37,-3.273048988364363865e+00,8.599856285806922740e-01
38,-3.242188892238380138e+00,8.596424868289311849e-01
39,-3.210794324166191149e+00,8.592702470658314384e-01
40,-3.178865273743534114e+00,8.588638140375621788e-01
41,-3.146401712643945192e+00,8.584211606949754270e-01
42,-3.113403673506641045e+00,8.579419959880218993e-01
43,-3.079871205039690807e+00,8.574230839635347268e-01
44,-3.045804250360927501e+00,8.568593340310607376e-01
45,-3.011202925362590932e+00,8.562460831642125791e-01
46,-2.976067267569599828e+00,8.552297130427984895e-01
47,-2.940397360262214210e+00,8.548492396960498674e-01
48,-2.904193004956004742e+00,8.540491404617416293e-01
49,-2.867454357291081557e+00,8.531819530190146716e-01
50,-2.830181459352570705e+00,8.522508826336916421e-01
51,-2.792374570613525453e+00,8.512274801334015484e-01
52,-2.754033529987963913e+00,8.500996341015747415e-01
53,-2.715158513500147919e+00,8.488720461734826639e-01
54,-2.675749431191679850e+00,8.475315102743991025e-01
55,-2.635806573835193234e+00,8.460711659664172934e-01
56,-2.595329821260029757e+00,8.444800188667457297e-01
57,-2.554319521119009284e+00,8.427432398234425692e-01
58,-2.512775510978486615e+00,8.408538899624650176e-01
59,-2.470698213914034547e+00,8.387941900055680966e-01
60,-2.428087452197545293e+00,8.354278586503040005e-01
61,-2.384943635883302271e+00,8.341424949967867208e-01
62,-2.341266550960529713e+00,8.315141755605910401e-01
63,-2.297056689683375286e+00,8.286733667000114600e-01
64,-2.252313845163582240e+00,8.256085052148817161e-01
65,-2.207038444355123641e+00,8.222839112040950527e-01
66,-2.161230376890641125e+00,8.186968529082605528e-01
67,-2.114890165177400583e+00,8.148583314367450203e-01
68,-2.068017514569382875e+00,8.107231427737664475e-01
69,-2.020612923423249718e+00,8.063122188081031094e-01
70,-1.972676270327180736e+00,8.015798356753198739e-01
71,-1.924208112215281208e+00,7.965607015339764008e-01
72,-1.875208201154529020e+00,7.911993326290073236e-01
73,-1.825677122279318443e+00,7.855500953079027626e-01
74,-1.775614667981131323e+00,7.764159649800898011e-01
75,-1.725021544700434672e+00,7.732598294332211353e-01
76,-1.673897404398462463e+00,7.666526147942851477e-01
77,-1.622242917990461608e+00,7.597452556337761509e-01
78,-1.570057835674286473e+00,7.525461301431188854e-01
79,-1.517342896432131383e+00,7.450559223010877474e-01
80,-1.464097879933110802e+00,7.373137020719580104e-01
81,-1.410323543983935224e+00,7.293091793118727795e-01
82,-1.356019568934800468e+00,7.211005087583605144e-01
83,-1.301186730895982580e+00,7.126722548443376049e-01
84,-1.245824724932428129e+00,7.040970317044255022e-01
85,-1.189934384179831550e+00,6.953654525938699482e-01
86,-1.133515445121318965e+00,6.865500470531940014e-01
87,-1.076568785519935512e+00,6.776651955328343302e-01
88,-1.019094061542133334e+00,6.642754537889092870e-01
89,-9.610921417135281919e-01,6.598126483686380661e-01
90,-9.025626925971835801e-01,6.509081781297932912e-01
91,-8.435066540647222499e-01,6.420649607141402093e-01
92,-7.839238241590050782e-01,6.333192209601269385e-01
93,-7.238149214215610083e-01,6.247009031883187236e-01
94,-6.631799190137489530e-01,6.162399366985078508e-01
95,-6.020193771803404870e-01,6.079595773083392718e-01
96,-5.403335095476604621e-01,5.998830095078439006e-01
97,-4.781227739058505066e-01,5.920275419418284946e-01
98,-4.153872498780382116e-01,5.844068860318664127e-01
99,-3.521276137693246100e-01,5.770295017286699579e-01
100,-2.883439609657977298e-01,5.699009146063271913e-01
101,-2.240368439323420224e-01,5.630172355659858185e-01
102,-1.592064214713869719e-01,5.596329919740008485e-01
103,-9.385329621170017400e-02,5.499273662204103852e-01
104,-2.797768235448325203e-02,5.436672539001590199e-01
105,3.842000759794866188e-02,5.375466887260089699e-01
106,1.053393900206594652e-01,5.315064492406215146e-01
107,1.727800223565817694e-01,5.254881629599166271e-01
108,2.407415182496763784e-01,5.194535759419207643e-01
109,3.092235191831804730e-01,5.133804874588876466e-01
110,3.782255909910386404e-01,5.072484236296188609e-01
111,4.477471995712916653e-01,5.010422890676156094e-01
112,5.177881293392061490e-01,4.947518986573243294e-01
113,5.883478003898816588e-01,4.883723797485585161e-01
114,6.594259114031493230e-01,4.819037977905024084e-01
115,7.310217162436497551e-01,4.753506453924178921e-01
116,8.031352144782465396e-01,4.653800563888058628e-01
117,8.757656009829541954e-01,4.620062206967677221e-01
118,9.489125693930491323e-01,4.552230030320766896e-01
119,1.022575508484774964e+00,4.483707593916246292e-01
120,1.096754335203731889e+00,4.414530119889084059e-01
121,1.171448075945111134e+00,4.344754514787907973e-01
122,1.246656516788857916e+00,4.274450123005429369e-01
123,1.322379107847570623e+00,4.203689943937896634e-01
124,1.398615534700479612e+00,4.132557317062315883e-01
125,1.475364852058128617e+00,4.061132590896733285e-01
126,1.552627090812143784e+00,3.989489893284458577e-01
127,1.630401390772003856e+00,3.917693880447115085e-01
128,1.708687439470585767e+00,3.845796233765723104e-01
129,1.787484458672386367e+00,3.773850990210866896e-01
130,1.866792156456217100e+00,3.665910757114179130e-01
131,1.946609944764460032e+00,3.629817779599723848e-01
132,2.026937202892453715e+00,3.557171079515658585e-01
133,2.107773442643949835e+00,3.486875916160454003e-01
134,2.189118161236988325e+00,3.415369398046758653e-01
135,2.270970768616144664e+00,3.380627818662318429e-01
136,2.353330642038756970e+00,3.625918863509788870e-01
137,2.436197183175902392e+00,4.211523863080987029e-01
138,2.519570057033852617e+00,4.779658407600282377e-01
139,2.603448416300766066e+00,5.202861860314856868e-01
140,2.687831804231941124e+00,5.490151177359631207e-01
141,2.772719530913927422e+00,5.629430798693404459e-01
142,2.858111364059545689e+00,5.714839434987752931e-01
143,2.944006204839636265e+00,5.776189144068482051e-01
144,3.030403685326245711e+00,5.841397338380790449e-01
145,3.117303212250800204e+00,5.855809368793442049e-01
146,3.204704241777379892e+00,5.881650491899620414e-01
147,3.292605896761763518e+00,5.902829941754216270e-01
148,3.381007777963048078e+00,5.921986204731087833e-01
149,3.469909208419700519e+00,5.940933326264326020e-01
150,3.559309559225829922e+00,5.960502988950301395e-01
151,3.649207996414643329e+00,5.981063565250621661e-01
152,3.739604157626486458e+00,6.002675859435137040e-01
153,3.830497269429459006e+00,6.025407365583702601e-01
154,3.921886628381375139e+00,6.049246441109066286e-01
155,4.013771501335238412e+00,6.074023537843349363e-01
156,4.106151508952879503e+00,6.099477559766232071e-01
157,4.199025724833607143e+00,6.125365162694800247e-01
158,4.292393507136841535e+00,6.165666031550278703e-01
159,4.386254152426561248e+00,6.179582592418548792e-01
160,4.480607164451137159e+00,6.207716285302659065e-01
161,4.575451601349231900e+00,6.236239694654693855e-01
162,4.670786828698095583e+00,6.265081928100593167e-01
163,4.766612196909018273e+00,6.294231430555313755e-01
164,4.862927103507494131e+00,6.323626821140729826e-01
165,4.959730467043013569e+00,6.353251765950960195e-01
166,5.057021915775875343e+00,6.383059715388691435e-01
167,5.154800607573852389e+00,6.413045222357109942e-01
168,5.253065858272116806e+00,6.443152404371065289e-01
169,5.351816764841604623e+00,6.473320050019535365e-01
170,5.451052754392182287e+00,6.503531334456884583e-01
171,5.550773121482686534e+00,6.533723386566032687e-01
172,5.650976882646027377e+00,6.548785275972865971e-01
173,5.751663421744590998e+00,6.593864528153079441e-01
174,5.852832007308754747e+00,6.623631606512938585e-01
175,5.954481857197450267e+00,6.653167700995901157e-01
176,6.056612095181786337e+00,6.682253259640055232e-01
177,6.159221963172025305e+00,6.711005682469457501e-01
178,6.262310879643379735e+00,6.739263368092266449e-01
179,6.365877838663862143e+00,6.767051631653747679e-01
180,6.469922062514881667e+00,6.794250870991044300e-01
181,6.574442811615943683e+00,6.820863956348102164e-01
182,6.679439398704078990e+00,6.846843026115668751e-01
183,6.784910798179368818e+00,6.872199953986450893e-01
184,6.890856242906827411e+00,6.896814877896297880e-01
185,6.997275053488105634e+00,6.920675776359739295e-01
186,7.104166383061660817e+00,6.955106455594215475e-01
187,7.211529198448709543e+00,6.966353390059663031e-01
188,7.319362909725855459e+00,6.988094144300098787e-01
189,7.427666553351509826e+00,7.009022317585527073e-01
190,7.536439395534332952e+00,7.029314340051324717e-01
191,7.645680352631345933e+00,7.049004403897033422e-01
192,7.755388846401661596e+00,7.068084202057852705e-01
193,7.865563927729572136e+00,7.086251006052216583e-01
194,7.976204708675489030e+00,7.103980770639022335e-01
195,8.087310192137891818e+00,7.120916094408669128e-01
196,8.198879840575052924e+00,7.138111153166303291e-01
197,8.310912505162868058e+00,7.153993943192676896e-01
198,8.423407401517401638e+00,7.170011037071543081e-01
199,8.536363648914354840e+00,7.177771942210735556e-01
200,8.650000000000000355e+00,7.176328444646534743e-01
