,x/h,pressure
0,-4.040000000003600711e+00,8.680974872479104709e-01
1,-4.034318169511725394e+00,8.646191729662323633e-01
2,-4.028558034206470850e+00,8.648077651277044087e-01
3,-4.022664720666720761e+00,8.650344478726298414e-01
4,-4.016638193053732486e+00,8.651122155803370184e-01
5,-4.010478415869123126e+00,8.651922672446015206e-01
6,-4.004185353948752635e+00,8.652712600996208536e-01
7,-3.997758972458195892e+00,8.653437275427906528e-01
8,-3.991199236884781953e+00,8.654361600865270177e-01
9,-3.984506113032515895e+00,8.654607440269257435e-01
10,-3.977679567015304674e+00,8.655054140773165150e-01
11,-3.970719565250377947e+00,8.655425834393981610e-01
12,-3.963626074451395809e+00,8.655734136686396019e-01
13,-3.956399061622188462e+00,8.655988265007023008e-01
14,-3.949038494475732186e+00,8.656202650800428611e-01
15,-3.941544363257190930e+00,8.656464147004607756e-01
16,-3.933916616809479905e+00,8.656536296343381176e-01
17,-3.926155227229740863e+00,8.656670320618913284e-01
18,-3.918260218916668425e+00,8.656789178672450458e-01
19,-3.910231486834111703e+00,8.656897040179577507e-01
20,-3.902069032491373157e+00,8.656998215450045775e-01
21,-3.893772828189929758e+00,8.657094015316961766e-01
22,-3.885342846683547791e+00,8.657229423130933244e-01
23,-3.876779061178766028e+00,8.657274795008200741e-01
24,-3.868081445335874946e+00,8.657367211488528058e-01
25,-3.859249973266059008e+00,8.657460769382251398e-01
26,-3.850284619538229425e+00,8.657556846658109873e-01
27,-3.841185359173291403e+00,8.657658726812553773e-01
28,-3.831952174295006674e+00,8.657766374771730389e-01
29,-3.822585020890113761e+00,8.657937498749354033e-01
30,-3.813083895289373082e+00,8.657999332564563222e-01
31,-3.803448767686711474e+00,8.658125868536319381e-01
32,-3.793679623036315895e+00,8.658263800897234574e-01
33,-3.783776409432529686e+00,8.658412069799835686e-01
34,-3.773739148132034149e+00,8.658567881244400022e-01
35,-3.763567790069682228e+00,8.658734141723114508e-01
36,-3.753262301292063619e+00,8.659005392397761680e-01
37,-3.742822739812659449e+00,8.659103246522915631e-01
38,-3.732248970971809410e+00,8.659305113122371944e-01
39,-3.721541027017227776e+00,8.659519219914956212e-01
40,-3.710698942204277095e+00,8.659750989619690031e-01
41,-3.699722607340066194e+00,8.659998709115444004e-01
42,-3.688612094184802626e+00,8.660259469834699075e-01
43,-3.677367274456229573e+00,8.660677837753201214e-01
44,-3.665988221505452671e+00,8.660831306608678393e-01
45,-3.654474890010309007e+00,8.661144919438511502e-01
46,-3.642827264651123276e+00,8.661475388462840375e-01
47,-3.631045328547740869e+00,8.661825754256764487e-01
48,-3.619129067421317902e+00,8.662201969589409245e-01
49,-3.607078465054729399e+00,8.662601203488726753e-01
50,-3.594893508688852712e+00,8.662804262799351784e-01
51,-3.582574182874116442e+00,8.663463855873292374e-01
52,-3.570120474562520574e+00,8.663934792297717236e-01
53,-3.557532370141488709e+00,8.664434063165066258e-01
54,-3.544809858341547937e+00,8.664959168763238795e-01
55,-3.531952926177243324e+00,8.665511802036380828e-01
56,-3.518961562306438751e+00,8.666102607827358417e-01
57,-3.505835755249997909e+00,8.667049740675709657e-01
58,-3.492575494502761835e+00,8.667387730599157569e-01
59,-3.479180769754354863e+00,8.668081434049633716e-01
60,-3.465651571035595513e+00,8.668817427818756860e-01
61,-3.451987889309270585e+00,8.669595296682539587e-01
62,-3.438189715228014087e+00,8.670412329531245188e-01
63,-3.424257041094634246e+00,8.671270922261570258e-01
64,-3.410189858542734154e+00,8.672670802201937201e-01
65,-3.395988159602429945e+00,8.673166443315639684e-01
66,-3.381651932739698108e+00,8.674187128461543494e-01
67,-3.367181187608109028e+00,8.675263932919640153e-01
68,-3.352575901260689051e+00,8.676406484216911963e-01
69,-3.337836073645820800e+00,8.677615425011724337e-01
70,-3.322961699968277394e+00,8.678887327260924600e-01
