"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.189966851441099e-01,2.620138505044853e-02,1.732743583765394e-07,5.936665915586158e-02,-1.850596669412465e-02,2.597942587578606e-15,1.861450502878986e+00,9.774360452392810e-01,3.734127960618622e-04,0.000000000000000e+00,1.320063895478742e+00,0.000000000000000e+00,5.097914318003133e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.189949759791983e-01,2.759081905542610e-02,1.800981432661327e-07,5.906122972893908e-02,-2.411754017421848e-02,2.420249675476030e-15,1.861445876387093e+00,9.774340733360246e-01,5.508524505205728e-04,0.000000000000000e+00,1.320065608560726e+00,0.000000000000000e+00,5.097918662615344e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.189932668142871e-01,2.898025306040368e-02,1.869219281557261e-07,5.875580030201659e-02,-2.972911365431231e-02,2.242556763373456e-15,1.861441249895200e+00,9.774321014327684e-01,7.282921049792833e-04,0.000000000000000e+00,1.320067321642710e+00,0.000000000000000e+00,5.097923007227556e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.189915576495745e-01,3.036968690362986e-02,1.937457122509245e-07,5.845037091065066e-02,-3.534068648113328e-02,2.064863871956948e-15,1.861436623403845e+00,9.774301295297414e-01,9.057317387812960e-04,0.000000000000000e+00,1.320069034724495e+00,0.000000000000000e+00,5.097927351839259e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.189898484844642e-01,3.175912107035883e-02,2.005694979349128e-07,5.814494144817158e-02,-4.095226061449997e-02,1.887170939168313e-15,1.861431996911413e+00,9.774281576262560e-01,1.083171413896704e-03,0.000000000000000e+00,1.320070747806679e+00,0.000000000000000e+00,5.097931696451977e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.189881393201496e-01,3.314855459008220e-02,2.073932804413269e-07,5.783951212791907e-02,-4.656383213477450e-02,1.709478089124274e-15,1.861427370421135e+00,9.774261857236882e-01,1.260611006385333e-03,0.000000000000000e+00,1.320072460888065e+00,0.000000000000000e+00,5.097936041062670e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.189864301550392e-01,3.453798875681119e-02,2.142170661253114e-07,5.753408266543981e-02,-5.217540626814163e-02,1.531785156335455e-15,1.861422743928704e+00,9.774242138202024e-01,1.438050681500729e-03,0.000000000000000e+00,1.320074173970249e+00,0.000000000000000e+00,5.097940385675387e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.189847209899287e-01,3.592742292354015e-02,2.210408518092998e-07,5.722865320296075e-02,-5.778698040150834e-02,1.354092223546789e-15,1.861418117436272e+00,9.774222419167164e-01,1.615490356616140e-03,0.000000000000000e+00,1.320075887052433e+00,0.000000000000000e+00,5.097944730288104e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.189830118248185e-01,3.731685709026912e-02,2.278646374932862e-07,5.692322374048159e-02,-6.339855453487528e-02,1.176399290758049e-15,1.861413490943840e+00,9.774202700132306e-01,1.792930031731543e-03,0.000000000000000e+00,1.320077600134617e+00,0.000000000000000e+00,5.097949074900821e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.189813026612997e-01,3.870628996298693e-02,2.346884168221260e-07,5.661779456245564e-02,-6.901012344205758e-02,9.987065234586848e-16,1.861408864455717e+00,9.774182981115812e-01,1.970369541593388e-03,0.000000000000000e+00,1.320079313215205e+00,0.000000000000000e+00,5.097953419509492e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
