"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.497131525945741e-01,9.603317244884672e-01,1.560490843664632e-02,8.327893183702527e+00,9.138630554268713e-02,-6.121976978262118e-13,1.958558492883579e+00,8.940265968394782e-01,3.456986150715720e-05,0.000000000000000e+00,1.352475877646307e+00,2.138721514492697e+00,9.819102786116176e-01,5.133307353938675e+00,1,0.000000000000000e+00,5.200999975204468e-01,0.000000000000000e+00,5.000000000000000e-01
6.497748812938847e-01,9.591717927497829e-01,1.560490843664632e-02,8.302633228379930e+00,6.539897766069645e-02,-6.080518047231482e-13,1.958505563323568e+00,8.941004147264585e-01,-1.022344934749541e-04,0.000000000000000e+00,1.352442986299424e+00,2.138387248163473e+00,9.819102786116176e-01,5.133258493257755e+00,1,2.500000118743628e-04,5.200999975204468e-01,2.500000118743628e-04,5.000000000000000e-01
6.498366099931955e-01,9.580118610110987e-01,1.560490843664632e-02,8.277373273057336e+00,3.941164977870577e-02,-6.039059116200847e-13,1.958452633763557e+00,8.941742326134389e-01,-2.390388484570653e-04,0.000000000000000e+00,1.352410094952542e+00,2.138052981834251e+00,9.819102786116178e-01,5.133209632576836e+00,1,5.000000237487257e-04,5.200999975204468e-01,5.000000237487257e-04,5.000000000000000e-01
6.498983386853200e-01,9.568519294074667e-01,1.560490843664632e-02,8.252113320675557e+00,1.342432492203768e-02,-5.997600189997028e-13,1.958399704209707e+00,8.942480504918257e-01,-3.758431875130475e-04,0.000000000000000e+00,1.352377203609488e+00,2.137718715543971e+00,9.819102786116377e-01,5.133160771901604e+00,1,7.500000065192580e-04,5.200999975204468e-01,7.500000065192580e-04,5.000000000000000e-01
6.499600673918168e-01,9.556919975337486e-01,1.560490843664632e-02,8.226853362412315e+00,-1.256300598527640e-02,-5.956141254139937e-13,1.958346774643534e+00,8.943218683873994e-01,-5.126475584212791e-04,0.000000000000000e+00,1.352344312258776e+00,2.137384449175834e+00,9.819102786116378e-01,5.133111911214995e+00,1,1.000000047497451e-03,5.200999975204468e-01,1.000000047497451e-03,5.000000000000000e-01
6.500217960695691e-01,9.545320662001658e-01,1.560490843664632e-02,8.201593415911658e+00,-3.855032479129852e-02,-5.914682337588667e-13,1.958293845102010e+00,8.943956862485993e-01,-6.494518656250220e-04,0.000000000000000e+00,1.352311420923381e+00,2.137050182963352e+00,9.819102786116378e-01,5.133063050551140e+00,1,1.249999972060323e-03,5.200999975204468e-01,1.249999972060323e-03,5.000000000000000e-01
6.500835247760660e-01,9.533721343264476e-01,1.560490843664632e-02,8.176333457648415e+00,-6.453765569861263e-02,-5.873223401731574e-13,1.958240915535836e+00,8.944695041441729e-01,-7.862562365332539e-04,0.000000000000000e+00,1.352278529572669e+00,2.136715916595215e+00,9.819102786116377e-01,5.133014189864532e+00,1,1.500000013038516e-03,5.200999975204468e-01,1.500000013038516e-03,5.000000000000000e-01
6.501452534825629e-01,9.522122024527478e-01,1.560490843664632e-02,8.151073499385344e+00,-9.052498660592885e-02,-5.831764465874842e-13,1.958187985969663e+00,8.945433220397470e-01,-9.230606074414718e-04,0.000000000000000e+00,1.352245638221957e+00,2.136381650227108e+00,9.819102786116579e-01,5.132965329177924e+00,1,1.750000054016709e-03,5.200999975204468e-01,1.750000054016709e-03,5.000000000000000e-01
6.502069821890598e-01,9.510522705790113e-01,1.560490843664632e-02,8.125813541121932e+00,-1.165123175132408e-01,-5.790305530017391e-13,1.958135056403491e+00,8.946171399353210e-01,-1.059864978349717e-03,0.000000000000000e+00,1.352212746871245e+00,2.136047383858942e+00,9.819102786116378e-01,5.132916468491317e+00,1,2.000000094994903e-03,5.200999975204468e-01,2.000000094994903e-03,5.000000000000000e-01
6.502687108380674e-01,9.498923397855455e-01,1.560490843664632e-02,8.100553606383688e+00,-1.424996242179681e-01,-5.748846632771580e-13,1.958082126886613e+00,8.946909577621465e-01,-1.196669221848989e-03,0.000000000000000e+00,1.352179855551166e+00,2.135713117802084e+00,9.819102786116177e-01,5.132867607850213e+00,1,2.249999903142452e-03,5.200999975204468e-01,2.249999903142452e-03,5.000000000000000e-01
