"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.169924054840182e-01,1.249058301374988e-01,526,251277,3.211300535018178e-01,8.897149606282737e-02,0.000000000000000e+00,1.845304920129265e+00,9.729967506085055e-01,1.587386623563531e-03,0.000000000000000e+00,1.315427129609896e+00,5.077357558064447e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.169907334738541e-01,1.257673969412400e-01,589,251402,3.203433483407460e-01,9.822626197087954e-02,0.000000000000000e+00,1.845327163004337e+00,9.729969160572046e-01,1.775569772055732e-03,0.000000000000000e+00,1.315435329888698e+00,5.077387002054921e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.169890614636902e-01,1.266289637449816e-01,651,251527,3.195566431796762e-01,1.074810278789299e-01,0.000000000000000e+00,1.845349405879409e+00,9.729970815059038e-01,1.963752920547934e-03,0.000000000000000e+00,1.315443530167498e+00,5.077416446045396e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.169873894537213e-01,1.274905304484233e-01,714,251652,3.187699381101891e-01,1.167357927095859e-01,0.000000000000000e+00,1.845371648751892e+00,9.729972469545838e-01,2.151936047132735e-03,0.000000000000000e+00,1.315451730445345e+00,5.077445890032442e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.169857174433628e-01,1.283520973524643e-01,776,251777,3.179832328575337e-01,1.259905596950338e-01,0.000000000000000e+00,1.845393891629554e+00,9.729974124033021e-01,2.340119217532338e-03,0.000000000000000e+00,1.315459930725101e+00,5.077475334026344e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.169840454337828e-01,1.292136638553072e-01,839,251902,3.171965279712174e-01,1.352453223708941e-01,0.000000000000000e+00,1.845416134496858e+00,9.729975778519433e-01,2.528302300302338e-03,0.000000000000000e+00,1.315468131001039e+00,5.077504778006537e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.169823734234244e-01,1.300752307593481e-01,901,252027,3.164098227185613e-01,1.445000893563435e-01,0.000000000000000e+00,1.845438377374519e+00,9.729977433006618e-01,2.716485470701940e-03,0.000000000000000e+00,1.315476331280795e+00,5.077534222000438e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.169807014130658e-01,1.309367976633891e-01,964,252152,3.156231174659060e-01,1.537548563417914e-01,0.000000000000000e+00,1.845460620252181e+00,9.729979087493802e-01,2.904668641101543e-03,0.000000000000000e+00,1.315484531560551e+00,5.077563665994340e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.169790294027074e-01,1.317983645674301e-01,1026,252278,3.148364122132515e-01,1.630096233272372e-01,0.000000000000000e+00,1.845482863129842e+00,9.729980741980986e-01,3.092851811501146e-03,0.000000000000000e+00,1.315492731840307e+00,5.077593109988242e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.169755503459321e-01,1.330078520111909e-01,1151,252403,3.113982804463407e-01,1.746683256122026e-01,0.000000000000000e+00,1.845542125034320e+00,9.729987716301556e-01,3.457624351505098e-03,0.000000000000000e+00,1.315511952709143e+00,5.077662705185761e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
7.169720712866036e-01,1.342173404491723e-01,1276,252528,3.079601464849074e-01,1.863270378417375e-01,0.000000000000000e+00,1.845601386979924e+00,9.729994690626599e-01,3.822397164129698e-03,0.000000000000000e+00,1.315531173591692e+00,5.077732300432839e+00,1,2.499999944120646e-03,1.050099968910217e+00,2.499999944120646e-03,5.000000000000000e-01
7.169685922272750e-01,1.354268288871541e-01,1401,252653,3.045220125234736e-01,1.979857500712754e-01,0.000000000000000e+00,1.845660648925527e+00,9.730001664951644e-01,4.187169976754297e-03,0.000000000000000e+00,1.315550394474242e+00,5.077801895679917e+00,1,2.749999985098839e-03,1.050099968910217e+00,2.749999985098839e-03,5.000000000000000e-01
7.169651131679464e-01,1.366363173251355e-01,1526,252778,3.010838785620404e-01,2.096444623008106e-01,0.000000000000000e+00,1.845719910871130e+00,9.730008639276684e-01,4.551942789378896e-03,0.000000000000000e+00,1.315569615356791e+00,5.077871490926994e+00,1,3.000000026077032e-03,1.050099968910217e+00,3.000000026077032e-03,5.000000000000000e-01
7.169616341086177e-01,1.378458057631170e-01,1651,252903,2.976457446006073e-01,2.213031745303458e-01,0.000000000000000e+00,1.845779172816734e+00,9.730015613601728e-01,4.916715602003496e-03,0.000000000000000e+00,1.315588836239340e+00,5.077941086174071e+00,1,3.250000067055225e-03,1.050099968910217e+00,3.250000067055225e-03,5.000000000000000e-01
7.169581550492892e-01,1.390552942010985e-01,1776,253028,2.942076106391742e-01,2.329618867598809e-01,0.000000000000000e+00,1.845838434762338e+00,9.730022587926772e-01,5.281488414628095e-03,0.000000000000000e+00,1.315608057121890e+00,5.078010681421150e+00,1,3.500000108033419e-03,1.050099968910217e+00,3.500000108033419e-03,5.000000000000000e-01
