"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.150341247809496e-01,5.745901349970807e-02,159,22884,9.482285719624464e-02,9.795676905343211e-02,0.000000000000000e+00,1.847180424694683e+00,9.707784499812850e-01,1.432783736580164e-03,0.000000000000000e+00,1.316617475190781e+00,5.079367767512185e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.150316188734409e-01,5.915771602969598e-02,164,22895,9.409265899555892e-02,1.037092512618939e-01,0.000000000000000e+00,1.847204913888109e+00,9.707768841145044e-01,1.484991654277346e-03,0.000000000000000e+00,1.316622869377882e+00,5.079385275034282e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.150291129659323e-01,6.085641855968439e-02,170,22907,9.336246079487608e-02,1.094617334703549e-01,0.000000000000000e+00,1.847229403081536e+00,9.707753182477237e-01,1.537199571974526e-03,0.000000000000000e+00,1.316628263564983e+00,5.079402782556381e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.150266070587156e-01,6.255512089191681e-02,175,22918,9.263226267919374e-02,1.152142150091404e-01,0.000000000000000e+00,1.847253892272112e+00,9.707737523811254e-01,1.589407483593911e-03,0.000000000000000e+00,1.316633657751456e+00,5.079420290076442e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.150241011509153e-01,6.425382361965971e-02,181,22929,9.190206439350179e-02,1.209666978872791e-01,0.000000000000000e+00,1.847278381468389e+00,9.707721865141624e-01,1.641615407368895e-03,0.000000000000000e+00,1.316639051939185e+00,5.079437797600578e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.150215952442819e-01,6.595252555638265e-02,187,22940,9.117186644783484e-02,1.267191780867098e-01,0.000000000000000e+00,1.847302870653263e+00,9.707706206479287e-01,1.693823306832673e-03,0.000000000000000e+00,1.316644446124402e+00,5.079455305116561e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.150190893364816e-01,6.765122828412591e-02,192,22952,9.044166816214576e-02,1.324716609648477e-01,0.000000000000000e+00,1.847327359849541e+00,9.707690547809656e-01,1.746031230607654e-03,0.000000000000000e+00,1.316649840312130e+00,5.079472812640696e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.150165834286810e-01,6.934993101186843e-02,198,22963,8.971146987645090e-02,1.382241438429873e-01,0.000000000000000e+00,1.847351849045818e+00,9.707674889140028e-01,1.798239154382641e-03,0.000000000000000e+00,1.316655234499859e+00,5.079490320164833e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.150140775208810e-01,7.104863373961134e-02,204,22974,8.898127159075893e-02,1.439766267211262e-01,0.000000000000000e+00,1.847376338242095e+00,9.707659230470398e-01,1.850447078157625e-03,0.000000000000000e+00,1.316660628687588e+00,5.079507827688970e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.150115716154144e-01,7.274733488531428e-02,209,22986,8.825107398511702e-02,1.497291042418486e-01,0.000000000000000e+00,1.847400827415566e+00,9.707643571815352e-01,1.902654953310199e-03,0.000000000000000e+00,1.316666022870293e+00,5.079525335196800e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
7.150090657076140e-01,7.444603761305717e-02,215,22997,8.752087569942503e-02,1.554815871199874e-01,0.000000000000000e+00,1.847425316611843e+00,9.707627913145722e-01,1.954862877085183e-03,0.000000000000000e+00,1.316671417058022e+00,5.079542842720937e+00,1,2.499999944120646e-03,1.050099968910217e+00,2.499999944120646e-03,5.000000000000000e-01
7.150065597998138e-01,7.614474034080006e-02,220,23008,8.679067741373306e-02,1.612340699981262e-01,0.000000000000000e+00,1.847449805808120e+00,9.707612254476092e-01,2.007070800860167e-03,0.000000000000000e+00,1.316676811245751e+00,5.079560350245073e+00,1,2.749999985098839e-03,1.050099968910217e+00,2.749999985098839e-03,5.000000000000000e-01
7.150040538920135e-01,7.784344306854295e-02,226,23019,8.606047912804111e-02,1.669865528762650e-01,0.000000000000000e+00,1.847474295004398e+00,9.707596595806465e-01,2.059278724635150e-03,0.000000000000000e+00,1.316682205433479e+00,5.079577857769210e+00,1,3.000000026077032e-03,1.050099968910217e+00,3.000000026077032e-03,5.000000000000000e-01
7.150015479842133e-01,7.954214579628584e-02,232,23031,8.533028084234916e-02,1.727390357544037e-01,0.000000000000000e+00,1.847498784200675e+00,9.707580937136835e-01,2.111486648410134e-03,0.000000000000000e+00,1.316687599621209e+00,5.079595365293346e+00,1,3.250000067055225e-03,1.050099968910217e+00,3.250000067055225e-03,5.000000000000000e-01
7.149990420764128e-01,8.124084852402873e-02,237,23042,8.460008255665719e-02,1.784915186325425e-01,0.000000000000000e+00,1.847523273396952e+00,9.707565278467205e-01,2.163694572185118e-03,0.000000000000000e+00,1.316692993808937e+00,5.079612872817481e+00,1,3.500000108033419e-03,1.050099968910217e+00,3.500000108033419e-03,5.000000000000000e-01
7.149965361709464e-01,8.293954966973166e-02,243,23053,8.386988495101524e-02,1.842439961532650e-01,0.000000000000000e+00,1.847547762570423e+00,9.707549619812159e-01,2.215902447337692e-03,0.000000000000000e+00,1.316698387991642e+00,5.079630380325314e+00,1,3.749999916180968e-03,1.050099968910217e+00,3.749999916180968e-03,5.000000000000000e-01
7.149940302608122e-01,8.463825397951449e-02,249,23065,8.313968598527327e-02,1.899964843888201e-01,0.000000000000000e+00,1.847572251789507e+00,9.707533961127948e-01,2.268110419735085e-03,0.000000000000000e+00,1.316703782184395e+00,5.079647887865756e+00,1,4.000000189989805e-03,1.050099968910217e+00,4.000000189989805e-03,5.000000000000000e-01
7.149915243530118e-01,8.633695670725737e-02,254,23076,8.240948769958130e-02,1.957489672669588e-01,0.000000000000000e+00,1.847596740985785e+00,9.707518302458318e-01,2.320318343510069e-03,0.000000000000000e+00,1.316709176372123e+00,5.079665395389891e+00,1,4.250000230967999e-03,1.050099968910217e+00,4.250000230967999e-03,5.000000000000000e-01
7.149890184498793e-01,8.803565627092036e-02,260,23087,8.167929077398940e-02,2.015014394302650e-01,0.000000000000000e+00,1.847621230136448e+00,9.707502643817856e-01,2.372526170040233e-03,0.000000000000000e+00,1.316714570549805e+00,5.079682902881418e+00,1,4.499999806284904e-03,1.050099968910217e+00,4.499999806284904e-03,5.000000000000000e-01
7.149865125420789e-01,8.973435899866326e-02,265,23098,8.094909248829743e-02,2.072539223084038e-01,0.000000000000000e+00,1.847645719332725e+00,9.707486985148225e-01,2.424734093815217e-03,0.000000000000000e+00,1.316719964737534e+00,5.079700410405554e+00,1,4.749999847263098e-03,1.050099968910217e+00,4.749999847263098e-03,5.000000000000000e-01
7.149840066342785e-01,9.143306172640614e-02,271,23110,8.021889420260547e-02,2.130064051865426e-01,0.000000000000000e+00,1.847670208529002e+00,9.707471326478597e-01,2.476942017590201e-03,0.000000000000000e+00,1.316725358925263e+00,5.079717917929690e+00,1,4.999999888241291e-03,1.050099968910217e+00,4.999999888241291e-03,5.000000000000000e-01
7.149815007264783e-01,9.313176445414902e-02,277,23121,7.948869591691352e-02,2.187588880646814e-01,0.000000000000000e+00,1.847694697725280e+00,9.707455667808966e-01,2.529149941365186e-03,0.000000000000000e+00,1.316730753112991e+00,5.079735425453825e+00,1,5.249999929219484e-03,1.050099968910217e+00,5.249999929219484e-03,5.000000000000000e-01
7.149789948186780e-01,9.483046718189188e-02,282,23132,7.875849763122156e-02,2.245113709428201e-01,0.000000000000000e+00,1.847719186921557e+00,9.707440009139336e-01,2.581357865140169e-03,0.000000000000000e+00,1.316736147300720e+00,5.079752932977962e+00,1,5.499999970197678e-03,1.050099968910217e+00,5.499999970197678e-03,5.000000000000000e-01
