,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801630790102309865e-02,-5.627014944633021768e-05,5.627344569424899185e-05,6.666637337075388814e+01,2.817530870779288816e+05
1,1.802135004727328099e-02,-5.559064021161440935e-05,1.687425768756910065e-04,6.626457783673485835e+01,2.780603341649792274e+05
2,1.803145204751209138e-02,-5.478002516042966216e-05,2.809042974887472925e-04,6.566680891842148071e+01,2.675849442454748787e+05
3,1.804659551489425084e-02,-5.389405141692262251e-05,3.924935773366775948e-04,6.473227477652601181e+01,2.614832159238419554e+05
4,1.806674989598005057e-02,-5.294021168513319935e-05,5.032851879799807738e-04,6.353020558431700238e+01,2.547050891438873077e+05
5,1.809187522326676997e-02,-5.192942420694621913e-05,6.130569523914387777e-04,6.202639421209186565e+01,2.498210940998348524e+05
6,1.812192298138138105e-02,-5.087591653717328809e-05,7.215916497112055683e-04,6.025732238453832679e+01,2.450246955506687227e+05
7,1.815683721847722101e-02,-4.979730040790873800e-05,8.286782351462204307e-04,5.823463579657172318e+01,2.390901248833737045e+05
8,1.819655553099407130e-02,4.871688846823133095e-05,9.341116059122052308e-04,5.585679647007641080e+01,2.323417314080932701e+05
9,1.819655577031345853e-02,-4.871384841439428692e-05,9.341125111399975868e-04,5.600346726186911894e+01,2.323433203687918431e+05
10,1.824101119329380946e-02,4.765004039766782896e-05,1.037696441609530038e-03,5.344701986646874303e+01,2.249249074403257109e+05
11,1.829013267915166954e-02,4.662034819568856777e-05,1.139241007512960995e-03,5.087151442889010866e+01,2.168477278698929877e+05
12,1.834384524139410014e-02,4.564800898179511250e-05,1.238559821516514942e-03,4.816127550938713142e+01,2.082600323846330284e+05
13,1.840207095655180952e-02,4.475193397145665723e-05,1.335471392738229058e-03,4.535340634797008619e+01,1.992109702277437609e+05
14,1.846472860971688085e-02,4.395099279694031792e-05,1.429796688525723086e-03,4.245558429765249286e+01,1.892872446790851536e+05
15,1.853172879071367934e-02,4.327272587293854697e-05,1.521351728752972027e-03,3.957483627824794326e+01,1.790382183748954267e+05
16,1.860290498745111043e-02,4.284928346053525918e-05,1.609866055089641994e-03,3.688870628586379752e+01,1.703946146481106116e+05
17,1.867753849366153920e-02,4.341662864252358818e-05,1.694494904903977002e-03,3.363646533962415219e+01,1.588379687147038640e+05
18,1.875548595193144916e-02,4.487445038947479744e-05,1.775167328226841994e-03,3.084946638308758438e+01,1.492638496900439495e+05
19,1.883716135112989062e-02,4.640758597414926023e-05,1.852420688906727042e-03,2.808762110774874898e+01,1.388864149042461358e+05
20,1.892242769019093079e-02,4.791185832413284051e-05,1.926086030891862016e-03,2.547331824141248546e+01,1.286152981634980533e+05
21,1.901109406110165073e-02,4.937194425624198918e-05,1.995957428421483212e-03,2.299375735754724559e+01,1.186400159786883596e+05
22,1.910296593854503983e-02,5.077972486060149690e-05,2.061849226639031907e-03,2.062292540743021974e+01,1.089134276134107204e+05
23,1.919784583677052944e-02,5.212816977924312708e-05,2.123593845088824015e-03,1.838032062571235770e+01,9.946417279776085343e+04
24,1.929553222223929013e-02,5.341110015546810761e-05,2.181038755843848174e-03,1.629397326947584901e+01,9.038505824801088602e+04
25,1.939581926212383123e-02,5.462287051636552127e-05,2.234044866709423982e-03,1.437652869077925288e+01,8.174926183380499424e+04
26,1.949849702280721103e-02,5.575766003277539819e-05,2.282485650563929012e-03,1.263124251889658467e+01,7.367880297622257785e+04
27,1.960335195710867159e-02,5.680938469447887262e-05,2.326246580735273801e-03,1.104557922352931953e+01,6.611163701393938391e+04
28,1.971016775614794006e-02,5.777225061197916210e-05,2.365224773654159805e-03,9.611613816648574726e+00,5.906996187086624559e+04
29,1.981872665122115865e-02,5.864093792270604148e-05,2.399328714412305840e-03,8.322852542654977981e+00,5.255074214666240005e+04
30,1.992881208780053134e-02,5.941066603462011753e-05,2.428478121105649788e-03,7.172266376149141642e+00,4.654820454076852911e+04
31,2.004021589936061040e-02,6.007750697811241910e-05,2.452604000552491802e-03,6.155838875293220269e+00,4.109180537244270090e+04
32,2.015266075208300978e-02,6.062923863117518223e-05,2.471637051576317055e-03,5.273088219768728102e+00,3.581412690190240392e+04
33,2.027893132675296847e-02,6.108400831428498364e-05,2.488438642727429807e-03,4.768094502392401068e+00,3.149977551039436003e+04
34,2.043123956012184161e-02,6.154273352290971820e-05,2.507125296160788840e-03,4.598176112417923456e+00,2.945602102933121932e+04
35,2.061111545656596142e-02,6.208449451430322864e-05,2.529194190720198982e-03,4.480486985933303856e+00,2.801041082170341542e+04
36,2.082352493386614017e-02,6.272424360366649955e-05,2.555254613230376927e-03,4.366552992952676071e+00,2.667718294480641998e+04
37,2.107431904260318942e-02,6.347960230439728157e-05,2.586024428548317194e-03,4.258074031074205124e+00,2.552037135853287327e+04
38,2.137038802204837065e-02,6.437132295404867375e-05,2.622348997177264846e-03,4.140434412895546146e+00,2.439827550927154880e+04
39,2.171984069781026858e-02,6.542382824635241617e-05,2.665223187261948987e-03,4.006198576782055376e+00,2.326017287234314426e+04
40,2.213221280318743156e-02,6.666583854835617237e-05,2.715816933591074043e-03,3.854835511064135467e+00,2.210540902102972177e+04
41,2.261870806750327159e-02,6.813109801241228882e-05,2.775504816627197974e-03,3.691400262392433351e+00,2.090894563013561856e+04
42,2.319247608140116018e-02,6.985921146823522603e-05,2.845900153674450067e-03,3.517127479680114632e+00,1.968583659025893576e+04
43,2.386893095354590891e-02,7.189660417463514394e-05,2.928894094724568062e-03,3.330254782356381504e+00,1.843961997465262903e+04
44,2.466611452068290938e-02,7.429761576020795628e-05,3.026700184534109137e-03,3.137906528721053245e+00,1.723284487001263187e+04
45,2.560510723272986858e-02,7.712573775492940391e-05,3.141904773929741958e-03,2.946729650519196220e+00,1.604573654997647100e+04
46,2.671048862944259972e-02,8.045500048501816846e-05,3.277523515481267982e-03,2.760722425713622918e+00,1.492735608962065271e+04
47,2.801084732079696035e-02,8.437150906644386118e-05,3.437063932763044938e-03,2.583603097947582139e+00,1.387636397104009484e+04
48,2.953933727699827039e-02,8.897511887690350029e-05,3.624593671322626134e-03,2.423521723062829647e+00,1.294031811665182795e+04
49,3.133427264723694788e-02,9.438122707128099797e-05,3.844813476723738053e-03,2.284472964072415735e+00,1.210200765820523702e+04
50,3.343974680329427074e-02,1.007226370591390050e-04,4.103133144725134782e-03,2.165614156992654138e+00,1.135926324724020014e+04
51,3.590625232615785728e-02,1.081514258224133970e-04,4.405747587156888002e-03,2.067052269922789787e+00,1.072500275304341994e+04
52,3.879126667897637992e-02,1.168407078848744018e-04,4.759708687869212626e-03,1.989451072927002295e+00,1.018722249267211191e+04
53,4.215975285466062178e-02,1.269861431964291001e-04,5.172986726959270636e-03,1.933174498114315298e+00,9.780364893158197447e+03
54,4.608450507173750266e-02,1.388069783232122897e-04,5.654512794038507248e-03,1.894780938599502473e+00,9.404075276040586687e+03
55,5.064624677491687960e-02,1.525463416121719128e-04,6.214190811877686252e-03,1.874755338142470196e+00,9.115827086919975045e+03
56,5.593336271386228908e-02,1.684704362475432078e-04,6.862864665272945877e-03,1.881216212664321041e+00,8.823251347059649561e+03
57,6.204112090071810942e-02,1.868661968895274101e-04,7.612222743368153577e-03,1.897610412882199338e+00,8.590840853987512673e+03
58,6.907021774685850879e-02,2.080369078182559917e-04,8.474619443143366695e-03,1.925651688653141846e+00,8.397620381539038135e+03
59,7.712446693842549272e-02,2.322952421322031064e-04,9.462791618604193822e-03,1.963924494636749341e+00,8.213564652671153453e+03
60,8.630745855401091016e-02,2.599531994521168737e-04,1.058944868944745009e-02,2.008553079278706299e+00,8.025010954622775898e+03
61,9.671805086205984003e-02,2.913085278107507771e-04,1.186671953173198957e-02,2.054687337615740628e+00,7.833832342606606289e+03
62,1.084446355232518006e-01,3.266274512007431787e-04,1.330544887816328958e-02,2.098513493689426301e+00,7.645184820473356012e+03
63,1.215582480760521028e-01,3.661239192683624858e-04,1.491435204669463999e-02,2.139669405330421714e+00,7.413913380721868634e+03
64,1.361047834767437903e-01,4.099361615500157828e-04,1.669905986866894107e-02,2.174469724267207749e+00,7.143241926754662927e+03
65,1.520968120526172973e-01,4.581020382063250929e-04,1.866111459183230140e-02,2.203618625691193156e+00,6.859011045781702705e+03
66,1.695057463252797880e-01,5.105354475308572114e-04,2.079700883144334003e-02,2.227662690731463169e+00,6.573277916300050492e+03
67,1.882553333281657137e-01,5.670067256721197241e-04,2.309738714566393972e-02,2.246797449330363960e+00,6.287234666071821266e+03
68,2.082175715558496065e-01,6.271303490256760309e-04,2.554654508792486914e-02,2.261501891742605963e+00,6.004477847062607907e+03
69,2.292121038897363960e-01,6.903631058068504132e-04,2.812235472525440039e-02,2.272623768903531349e+00,5.733551323965362826e+03
70,2.510098656358191738e-01,7.560150834573856060e-04,3.079671221437410913e-02,2.280732612329550602e+00,5.481001865916463430e+03
71,2.733412669121583760e-01,8.232743129128676333e-04,3.353654169510270761e-02,2.286087820402057602e+00,5.248673086669353324e+03
72,2.959085264111662728e-01,8.912439162612609874e-04,3.630530851404960291e-02,2.289177393898513824e+00,5.037517189108029015e+03
73,3.184010806960149154e-01,9.589885175031037656e-04,3.906490978419283749e-02,2.290780491760642246e+00,4.847577765115757757e+03
74,3.405124362638307089e-01,1.025584998734728991e-03,4.177774195685943215e-02,2.291712603615569499e+00,4.676468185447475662e+03
75,3.619565590173873249e-01,1.090171863067942006e-03,4.440871163856389275e-02,2.292127579894603251e+00,4.522441497612697276e+03
76,3.824819839363062246e-01,1.151991731093550062e-03,4.692696670015990279e-02,2.292392165975620344e+00,4.385234795589780333e+03
77,4.018822516733064898e-01,1.210422774531439913e-03,4.930717673809444784e-02,2.292336629858230612e+00,4.270473324743207741e+03
78,4.200019219066303822e-01,1.264996827668927971e-03,5.153027084988540812e-02,2.292227936093123919e+00,4.169955989721798687e+03
79,4.367381111560156848e-01,1.315404019196623076e-03,5.358362630806259852e-02,2.291920907958896247e+00,4.083367050622113766e+03
80,4.520380999201418226e-01,1.361485566247135071e-03,5.546077498092093910e-02,2.292653661484783001e+00,4.030125357335311037e+03
81,4.661866526943955757e-01,-1.404090409863476907e-03,5.719665474998780752e-02,2.320917649134573324e+00,3.989185821404701528e+03
82,4.799090389692878822e-01,-1.445402963427673939e-03,5.888024859972085245e-02,2.320592926441023440e+00,3.931602834712301046e+03
83,4.936314252441696970e-01,-1.486715515113518895e-03,6.056384244952028179e-02,2.320431202377433610e+00,3.872398754049111176e+03
