,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801630790102309865e-02,-5.627014944633021768e-05,5.627344569424899185e-05,6.666637337075388814e+01,2.817530870779288816e+05
1,1.802134985663528949e-02,-1.687389058943940950e-04,5.559350874797395938e-05,6.663300824789823196e+01,2.834188472171374015e+05
2,1.803145161825822976e-02,-2.808997751894697797e-04,5.478287156902865760e-05,6.620344542864225446e+01,2.780277705461005098e+05
3,1.804659489372820863e-02,-3.924890779464050160e-04,5.389697949304656736e-05,6.554105081633977647e+01,2.694410363956807414e+05
4,1.806674911733045091e-02,-5.032808759049835733e-04,5.294329162034711728e-05,6.454572115173118618e+01,2.632588215954744373e+05
5,1.809187432089547076e-02,-6.130529005783046364e-04,5.193271095088682244e-05,6.328157104378367137e+01,2.564958695560820343e+05
6,1.812192198159071066e-02,-7.215878720668671663e-04,5.087946303598083316e-05,6.171060995837482466e+01,2.518446065145589528e+05
7,1.815683616229895117e-02,-8.286747730568670570e-04,4.980118543967084117e-05,5.988304588743621792e+01,2.465300678553541948e+05
8,1.819655472425471890e-02,-9.341094523928147484e-04,4.871818655907097687e-05,5.781233744280531539e+01,2.402919878378399299e+05
9,1.824101047567115025e-02,-1.037694723420615108e-03,4.765159842856761313e-05,5.552958360746469424e+01,2.332406093941990694e+05
10,1.829013209637608134e-02,-1.139239732299767924e-03,4.662215935514361172e-05,5.306122125590026428e+01,2.254425587198002904e+05
11,1.834384475187946992e-02,-1.238558848357730049e-03,4.564992468828204966e-05,5.042948757869219634e+01,2.169233669485891878e+05
12,1.840207044288286881e-02,-1.335470494922136970e-03,4.475377594849183095e-05,4.767190086923444170e+01,2.077002086336619395e+05
13,1.846472802843943106e-02,-1.429795787556104947e-03,4.395276475152270330e-05,4.486675267250328858e+01,1.982122278343455400e+05
14,1.853172828569124922e-02,-1.521351004123489958e-03,4.327458522109504675e-05,4.200025229806292515e+01,1.886263539703333518e+05
15,1.860290479745528927e-02,-1.609865753973447082e-03,4.285161395612769111e-05,3.920599242074985824e+01,1.796670584053634666e+05
16,1.867753851332096954e-02,-1.694494863074343929e-03,4.341908527489842206e-05,3.586586459775635660e+01,1.678011871674597787e+05
17,1.875548596502048943e-02,-1.775167286651000917e-03,4.487659094721161785e-05,3.306205254273476868e+01,1.582590044431504502e+05
18,1.883716136489389098e-02,-1.852420654141692007e-03,4.640963613081947037e-05,3.025273260271988818e+01,1.477382848526835442e+05
19,1.892242770372186064e-02,-1.926086001697434975e-03,4.791384351623673821e-05,2.761039020994653015e+01,1.375214889484024607e+05
20,1.901109407416936084e-02,-1.995957404625726180e-03,4.937386680158956055e-05,2.502324162519802542e+01,1.274183621449298225e+05
21,1.910296595070854961e-02,-2.061849207922318832e-03,5.078158495314371700e-05,2.251225101677820817e+01,1.173573206384977530e+05
22,1.919784584813673950e-02,-2.123593831625756115e-03,5.212996742800101200e-05,2.014580776722635136e+01,1.075385102378737211e+05
23,1.929553223203533951e-02,-2.181038747292269892e-03,5.341283536277460970e-05,1.795084002804167156e+01,9.812497816934304137e+04
24,1.939581927069941938e-02,-2.234044863381320131e-03,5.462454325284834330e-05,1.592041540221950768e+01,8.916935192590698716e+04
25,1.949849703062858999e-02,-2.282485652843128845e-03,5.575927026961318702e-05,1.404754634178088502e+01,8.072419405904515588e+04
26,1.960335196375518133e-02,-2.326246588530722983e-03,5.681093242332060846e-05,1.232395467338138673e+01,7.271290885744587285e+04
27,1.971016776130810055e-02,-2.365224787003235123e-03,5.777373579985336242e-05,1.075232525657382254e+01,6.517126029791255860e+04
28,1.981872665509732886e-02,-2.399328733549439124e-03,5.864236016351236167e-05,9.334582630995935659e+00,5.813813514297322399e+04
29,1.992881208974801172e-02,-2.428478146484871949e-03,5.941202032624270284e-05,8.066666306899197281e+00,5.164015474224028003e+04
30,2.004021589984436927e-02,-2.452604037461259944e-03,6.007873593140993136e-05,6.943724208667803488e+00,4.571297235156802344e+04
31,2.015266075236847934e-02,-2.471637149241093061e-03,6.062980946793553673e-05,5.964891871666075041e+00,3.999238235567431548e+04
32,2.027893132612082136e-02,-2.488438743488476015e-03,6.108454774857623247e-05,5.408735167114983255e+00,3.520295408022619085e+04
33,2.043123955879352915e-02,-2.507125342462728987e-03,6.154386811918052184e-05,5.238017437184387504e+00,3.309478575487526541e+04
34,2.061111545516507160e-02,-2.529194231466364972e-03,6.208569135920554750e-05,5.106684866114180821e+00,3.150930203295094543e+04
35,2.082352493246023006e-02,-2.555254653489707085e-03,6.272544527841222568e-05,4.975753820957556250e+00,3.004158374280630960e+04
36,2.107431904120296920e-02,-2.586024468748727035e-03,6.348080371620069763e-05,4.849069551626767449e+00,2.881256145919698974e+04
37,2.137038802064906984e-02,-2.622349037351234900e-03,6.437252358020362024e-05,4.706818845488896841e+00,2.760583783609592501e+04
38,2.171984069641210921e-02,-2.665223227401656084e-03,6.542502790919313611e-05,4.546568294973418745e+00,2.633674018995346705e+04
39,2.213221280178882117e-02,-2.715816973690875127e-03,6.666703707182841264e-05,4.371642390381067500e+00,2.509276224540443218e+04
40,2.261870806588225924e-02,-2.775504856655861084e-03,6.813229519158140162e-05,4.182597405821515402e+00,2.383270174809336095e+04
41,2.319247607978200051e-02,-2.845900193650083981e-03,6.986040706200824491e-05,3.979236508030670638e+00,2.254190541669011145e+04
42,2.386893095215289126e-02,-2.928894134665629805e-03,7.189779789938021337e-05,3.762311389560181851e+00,2.122671232133636295e+04
43,2.466611451929424936e-02,-3.026700224399723853e-03,7.429880728250187294e-05,3.540591697173403940e+00,1.996457560536333767e+04
44,2.560510723134245062e-02,-3.141904813708591010e-03,7.712692668318636973e-05,3.324402158880868097e+00,1.873178318754565771e+04
45,2.671048862806230106e-02,-3.277523555162423913e-03,8.045618635985749456e-05,3.125127499799453812e+00,1.759384227937897958e+04
46,2.801084731942083891e-02,-3.437063972322290141e-03,8.437269134966188353e-05,2.944675717760280254e+00,1.655805372023172094e+04
47,2.953933727562351938e-02,-3.624593710739790111e-03,8.897629693892833056e-05,2.781855784941640763e+00,1.568341613703981420e+04
48,3.133427264586798738e-02,-3.844813515978675027e-03,9.438240017700482007e-05,2.637442533287171376e+00,1.491507913432064015e+04
49,3.343974680193387283e-02,-4.103133183785645684e-03,1.007238043520736936e-04,2.518275607023143348e+00,1.426430109984006413e+04
50,3.590625231245202220e-02,-4.405747624469579134e-03,1.081525863071771965e-04,2.431013624806792617e+00,1.370452449915104989e+04
51,3.879126668245928833e-02,-4.759708727021497339e-03,1.168418604081104020e-04,2.376433828397737980e+00,1.335370049164302691e+04
52,4.215975287050775788e-02,-5.172986767317254951e-03,1.269872864264063922e-04,2.335664916008464598e+00,1.293376782688726234e+04
53,4.608450508876576340e-02,-5.654512834177436754e-03,1.388081107285566980e-04,2.337547345151560041e+00,1.284233456573450894e+04
54,5.064624679195804668e-02,-6.214190851595928836e-03,1.525474614404211126e-04,2.356992093827326773e+00,1.251745953479642412e+04
55,5.593336279085887180e-02,-6.862864711866917614e-03,1.684715415045501101e-04,2.398875005029385665e+00,1.232399128049747742e+04
56,6.204112108821405874e-02,-7.612222802963759805e-03,1.868672853211284977e-04,2.462660969024318636e+00,1.216683977451907413e+04
57,6.907021785608355446e-02,-8.474619492477778251e-03,2.080379768960675935e-04,2.541400092582152048e+00,1.199182743932610720e+04
58,7.712446693719310353e-02,-9.462791653637208505e-03,2.322962890458913883e-04,2.626699348894720565e+00,1.175336212873667137e+04
59,8.630745855281510281e-02,-1.058944872363476973e-02,2.599542211109325809e-04,2.711099928718807561e+00,1.143682809951337549e+04
60,9.671805086090276560e-02,-1.186671956495951967e-02,2.913095208574598767e-04,2.786955957943774820e+00,1.105621096197278530e+04
61,1.084446355335758061e-01,-1.330544891171961050e-02,3.266284120412245220e-04,2.850325001417810977e+00,1.061567846300512065e+04
62,1.215582480864163956e-01,-1.491435207904522921e-02,3.661248441198850000e-04,2.900232553433674809e+00,1.013107820408002044e+04
63,1.361047835002897055e-01,-1.669905990129728901e-02,4.099370465104581118e-04,2.939995989224890138e+00,9.642738427688100273e+03
64,1.520968120762178910e-01,-1.866111462299457902e-02,4.581028793452440804e-04,2.971573565544404882e+00,9.168040357961910559e+03
65,1.695057463243556106e-01,-2.079700885799320997e-02,5.105362410012715844e-04,2.993166572038227446e+00,8.708869755395966422e+03
66,1.882553333272994900e-01,-2.309738717049911877e-02,5.670074678392769902e-04,3.003773363483526193e+00,8.259400826997672993e+03
67,2.082175715550489137e-01,-2.554654511093366887e-02,6.271310366062154106e-04,3.007837029346368762e+00,7.835656983339672479e+03
68,2.292121038890025941e-01,-2.812235474634602883e-02,6.903637360090256886e-04,3.006070504958620493e+00,7.440280040355352867e+03
69,2.510098656351514856e-01,-3.079671223347588832e-02,7.560156541110753812e-04,3.003164599439499316e+00,7.085255196134420657e+03
70,2.733412669115616866e-01,-3.353654171216108315e-02,8.232748225774630998e-04,3.001421473344889623e+00,6.762835721997627843e+03
71,2.959085264106399160e-01,-3.630530852904498285e-02,8.912443643005558882e-04,3.001635895766276985e+00,6.486524588829403001e+03
72,3.184010806955582806e-01,-3.906490979713286849e-02,9.589889041192028183e-04,3.001058992714493723e+00,6.251398911857257190e+03
73,3.405124362634481261e-01,-4.177774196777853111e-02,1.025585324957225923e-03,2.999460697397186237e+00,6.041936770576568051e+03
74,3.619565590170714109e-01,-4.440871164752054762e-02,1.090172130699553973e-03,2.996951760577049484e+00,5.851666099126658082e+03
75,3.824819839360557028e-01,-4.692696670723905950e-02,1.151991942618126995e-03,2.995740382061897744e+00,5.680736881472403184e+03
76,4.018822516731198058e-01,-4.930717674340238943e-02,1.210422932993627946e-03,2.996113042214877176e+00,5.537479345790698062e+03
77,4.200019219065033171e-01,-5.153027085353079767e-02,1.264996936534585996e-03,2.996997028181903389e+00,5.413813598293917494e+03
78,4.367381111559404117e-01,-5.358362631016833771e-02,1.315404082192174993e-03,2.997299036667955718e+00,5.306905824333987766e+03
79,4.520380999201126238e-01,-5.546077498160822267e-02,1.361485586754043959e-03,2.998161098608390418e+00,5.245788018853926587e+03
80,4.661866526832696978e-01,-5.719665444112694702e-02,1.404100179577945102e-03,2.996863297810274052e+00,5.128448850938226315e+03
81,4.799090389359431108e-01,-5.888024767311186847e-02,1.445432273658528097e-03,2.995969442540444394e+00,5.058414694620846603e+03
82,4.936314251886225191e-01,-6.056384090510123774e-02,1.486764367710829027e-03,2.995037867884373206e+00,4.986397847126414490e+03
83,5.073538114412964317e-01,-6.224743413709663692e-02,1.528096461731940064e-03,2.994095087012495604e+00,4.916580052971018631e+03
84,5.210761976939700668e-01,-6.393102736908801154e-02,1.569428555723397086e-03,2.993142057212856422e+00,4.848901722588757366e+03
85,5.347985839466420366e-01,-6.561462060108072536e-02,1.610760649685285097e-03,2.992748356326378811e+00,4.784265245557203343e+03
86,5.485209701993070119e-01,-6.729821383307832416e-02,1.652092743617609950e-03,2.992971641834780261e+00,4.722991354014579883e+03
87,5.622433564519787597e-01,-6.898180706507728299e-02,1.693424837520354949e-03,2.993629391783776850e+00,4.664238853602783820e+03
88,5.759657427046523948e-01,-7.066540029707492343e-02,1.734756931393533971e-03,2.994801906363766530e+00,4.608241527232271437e+03
89,5.896881289573225882e-01,-7.234899352907128711e-02,1.776089025237165015e-03,2.996217874370253664e+00,4.554694895313060442e+03
90,6.034105152099979996e-01,-7.403258676107346559e-02,1.817421119051217072e-03,2.997362431881700040e+00,4.502436900271361992e+03
91,6.171329014626718568e-01,-7.571617999307789226e-02,1.858753212835689058e-03,2.997982373436662851e+00,4.451092952557482022e+03
92,6.308552877153419391e-01,-7.739977322508015400e-02,1.900085306590605042e-03,2.997821970074812992e+00,4.399884485992939517e+03
93,6.445776739680139089e-01,-7.908336645708380352e-02,1.941417400315961989e-03,2.997441815327852144e+00,4.350769054742972003e+03
94,6.583000602206823260e-01,-8.076695968909242129e-02,1.982749494011758814e-03,2.996732659255290976e+00,4.303699907976271788e+03
