,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801440995437411999e-02,-2.822251888054063093e-05,2.822253506751827896e-05,6.671586539639987734e+01,2.648273191154545057e+05
1,1.801440995447125062e-02,2.822254230028691983e-05,2.822251747516855909e-05,6.658620413111043490e+01,2.620154676446497615e+05
2,1.801568167846267013e-02,8.467209892073948412e-05,2.805757831515070060e-05,6.637799194329548413e+01,2.602976214667804015e+05
3,1.801822828175718080e-02,1.410963746583561028e-04,2.786087009102869024e-05,6.609519775936183805e+01,2.590516009996249340e+05
4,1.802204891703717074e-02,1.974471669473611092e-04,2.765650510075331098e-05,6.574033037542105262e+01,2.580520723698195070e+05
5,1.802714159604835997e-02,2.536964122040496800e-04,2.744430395774007114e-05,6.531004324419262730e+01,2.573214875463522039e+05
6,1.803350370436317129e-02,3.098157622530673208e-04,2.722418540284151912e-05,6.480287542276803947e+01,2.566257505426372518e+05
7,1.804113198093242054e-02,3.657766647994118120e-04,2.699638205750116908e-05,6.421958351529609388e+01,2.557346978600938746e+05
8,1.805002252389766026e-02,4.215506029010985937e-04,2.676129735179966023e-05,6.356469672214404198e+01,2.546162481251362187e+05
9,1.806017080228743132e-02,4.771092004198354878e-04,2.651945003648686138e-05,6.283728745183332620e+01,2.531534992194222577e+05
10,1.807157165786486830e-02,5.324242155155826852e-04,2.627141081729140930e-05,6.204082699596865780e+01,2.513490063813047018e+05
11,1.808421932466553958e-02,5.874676085780980092e-04,2.601781206278146167e-05,6.117784268616615151e+01,2.492234224872200575e+05
12,1.809810744435319876e-02,6.422115674180232199e-04,2.575940109289892002e-05,6.025169278668344219e+01,2.468106647844796535e+05
13,1.811322908898743006e-02,6.966285447249104951e-04,2.549704337972670082e-05,5.926451197095717305e+01,2.441309263257228013e+05
14,1.812957677502467085e-02,7.506912677293449323e-04,2.523166704049578876e-05,5.821892967872105373e+01,2.411882206055687566e+05
15,1.814714247958399904e-02,8.043727398037934509e-04,2.496426276309682065e-05,5.711865942440191191e+01,2.380112639130349271e+05
16,1.816591766699137897e-02,8.576462777073290238e-04,2.469592043841342151e-05,5.596653632084320407e+01,2.346124165712692775e+05
17,1.818589330784748173e-02,9.104855156894960371e-04,2.442779337624390127e-05,5.476740589266459835e+01,2.310138717002295598e+05
18,1.820705989627267873e-02,9.628644121745136113e-04,2.416099495780049084e-05,5.352643388982122019e+01,2.272424237192459987e+05
19,1.822940746046914848e-02,1.014757232364543000e-03,2.389659021433573115e-05,5.224662006515290358e+01,2.233152932065706118e+05
20,1.825292557820172926e-02,1.066138545983539958e-03,2.363566850255073999e-05,5.092952108204804063e+01,2.192304561619834567e+05
21,1.827760339189143934e-02,1.116983227582045001e-03,2.337933293389198060e-05,4.957984649135097754e+01,2.149955331091149128e+05
22,1.830342961927531112e-02,1.167266451813872043e-03,2.312864939695831950e-05,4.820197806162733656e+01,2.106201276983644639e+05
23,1.833039254025249989e-02,1.216963646091734959e-03,2.288462227067047055e-05,4.680046314058037638e+01,2.061221787092334998e+05
24,1.835848000825789084e-02,1.266050495928279030e-03,2.264822022218170142e-05,4.537939167130284801e+01,2.015208423052796570e+05
25,1.838767945222903946e-02,1.314502938379044986e-03,2.242037586909555137e-05,4.393977855124731491e+01,1.968018268116967520e+05
