,iteration,time,absolute-residual,relative-residual,cfl
0,1.000000000000000000e+00,0.000000000000000000e+00,8.794665605000000505e+04,1.000000000000000000e+00,2.000000000000000111e-01
1,5.000000000000000000e+01,3.763674746999999755e-08,8.254274430000000575e+04,9.385546649999999547e-01,2.184266625999999878e+00
2,1.000000000000000000e+02,2.885517871999999871e-07,7.135349679999999353e+04,8.113270020999999721e-01,9.912288213000000070e+00
3,1.500000000000000000e+02,5.191389385999999580e-07,6.661366284000000451e+04,7.574325828000000316e-01,5.203951312000000051e+00
4,2.000000000000000000e+02,6.290401021999999630e-07,6.963964742999999726e+04,7.918396281999999786e-01,5.203951312000000051e+00
5,2.500000000000000000e+02,7.318539171000000215e-07,8.335450204000000667e+04,9.477847797999999768e-01,5.203951312000000051e+00
6,3.000000000000000000e+02,8.491079446999999565e-07,1.288648925000000017e+05,1.465261992999999929e+00,6.973792466999999995e+00
7,3.500000000000000000e+02,1.048870027000000040e-06,2.425005623999999953e+05,2.757359668999999958e+00,1.135957308000000054e+01
8,4.000000000000000000e+02,1.501671675999999912e-06,2.498476438999999955e+05,2.840899872000000048e+00,3.014032917999999839e+01
9,4.500000000000000000e+02,2.962626215000000140e-06,2.276851211999999941e+05,2.588900264999999923e+00,9.720557393999999363e+01
10,5.000000000000000000e+02,5.279690134999999931e-06,2.425355094000000099e+05,2.757757035000000023e+00,1.000000000000000000e+02
11,5.500000000000000000e+02,7.579913152999999801e-06,2.476919942999999912e+05,2.816388995000000062e+00,1.000000000000000000e+02
12,6.000000000000000000e+02,9.893204256999999237e-06,2.513698133000000089e+05,2.858207743999999995e+00,1.000000000000000000e+02
13,6.500000000000000000e+02,1.221123660000000071e-05,2.547636253999999899e+05,2.896797181999999804e+00,1.000000000000000000e+02
14,7.000000000000000000e+02,1.453054232000000025e-05,2.578489359999999870e+05,2.931878794999999815e+00,1.000000000000000000e+02
15,7.500000000000000000e+02,1.685021571999999863e-05,2.622159146000000183e+05,2.981533651999999979e+00,1.000000000000000000e+02
16,8.000000000000000000e+02,1.916999111000000126e-05,2.647324467999999761e+05,3.010147954999999875e+00,1.000000000000000000e+02
17,8.500000000000000000e+02,2.148979433999999986e-05,2.684905921000000089e+05,3.052880054000000065e+00,1.000000000000000000e+02
18,9.000000000000000000e+02,2.380960492000000161e-05,2.693925728000000236e+05,3.063136051999999943e+00,1.000000000000000000e+02
19,9.500000000000000000e+02,2.612941739000000069e-05,2.678403425999999745e+05,3.045486374000000218e+00,1.000000000000000000e+02
20,1.000000000000000000e+03,2.844923036000000116e-05,2.642368334000000032e+05,3.004512567999999995e+00,1.000000000000000000e+02
21,1.050000000000000000e+03,3.076904345999999934e-05,2.589105572000000102e+05,2.943949990000000128e+00,1.000000000000000000e+02
22,1.100000000000000000e+03,3.308885657999999718e-05,2.517405734999999986e+05,2.862423483000000157e+00,1.000000000000000000e+02
23,1.150000000000000000e+03,3.540866972000000144e-05,2.430960278000000108e+05,2.764130424999999835e+00,1.000000000000000000e+02
24,1.200000000000000000e+03,3.772848285000000249e-05,2.341776724000000104e+05,2.662724007000000004e+00,1.000000000000000000e+02
25,1.250000000000000000e+03,4.004829598999999998e-05,2.282442870999999868e+05,2.595258278000000196e+00,1.000000000000000000e+02
26,1.300000000000000000e+03,4.236810912999999746e-05,2.208753757000000041e+05,2.511469856999999806e+00,1.000000000000000000e+02
27,1.350000000000000000e+03,4.468792227000000173e-05,2.137428857000000135e+05,2.430369672999999953e+00,1.000000000000000000e+02
28,1.400000000000000000e+03,4.700773540000000277e-05,2.081962883999999904e+05,2.367301927999999833e+00,1.000000000000000000e+02
29,1.450000000000000000e+03,4.932754854000000026e-05,2.017989536000000080e+05,2.294560847000000070e+00,1.000000000000000000e+02
30,1.500000000000000000e+03,5.164736167999999775e-05,1.968914976000000024e+05,2.238760475999999944e+00,1.000000000000000000e+02
31,1.550000000000000000e+03,5.396717482000000201e-05,1.920677006000000110e+05,2.183911353000000055e+00,1.000000000000000000e+02
32,1.600000000000000000e+03,5.628698795000000306e-05,1.873280505999999878e+05,2.130019025000000177e+00,1.000000000000000000e+02
33,1.650000000000000000e+03,5.860680109000000054e-05,1.837200151999999944e+05,2.088993755000000174e+00,1.000000000000000000e+02
34,1.700000000000000000e+03,6.092661422999999803e-05,1.797224192000000039e+05,2.043538974000000064e+00,1.000000000000000000e+02
35,1.750000000000000000e+03,6.324642736999999551e-05,1.755961935999999987e+05,1.996621605000000077e+00,1.000000000000000000e+02
36,1.800000000000000000e+03,6.556624050000000334e-05,1.718808857000000135e+05,1.954376588999999997e+00,1.000000000000000000e+02
37,1.850000000000000000e+03,6.788605364000000082e-05,1.682406254999999946e+05,1.912984905000000069e+00,1.000000000000000000e+02
38,1.900000000000000000e+03,7.020586677999999831e-05,1.646447501000000047e+05,1.872097899999999981e+00,1.000000000000000000e+02
39,1.950000000000000000e+03,7.252567991999999580e-05,1.615142393999999913e+05,1.836502336999999985e+00,1.000000000000000000e+02
40,2.000000000000000000e+03,7.484549305000000362e-05,1.587647215000000142e+05,1.805238864000000110e+00,1.000000000000000000e+02
41,2.050000000000000000e+03,7.498998860999999858e-05,1.586042337999999872e+05,1.803414033999999999e+00,2.134379142999999956e+01
42,2.100000000000000000e+03,8.399671290000000569e-05,1.524988287999999884e+05,1.733992350000000071e+00,1.000000000000000000e+03
43,2.150000000000000000e+03,1.071948442999999941e-04,1.452097881000000052e+05,1.651112101000000054e+00,1.000000000000000000e+03
44,2.200000000000000000e+03,1.303929756999999961e-04,1.421816485000000102e+05,1.616680552999999909e+00,1.000000000000000000e+03
45,2.250000000000000000e+03,1.535911069999999930e-04,1.391840922000000137e+05,1.582596751999999940e+00,1.000000000000000000e+03
46,2.300000000000000000e+03,1.767892383999999950e-04,1.355751808000000019e+05,1.541561520999999990e+00,1.000000000000000000e+03
47,2.350000000000000000e+03,1.999873697999999969e-04,1.312519568999999901e+05,1.492404177000000054e+00,1.000000000000000000e+03
48,2.400000000000000000e+03,2.231855011999999989e-04,1.261558178999999946e+05,1.434458381000000005e+00,1.000000000000000000e+03
49,2.450000000000000000e+03,2.463836324999999958e-04,1.201998598000000056e+05,1.366735986999999986e+00,1.000000000000000000e+03
50,2.500000000000000000e+03,2.695817639000000249e-04,1.133703225999999995e+05,1.289080537000000026e+00,1.000000000000000000e+03
51,2.550000000000000000e+03,2.927798952999999997e-04,1.064007026999999944e+05,1.209832272000000097e+00,1.000000000000000000e+03
52,2.600000000000000000e+03,3.159780266999999746e-04,9.912837086999999883e+04,1.127142011999999971e+00,1.000000000000000000e+03
53,2.650000000000000000e+03,3.391761580000000257e-04,9.033199181000000681e+04,1.027122528999999895e+00,1.000000000000000000e+03
54,2.700000000000000000e+03,3.623742894000000006e-04,8.197208586000000651e+04,9.320659766000000124e-01,1.000000000000000000e+03
55,2.750000000000000000e+03,3.855724207999999755e-04,7.323944931999999972e+04,8.327712798999999944e-01,1.000000000000000000e+03
56,2.800000000000000000e+03,4.087705522000000045e-04,6.532956956000000355e+04,7.428317629999999783e-01,1.000000000000000000e+03
57,2.850000000000000000e+03,4.319686835000000015e-04,5.769492573999999877e+04,6.560218243000000005e-01,1.000000000000000000e+03
58,2.900000000000000000e+03,4.551668148999999763e-04,5.062731057000000146e+04,5.756593011999999732e-01,1.000000000000000000e+03
59,2.950000000000000000e+03,4.783649463000000054e-04,4.426617588999999862e+04,5.033298350999999560e-01,1.000000000000000000e+03
60,3.000000000000000000e+03,5.015630776999999802e-04,3.850712378999999783e+04,4.378463664000000199e-01,1.000000000000000000e+03
61,3.050000000000000000e+03,6.146426712999999509e-04,1.787429957999999897e+04,2.032402410999999964e-01,1.000000000000000000e+04
62,3.100000000000000000e+03,8.466239849999999826e-04,1.162124931000000061e+03,1.321397518999999944e-02,1.000000000000000000e+04
63,3.150000000000000000e+03,1.078605298999999948e-03,3.148323571999999970e+01,3.579810436999999990e-04,1.000000000000000000e+04
64,3.200000000000000000e+03,1.310586613000000022e-03,1.037564105999999953e+01,1.179765272000000016e-04,1.000000000000000000e+04
65,3.250000000000000000e+03,1.542567926000000100e-03,3.043503682999999960e+00,3.460624679000000304e-05,1.000000000000000000e+04
66,3.300000000000000000e+03,1.774549239999999957e-03,9.848924867999999666e-01,1.119874855000000017e-05,1.000000000000000000e+04
67,3.350000000000000000e+03,2.006530553999999814e-03,3.176594155999999947e-01,3.611955585999999928e-06,1.000000000000000000e+04
68,3.400000000000000000e+03,2.238511867999999887e-03,1.024055912000000068e-01,1.164405740000000093e-06,1.000000000000000000e+04
69,3.450000000000000000e+03,2.470493180999999965e-03,3.300879899999999839e-02,3.753275050999999838e-07,1.000000000000000000e+04
70,3.500000000000000000e+03,2.702474495000000039e-03,1.063851170999999957e-02,1.209655055000000055e-07,1.000000000000000000e+04
71,3.550000000000000000e+03,2.934455809000000113e-03,3.428547543000000104e-03,3.898439914999999758e-08,1.000000000000000000e+04
