,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801440995437411999e-02,-2.822251888054063093e-05,2.822253506751827896e-05,6.671586539639987734e+01,2.648273191154545057e+05
1,1.801568167722950031e-02,-8.467203087751261521e-05,2.805763818015513038e-05,6.677531915598322598e+01,2.680628176201889291e+05
2,1.801822827763625151e-02,-1.410962622662436132e-04,2.786097988569927856e-05,6.674917835801768717e+01,2.690306253762086853e+05
3,1.802204890790614841e-02,-1.974470098510736874e-04,2.765666624585533058e-05,6.663912150060703254e+01,2.687495516174709192e+05
4,1.802714158059089133e-02,-2.536962155836675948e-04,2.744451866318716043e-05,6.645720215781177842e+01,2.677461402797848568e+05
5,1.803350367987905170e-02,-3.098155208796086113e-04,2.722445686899758861e-05,6.617333375115455851e+01,2.665181534373838804e+05
6,1.804113194640129952e-02,-3.657763827005455185e-04,2.699671442841547860e-05,6.581402289592823251e+01,2.648925114905959927e+05
7,1.805002247929703846e-02,-4.215502923414083791e-04,2.676169566183732952e-05,6.537939727946380231e+01,2.631614364530265448e+05
8,1.806017074577812020e-02,-4.771088578576741790e-04,2.651992015016774854e-05,6.487059586121110044e+01,2.613139356913026131e+05
9,1.807157158969573130e-02,-5.324238486250436851e-04,2.627195935484670931e-05,6.428881866894782604e+01,2.593677574655012577e+05
10,1.808421924522797888e-02,-5.874672236339942896e-04,2.601844630366543896e-05,6.363527090605052194e+01,2.573115032565016591e+05
11,1.809810735451354916e-02,-6.422111706045755593e-04,2.576012884649308995e-05,6.291175876868406647e+01,2.551281948201583873e+05
12,1.811322898912880869e-02,-6.966281394126468173e-04,2.549787280768096070e-05,6.211993778570371205e+01,2.527970255160277884e+05
13,1.812957666578707966e-02,-7.506908569660643380e-04,2.523260642056337054e-05,6.126122950619001273e+01,2.502837149875623873e+05
14,1.814714236193111854e-02,-8.043723273416904587e-04,2.496532017518322984e-05,6.033892070498227156e+01,2.475899116150330228e+05
15,1.816591754234525916e-02,-8.576458675401646848e-04,2.469710336285451093e-05,5.935537874417321547e+01,2.447054680886948190e+05
16,1.818589317886267973e-02,-9.104851144816209548e-04,2.442910818475314068e-05,5.831325114988504055e+01,2.416230716675145668e+05
17,1.820705976462838951e-02,-9.628640230853103719e-04,2.416244630452095866e-05,5.721636893635643162e+01,2.383476805649456219e+05
18,1.822940732562211910e-02,-1.014756853164360895e-03,2.389818031698880881e-05,5.606999130608020465e+01,2.348985138318091340e+05
19,1.825292544135507025e-02,-1.066138178320401959e-03,2.363739633632976040e-05,5.487725381939105773e+01,2.312839493699956802e+05
20,1.827760325492202090e-02,-1.116982874714244917e-03,2.338119336971770102e-05,5.364009036084653559e+01,2.275106587360883132e+05
21,1.830342948170329137e-02,-1.167266111988727022e-03,2.313063235853122089e-05,5.236168545772256522e+01,2.235885759194678976e+05
22,1.833039240188017935e-02,-1.216963318554951023e-03,2.288671184693250848e-05,5.104688085563293498e+01,2.195207048334810243e+05
23,1.835847986716405977e-02,-1.266050177378527999e-03,2.265039375808124023e-05,4.969890902090437379e+01,2.153097292415776174e+05
24,1.838767930475693896e-02,-1.314502623375398988e-03,2.242260320586654936e-05,4.832159412097512075e+01,2.109499302955363237e+05
25,1.841797774889433054e-02,-1.362296879324601017e-03,2.220426960999916127e-05,4.692130499781202957e+01,2.064532714165446523e+05
