,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801393234715019040e-02,1.413014671834004973e-05,1.412927266209419993e-05,6.665736536339541374e+01,2.647950488314328832e+05
1,1.801425152122070050e-02,4.239647560660363249e-05,1.408751174738013966e-05,6.657016375838909994e+01,2.641480685736347223e+05
2,1.801489037163896134e-02,7.066544045608596667e-05,1.403561345422760011e-05,6.646468933331709650e+01,2.634372114520932664e+05
3,1.801584891077911976e-02,9.892528646602909929e-05,1.398266698611539073e-05,6.634068779364908153e+01,2.628503699105515261e+05
4,1.801712700247819904e-02,1.271719694465111921e-04,1.392934516377055965e-05,6.619869815846610095e+01,2.623258154704275075e+05
5,1.801872447694304047e-02,1.554020808338522127e-04,1.387550954417519973e-05,6.603922781473956150e+01,2.618180852009450318e+05
6,1.802064112905937127e-02,1.836121633895870060e-04,1.382104340102421974e-05,6.586109512774589803e+01,2.613497549998693576e+05
7,1.802287671354821028e-02,2.117986789102597914e-04,1.376589275206536951e-05,6.566358452686344549e+01,2.609358592072413594e+05
8,1.802543094420213168e-02,2.399580517501562118e-04,1.371003904432497922e-05,6.544645448300238399e+01,2.605506036248735909e+05
9,1.802830349268260898e-02,2.680866836260022775e-04,1.365347941607105049e-05,6.521015605821989425e+01,2.601555954869583366e+05
10,1.803149399191698171e-02,2.961809920644223109e-04,1.359621879330673968e-05,6.495427303038241007e+01,2.597146733938982943e+05
11,1.803500203428475002e-02,3.242373968952392822e-04,1.353826842152216971e-05,6.467911772888756161e+01,2.592144386987807229e+05
12,1.803882716844953937e-02,3.522522945937592190e-04,1.347964453193732025e-05,6.438466416438369322e+01,2.586496835211749712e+05
13,1.804296890412824053e-02,3.802221016336208913e-04,1.342036563618936072e-05,6.407164493000178140e+01,2.580117654390652606e+05
14,1.804742671148592062e-02,4.081432461848487911e-04,1.336045241396150044e-05,6.374030082226764904e+01,2.572714339608264563e+05
15,1.805220002031701979e-02,4.360121611394945961e-04,1.329992925628300023e-05,6.339101723395586419e+01,2.564281196227663895e+05
