,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801630790102309865e-02,-5.627014944633021768e-05,5.627344569424899185e-05,6.673607187321687206e+01,2.695842336773083080e+05
1,1.802135004727328099e-02,-5.559064021161440935e-05,1.687425768756910065e-04,6.636800565783219952e+01,2.688821738471947028e+05
2,1.803145204751209138e-02,-5.478002516042966216e-05,2.809042974887472925e-04,6.572163196730754464e+01,2.661603186816580128e+05
3,1.804659551489425084e-02,-5.389405141692262251e-05,3.924935773366775948e-04,6.477403764135762287e+01,2.625357132904857863e+05
4,1.806674989598005057e-02,-5.294021168513319935e-05,5.032851879799807738e-04,6.354595551097303741e+01,2.585571287465845235e+05
5,1.809187522326676997e-02,-5.192942420694621913e-05,6.130569523914387777e-04,6.203993261676072990e+01,2.539854349550321058e+05
6,1.812192298138138105e-02,-5.087591653717328809e-05,7.215916497112055683e-04,6.026018739632350218e+01,2.486543012049940880e+05
7,1.815683721847722101e-02,-4.979730040790873800e-05,8.286782351462204307e-04,5.822453423963857233e+01,2.424680478974189900e+05
8,1.819655553099407130e-02,4.871688846823133095e-05,9.341116059122052308e-04,5.579785153661916297e+01,2.346040043682528194e+05
9,1.819655577031345853e-02,-4.871384841439428692e-05,9.341125111399975868e-04,5.596710479944846384e+01,2.354827081194453349e+05
10,1.824101119329380946e-02,4.765004039766782896e-05,1.037696441609530038e-03,5.337612341214109080e+01,2.270337182203982375e+05
11,1.829013267915166954e-02,4.662034819568856777e-05,1.139241007512960995e-03,5.078766353130124145e+01,2.187415432694683259e+05
12,1.834384524139410014e-02,4.564800898179511250e-05,1.238559821516514942e-03,4.806802399234144474e+01,2.098606110489665589e+05
13,1.840207095655180952e-02,4.475193397145665723e-05,1.335471392738229058e-03,4.525384898849326021e+01,2.004237047783374146e+05
14,1.846472860971688085e-02,4.395099279694031792e-05,1.429796688525723086e-03,4.239019711457262218e+01,1.905268392436878930e+05
15,1.853172879071367934e-02,4.327272587293854697e-05,1.521351728752972027e-03,3.951403529540142756e+01,1.804972638173555024e+05
16,1.860290498745111043e-02,4.284928346053525918e-05,1.609866055089641994e-03,3.672441781068830124e+01,1.712231693175696128e+05
17,1.867753849366153920e-02,4.341662864252358818e-05,1.694494904903977002e-03,3.373361094570632446e+01,1.591439660980094632e+05
18,1.875548595193144916e-02,4.487445038947479744e-05,1.775167328226841994e-03,3.087590426671896182e+01,1.491945005958203401e+05
19,1.883716135112989062e-02,4.640758597414926023e-05,1.852420688906727042e-03,2.813004378768862779e+01,1.390103431898394483e+05
20,1.892242769019093079e-02,4.791185832413284051e-05,1.926086030891862016e-03,2.549879109282610656e+01,1.289201241876112472e+05
21,1.901109406110165073e-02,4.937194425624198918e-05,1.995957428421483212e-03,2.296639719845120453e+01,1.187460545587586530e+05
22,1.910296593854503983e-02,5.077972486060149690e-05,2.061849226639031907e-03,2.059344039349145206e+01,1.091258628893532004e+05
