,iteration,time,absolute-residual,relative-residual,cfl
0,1.000000000000000000e+00,0.000000000000000000e+00,4.509833918999999878e+04,1.000000000000000000e+00,2.000000000000000111e-01
1,5.000000000000000000e+01,3.763421440000000022e-08,4.393951907999999821e+04,9.743045944999999541e-01,2.184266625999999878e+00
2,1.000000000000000000e+02,2.670663225000000224e-07,4.113118546999999671e+04,9.120332635000000243e-01,8.154864043999999978e+00
3,1.500000000000000000e+02,4.853752086000000271e-07,3.973009479999999894e+04,8.809658074999999755e-01,8.154864043999999978e+00
4,2.000000000000000000e+02,6.055496792000000096e-07,3.893468701999999757e+04,8.633286219000000372e-01,4.720137244000000010e+00
5,2.500000000000000000e+02,7.062488704000000249e-07,3.825430127999999968e+04,8.482419078999999806e-01,5.203951312000000051e+00
6,3.000000000000000000e+02,8.273721328999999633e-07,3.761420388000000094e+04,8.340485384000000391e-01,6.641707111999999746e+00
7,3.500000000000000000e+02,1.019905094000000023e-06,3.736896368999999686e+04,8.286106398000000484e-01,1.081864103000000021e+01
8,4.000000000000000000e+02,1.460368817000000096e-06,4.043153435000000172e+04,8.965193635999999522e-01,2.733816705999999996e+01
9,4.500000000000000000e+02,2.933668111999999912e-06,6.199062299000000348e+04,1.374565540999999946e+00,1.000000000000000000e+02
10,5.000000000000000000e+02,5.257426348000000128e-06,8.889129021000000648e+04,1.971054628999999947e+00,1.000000000000000000e+02
11,5.500000000000000000e+02,7.556041030000000132e-06,9.485852981000000727e+04,2.103370801000000068e+00,1.000000000000000000e+02
12,6.000000000000000000e+02,9.867210335999999536e-06,9.610597123999999894e+04,2.131031274000000142e+00,1.000000000000000000e+02
13,6.500000000000000000e+02,1.218370243999999945e-05,9.620728500000000349e+04,2.133277781999999956e+00,1.000000000000000000e+02
14,7.000000000000000000e+02,1.450158666000000052e-05,9.601904854000000341e+04,2.129103870999999870e+00,1.000000000000000000e+02
15,7.500000000000000000e+02,1.681967332000000156e-05,9.577578113000000303e+04,2.123709716000000025e+00,1.000000000000000000e+02
16,8.000000000000000000e+02,1.913778324000000100e-05,9.553510394000000088e+04,2.118372996999999813e+00,1.000000000000000000e+02
17,8.500000000000000000e+02,2.145589762999999993e-05,9.528320776999999362e+04,2.112787509999999980e+00,1.000000000000000000e+02
18,9.000000000000000000e+02,2.377401388000000010e-05,9.503655602000000363e+04,2.107318311999999860e+00,1.000000000000000000e+02
19,9.500000000000000000e+02,2.609213072000000008e-05,9.476422853999999643e+04,2.101279786000000094e+00,1.000000000000000000e+02
20,1.000000000000000000e+03,2.841024773000000046e-05,9.448546279999999388e+04,2.095098500000000197e+00,1.000000000000000000e+02
21,1.050000000000000000e+03,3.072836478999999997e-05,9.420242835000000196e+04,2.088822561000000189e+00,1.000000000000000000e+02
22,1.100000000000000000e+03,3.304648186000000269e-05,9.390775435000000289e+04,2.082288528999999944e+00,1.000000000000000000e+02
23,1.150000000000000000e+03,3.536459894000000185e-05,9.360008508999999322e+04,2.075466342999999991e+00,1.000000000000000000e+02
24,1.200000000000000000e+03,3.768271600999999779e-05,9.328334454999999434e+04,2.068443011999999914e+00,1.000000000000000000e+02
25,1.250000000000000000e+03,4.000083308000000051e-05,9.296295497999999498e+04,2.061338768999999793e+00,1.000000000000000000e+02
26,1.300000000000000000e+03,4.231895015000000323e-05,9.264748977000000014e+04,2.054343717000000069e+00,1.000000000000000000e+02
27,1.350000000000000000e+03,4.463706723000000239e-05,9.230327637000000686e+04,2.046711209999999781e+00,1.000000000000000000e+02
28,1.400000000000000000e+03,4.695518429999999833e-05,9.194619418000000587e+04,2.038793352999999975e+00,1.000000000000000000e+02
29,1.450000000000000000e+03,4.927330137000000105e-05,9.160306068999999843e+04,2.031184791999999906e+00,1.000000000000000000e+02
30,1.500000000000000000e+03,5.159141845000000021e-05,9.124585619000000588e+04,2.023264222999999973e+00,1.000000000000000000e+02
31,1.550000000000000000e+03,5.390953552000000293e-05,9.086497349999999278e+04,2.014818619000000144e+00,1.000000000000000000e+02
32,1.600000000000000000e+03,5.622765258999999887e-05,9.051821223000000464e+04,2.007129615999999839e+00,1.000000000000000000e+02
33,1.650000000000000000e+03,5.854576966999999803e-05,9.011633049999999639e+04,1.998218384999999930e+00,1.000000000000000000e+02
34,1.700000000000000000e+03,6.086388674000000075e-05,8.975589564000000246e+04,1.990226186999999980e+00,1.000000000000000000e+02
35,1.750000000000000000e+03,6.318200380999999669e-05,8.934535391999999410e+04,1.981122931000000031e+00,1.000000000000000000e+02
36,1.800000000000000000e+03,6.550012089000000262e-05,8.897413624999999593e+04,1.972891637000000031e+00,1.000000000000000000e+02
37,1.850000000000000000e+03,6.781823796000000534e-05,8.854885195999999996e+04,1.963461482999999896e+00,1.000000000000000000e+02
38,1.900000000000000000e+03,7.013635503999999772e-05,8.816639241000000038e+04,1.954980914999999930e+00,1.000000000000000000e+02
39,1.950000000000000000e+03,7.245447211000000044e-05,8.773202109999999811e+04,1.945349267000000104e+00,1.000000000000000000e+02
40,2.000000000000000000e+03,7.477258918000000316e-05,8.734557649000000674e+04,1.936780334999999909e+00,1.000000000000000000e+02
41,2.050000000000000000e+03,7.491697909000000558e-05,8.732535813999999664e+04,1.936332018000000099e+00,2.134379142999999956e+01
42,2.100000000000000000e+03,8.391711838000000603e-05,8.451350655000000552e+04,1.873982679999999901e+00,1.000000000000000000e+03
43,2.150000000000000000e+03,1.070982890999999990e-04,7.918847375000000466e+04,1.755906651000000096e+00,1.000000000000000000e+03
44,2.200000000000000000e+03,1.302794598999999906e-04,7.481339738999999827e+04,1.658894733999999982e+00,1.000000000000000000e+03
45,2.250000000000000000e+03,1.534606305999999907e-04,7.022283612999999605e+04,1.557104704999999978e+00,1.000000000000000000e+03
46,2.300000000000000000e+03,1.766418012999999908e-04,6.534749126000000251e+04,1.448999951000000008e+00,1.000000000000000000e+03
47,2.350000000000000000e+03,1.998229720999999959e-04,6.038457927999999811e+04,1.338953504000000017e+00,1.000000000000000000e+03
48,2.400000000000000000e+03,2.230041427999999960e-04,5.520821824000000197e+04,1.224174088000000049e+00,1.000000000000000000e+03
49,2.450000000000000000e+03,2.461853134999999961e-04,4.988519413999999961e+04,1.106142599000000004e+00,1.000000000000000000e+03
50,2.500000000000000000e+03,2.693664843000000012e-04,4.453127483999999822e+04,9.874260481000000089e-01,1.000000000000000000e+03
51,2.550000000000000000e+03,2.925476549999999742e-04,3.911556220000000030e+04,8.673393056000000545e-01,1.000000000000000000e+03
52,2.600000000000000000e+03,3.157288257000000014e-04,3.360315378999999666e+04,7.451084540000000311e-01,1.000000000000000000e+03
53,2.650000000000000000e+03,3.389099965000000065e-04,2.845291417000000001e+04,6.309082481000000131e-01,1.000000000000000000e+03
54,2.700000000000000000e+03,3.620911671999999795e-04,2.295681408000000010e+04,5.090390132000000012e-01,1.000000000000000000e+03
55,2.750000000000000000e+03,3.852723379000000067e-04,1.823843047999999908e+04,4.044146815999999922e-01,1.000000000000000000e+03
56,2.800000000000000000e+03,4.084535087000000118e-04,1.382016164000000026e+04,3.064450240000000103e-01,1.000000000000000000e+03
57,2.850000000000000000e+03,4.316346793999999848e-04,9.981979167999999845e+03,2.213380658000000112e-01,1.000000000000000000e+03
58,2.900000000000000000e+03,4.548158501000000120e-04,6.784893973999999616e+03,1.504466483000000132e-01,1.000000000000000000e+03
59,2.950000000000000000e+03,4.779970209000000171e-04,4.475649354999999559e+03,9.924199949999999715e-02,1.000000000000000000e+03
60,3.000000000000000000e+03,5.011781915999999901e-04,2.821868418999999903e+03,6.257144873999999357e-02,1.000000000000000000e+03
61,3.050000000000000000e+03,6.141751104000000216e-04,4.467859470999999871e+02,9.906926841999999164e-03,1.000000000000000000e+04
62,3.100000000000000000e+03,8.459868177000000105e-04,8.489132119999999304e+01,1.882360254000000092e-03,1.000000000000000000e+04
63,3.150000000000000000e+03,1.077798525000000108e-03,2.522099327999999829e+01,5.592443918999999474e-04,1.000000000000000000e+04
64,3.200000000000000000e+03,1.309610232000000055e-03,1.053293515999999919e+01,2.335548349000000131e-04,1.000000000000000000e+04
65,3.250000000000000000e+03,1.541421939999999997e-03,4.600024108000000389e+00,1.019998560999999969e-04,1.000000000000000000e+04
66,3.300000000000000000e+03,1.773233646999999944e-03,2.057162413999999995e+00,4.561503706000000306e-05,1.000000000000000000e+04
67,3.350000000000000000e+03,2.005045353999999891e-03,9.153145730999999730e-01,2.029597074999999845e-05,1.000000000000000000e+04
68,3.400000000000000000e+03,2.236857061999999834e-03,3.969328547000000040e-01,8.801496058999999712e-06,1.000000000000000000e+04
69,3.450000000000000000e+03,2.468668769000000214e-03,1.651737782000000099e-01,3.662524632999999974e-06,1.000000000000000000e+04
70,3.500000000000000000e+03,2.700480477000000157e-03,6.507718846000000446e-02,1.443006320000000047e-06,1.000000000000000000e+04
71,3.550000000000000000e+03,2.932292184000000104e-03,2.405546778999999996e-02,5.334003029000000173e-07,1.000000000000000000e+04
72,3.600000000000000000e+03,3.164103891000000050e-03,8.302373413999999258e-03,1.840948815999999971e-07,1.000000000000000000e+04
73,3.650000000000000000e+03,3.395915598999999993e-03,2.670259808000000155e-03,5.920971494000000158e-08,1.000000000000000000e+04
74,3.700000000000000000e+03,3.627727305999999940e-03,8.004231040999999726e-04,1.774839424999999863e-08,1.000000000000000000e+04
75,3.750000000000000000e+03,3.859539012999999887e-03,2.238350745000000012e-04,4.963266464999999829e-09,1.000000000000000000e+04
76,3.800000000000000000e+03,4.091350720999999829e-03,5.849460405999999717e-05,1.297045636000000022e-09,1.000000000000000000e+04
77,3.850000000000000000e+03,4.323162428000000210e-03,1.431087392000000075e-05,3.173259630999999907e-10,1.000000000000000000e+04
