,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801393234715019040e-02,1.413014671834004973e-05,1.412927266209419993e-05,6.665736536339541374e+01,2.647950488314328832e+05
1,1.801393234716797132e-02,-1.413015164075904036e-05,1.412927455296186053e-05,6.672791475317026766e+01,2.659958635158802499e+05
2,1.801425152118947895e-02,-4.239647027315486874e-05,1.408751938060861076e-05,6.677425813488456185e+01,2.674752657168476726e+05
3,1.801489037150729930e-02,-7.066542968635006064e-05,1.403562920842667929e-05,6.679884032540094552e+01,2.684414937305987696e+05
4,1.801584891028560134e-02,-9.892526808818643527e-05,1.398269137263937987e-05,6.680400314351010138e+01,2.690040236609768472e+05
5,1.801712700145940982e-02,-1.271719423718006088e-04,1.392937831772264023e-05,6.678550907412079596e+01,2.691668472566228011e+05
6,1.801872447537644986e-02,-1.554020484774709123e-04,1.387555155671143970e-05,6.674655641791802907e+01,2.690528240555672091e+05
7,1.802064112665078058e-02,-1.836121233136553919e-04,1.382109439321750959e-05,6.668661302697906024e+01,2.687611513475182001e+05
8,1.802287670998256944e-02,-2.117986294730236127e-04,1.376595288998026074e-05,6.660594588855434495e+01,2.683191152849463397e+05
9,1.802543093907304009e-02,-2.399579909579571105e-04,1.371010854012818011e-05,6.650500551719409259e+01,2.677528541224876535e+05
10,1.802830348685461118e-02,-2.680866212511731259e-04,1.365355852773154936e-05,6.638424124420504313e+01,2.670926226400273736e+05
11,1.803149398505081089e-02,-2.961809266729187925e-04,1.359630782275159050e-05,6.624405474338249178e+01,2.663711850546313217e+05
12,1.803500202455615015e-02,-3.242373145899617257e-04,1.353836771386876012e-05,6.608474207627673991e+01,2.656214143204770517e+05
13,1.803882715706126016e-02,-3.522522059960772937e-04,1.347975447474053032e-05,6.590643616817456518e+01,2.648740689780478133e+05
14,1.804296889191899997e-02,-3.802220137803055027e-04,1.342048665739419968e-05,6.570953516734265065e+01,2.641347993866580655e+05
15,1.804742669754588053e-02,-4.081431533104570202e-04,1.336058498090216947e-05,6.549389509532278453e+01,2.633826497757188044e+05
16,1.805220000420184115e-02,-4.360120614086757237e-04,1.330007387470469989e-05,6.525937757295349684e+01,2.626160672943235841e+05
17,1.805728820152940894e-02,-4.638251778277573058e-04,1.323898049673159949e-05,6.500597659048003152e+01,2.618339487489066087e+05
18,1.806269063900746083e-02,-4.915789491313333169e-04,1.317733022027199071e-05,6.473371826263384321e+01,2.610297289326069003e+05
19,1.806840662624904087e-02,-5.192698300603274843e-04,1.311514724539824967e-05,6.444266875342431433e+01,2.601947097288929217e+05
20,1.807443543345607986e-02,-5.468942853611551960e-04,1.305245931563565067e-05,6.413294587360695687e+01,2.593201798227646213e+05
21,1.808077629191221988e-02,-5.744487912763621140e-04,1.298929848158171955e-05,6.380477678452454171e+01,2.583993507429782767e+05
22,1.808742839409933911e-02,-6.019298356061622427e-04,1.292569801160313008e-05,6.345841680977756738e+01,2.574262226346018724e+05
23,1.809439089382073110e-02,-6.293339174565982554e-04,1.286169282745667988e-05,6.309416227982428182e+01,2.563955993904466450e+05
24,1.810166290691868005e-02,-6.566575494194541035e-04,1.279732259506847941e-05,6.271233866551042979e+01,2.553038407361661084e+05
25,1.810924351149593992e-02,-6.838972575986235723e-04,1.273263058167934048e-05,6.231333212550903511e+01,2.541480075301121979e+05
26,1.811713174763298143e-02,-7.110495802419897118e-04,1.266765791520773036e-05,6.189756343314746090e+01,2.529254197006915347e+05
27,1.812532661738329096e-02,-7.381110673375847891e-04,1.260244416487734015e-05,6.146541815493660010e+01,2.516387878044818353e+05
28,1.813382708594421869e-02,-7.650782839274488083e-04,1.253703310384269943e-05,6.101743472272825386e+01,2.502951016311144340e+05
29,1.814263208234023067e-02,-7.919478115072239258e-04,1.247147303895881988e-05,6.055403733296085278e+01,2.488955086394720420e+05
30,1.815174049900706091e-02,-8.187162461274979800e-04,1.240581268123111000e-05,6.007560773518655139e+01,2.474411366371441691e+05
31,1.816115119229349054e-02,-8.453801992931022713e-04,1.234010117738280061e-05,5.958235669585499039e+01,2.459342506662020169e+05
32,1.817086298293416058e-02,-8.719362986999720051e-04,1.227439151077824929e-05,5.907454085693204604e+01,2.443768832658778119e+05
33,1.818087465640443046e-02,-8.983811885913927904e-04,1.220873840967235992e-05,5.855262680066827841e+01,2.427712489648533519e+05
34,1.819118496284381076e-02,-9.247115292784147600e-04,1.214319109352589971e-05,5.801704577418478692e+01,2.411179710206296877e+05
35,1.820179261701585990e-02,-9.509239965488683853e-04,1.207779381435711038e-05,5.746814331773659745e+01,2.394173686918133753e+05
36,1.821269629924603117e-02,-9.770152834751031148e-04,1.201259307115386940e-05,5.690628493959567891e+01,2.376700737484984857e+05
37,1.822389465576048848e-02,-1.002982100692307926e-03,1.194763817044233918e-05,5.633189098944119166e+01,2.358765602723958436e+05
38,1.823538629870220112e-02,-1.028821176074080955e-03,1.188297766595956992e-05,5.574551510747878780e+01,2.340374267314765020e+05
39,1.824716980638235037e-02,-1.054529254895840993e-03,1.181865915287997075e-05,5.514749096156435115e+01,2.321523444423415640e+05
40,1.825924372330419918e-02,-1.080103099519338960e-03,1.175473228292084963e-05,5.453821903662910131e+01,2.302253057734369359e+05
41,1.827160656061882146e-02,-1.105539490066187935e-03,1.169124742165353075e-05,5.391827148922834567e+01,2.282601417576603417e+05
42,1.828425679638235116e-02,-1.130835224769714950e-03,1.162825179333854049e-05,5.328809236240158498e+01,2.262564435830968141e+05
43,1.829719287531303071e-02,-1.155987119199574070e-03,1.156578921360103004e-05,5.264812688308928301e+01,2.242144748760165530e+05
44,1.831041320904643055e-02,-1.180992006552751029e-03,1.150390349800948917e-05,5.199883850968954135e+01,2.221351873712672095e+05
45,1.832391617593690999e-02,-1.205846737159062092e-03,1.144263839048567012e-05,5.134074673609845263e+01,2.200200105089255667e+05
46,1.833770012166672028e-02,-1.230548179540328062e-03,1.138203661074323082e-05,5.067431820382614660e+01,2.178700883836809371e+05
47,1.835176335913740048e-02,-1.255093220150983908e-03,1.132213910345201961e-05,5.000001157845375843e+01,2.156865564249001327e+05
48,1.836610416803917054e-02,-1.279478762576258992e-03,1.126298575307378068e-05,4.931831972250913054e+01,2.134709123669980036e+05
49,1.838072079488457106e-02,-1.303701727694080983e-03,1.120461566022846077e-05,4.862970308103706429e+01,2.112245958843508270e+05
50,1.839561145695460878e-02,-1.327759059963091104e-03,1.114706974075791946e-05,4.793462849166395046e+01,2.089489169502336881e+05
51,1.841077434128060922e-02,-1.351647725424554936e-03,1.109038975013567946e-05,4.723364246024603830e+01,2.066449811309659272e+05
52,1.842620760037266131e-02,-1.375364704785875941e-03,1.103461618675343945e-05,4.652707430713712711e+01,2.043126864099845116e+05
53,1.844190935088617020e-02,-1.398906992007087910e-03,1.097978977995643972e-05,4.581542621518376279e+01,2.019554131187988387e+05
54,1.845787767560113854e-02,-1.422271597689052022e-03,1.092595830103354961e-05,4.509923728171203550e+01,1.995755256371916621e+05
55,1.847411062134199020e-02,-1.445455546692248983e-03,1.087317776911732049e-05,4.437892092680666423e+01,1.971739567026233999e+05
56,1.849060619452673124e-02,-1.468455872583537998e-03,1.082151244061225054e-05,4.365491079378080030e+01,1.947527582599097805e+05
57,1.850736235741283833e-02,-1.491269613963890940e-03,1.077104635223470043e-05,4.292763737601065088e+01,1.923134427269263542e+05
58,1.852437702695869035e-02,-1.513893814312682051e-03,1.072191349972119916e-05,4.219767444547488822e+01,1.898526318913310824e+05
59,1.854164806610894903e-02,-1.536325512883956069e-03,1.067431224378839970e-05,4.146600860430346103e+01,1.873637490728384582e+05
60,1.855917326142466142e-02,-1.558561719449640028e-03,1.062852691758676946e-05,4.073536204809715144e+01,1.848525896292988909e+05
61,1.857695029223627864e-02,-1.580599381668691900e-03,1.058501581995007046e-05,4.000575421098002948e+01,1.823005224041369220e+05
62,1.859497666926879927e-02,-1.602435318524953085e-03,1.054467019210412015e-05,3.928413253446214526e+01,1.797248139255569840e+05
63,1.861324958433860019e-02,-1.624066052520314017e-03,1.050964627533808936e-05,3.856294341185577679e+01,1.770846202761813474e+05
64,1.863176088623988078e-02,-1.645482058107162072e-03,1.049144920393535044e-05,3.787476270893524344e+01,1.749472774193919904e+05
65,1.865049499913255110e-02,-1.666665891217283899e-03,1.052065803046285981e-05,3.712144065843229157e+01,1.720561307368612324e+05
66,1.866945076666607847e-02,-1.687617430404859085e-03,1.059428189127686034e-05,3.639503702397389873e+01,1.694787740736250707e+05
67,1.868863970403378955e-02,-1.708350599303099090e-03,1.068019181760841032e-05,3.567957836697738117e+01,1.669365477388524450e+05
68,1.870806430675441001e-02,-1.728868277816936931e-03,1.076868850469509952e-05,3.496429462515804687e+01,1.643781247875214904e+05
69,1.872772204804375173e-02,-1.749167637839001057e-03,1.085813248136509983e-05,3.424756558693697883e+01,1.618284674763186777e+05
70,1.874761034365082096e-02,-1.769245850789369096e-03,1.094788580327210943e-05,3.352815761703194397e+01,1.592835209500466590e+05
71,1.876772657182549861e-02,-1.789100118362378991e-03,1.103765972953161072e-05,3.280665026001371842e+01,1.567277532684693870e+05
72,1.878806807669140128e-02,-1.808727678209001970e-03,1.112728963692870075e-05,3.208417093151038557e+01,1.541251276009428839e+05
73,1.880863218065597850e-02,-1.828125816356989059e-03,1.121667074626307920e-05,3.136595920089145650e+01,1.514936716943132924e+05
74,1.882941618427247041e-02,-1.847291865707075941e-03,1.130573538053794050e-05,3.065554876592953804e+01,1.488511182613676938e+05
75,1.885041736777774007e-02,-1.866223206330329095e-03,1.139444190050218939e-05,2.995400890799830051e+01,1.462039957573971478e+05
76,1.887163298715375040e-02,-1.884917260766102998e-03,1.148275921319441074e-05,2.926194892495506039e+01,1.435677815000639821e+05
