,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801440995437411999e-02,-2.822251888054063093e-05,2.822253506751827896e-05,6.666628403493960775e+01,2.689405019514877931e+05
1,1.801440995447125062e-02,2.822254230028691983e-05,2.822251747516855909e-05,6.653360612769797910e+01,2.684746452935331035e+05
2,1.801568167846267013e-02,8.467209892073948412e-05,2.805757831515070060e-05,6.632810679663602116e+01,2.682774629700445803e+05
3,1.801822828175718080e-02,1.410963746583561028e-04,2.786087009102869024e-05,6.604506040248726606e+01,2.677024561395130586e+05
4,1.802204891703717074e-02,1.974471669473611092e-04,2.765650510075331098e-05,6.568204731171012156e+01,2.667914361124388524e+05
5,1.802714159604835997e-02,2.536964122040496800e-04,2.744430395774007114e-05,6.523790065727192200e+01,2.655134309101296822e+05
6,1.803350370436317129e-02,3.098157622530673208e-04,2.722418540284151912e-05,6.471461725998668157e+01,2.638754133087713271e+05
7,1.804113198093242054e-02,3.657766647994118120e-04,2.699638205750116908e-05,6.411663757058381918e+01,2.619780682279802277e+05
8,1.805002252389766026e-02,4.215506029010985937e-04,2.676129735179966023e-05,6.344982049270091551e+01,2.598814671443788393e+05
9,1.806017080228743132e-02,4.771092004198354878e-04,2.651945003648686138e-05,6.271593460494453609e+01,2.575556941076691146e+05
10,1.807157165786486830e-02,5.324242155155826852e-04,2.627141081729140930e-05,6.191643821221074262e+01,2.550456121495802363e+05
11,1.808421932466553958e-02,5.874676085780980092e-04,2.601781206278146167e-05,6.105273127192541693e+01,2.523722877779633855e+05
12,1.809810744435319876e-02,6.422115674180232199e-04,2.575940109289892002e-05,6.012651784166321534e+01,2.495345089820986032e+05
13,1.811322908898743006e-02,6.966285447249104951e-04,2.549704337972670082e-05,5.914005470456800140e+01,2.465195528601570113e+05
14,1.812957677502467085e-02,7.506912677293449323e-04,2.523166704049578876e-05,5.809544371015498143e+01,2.433186240911374043e+05
15,1.814714247958399904e-02,8.043727398037934509e-04,2.496426276309682065e-05,5.699579618137796899e+01,2.399465813980415405e+05
16,1.816591766699137897e-02,8.576462777073290238e-04,2.469592043841342151e-05,5.584467121569870329e+01,2.363968733580546977e+05
17,1.818589330784748173e-02,9.104855156894960371e-04,2.442779337624390127e-05,5.464621208576838285e+01,2.326696462572239689e+05
18,1.820705989627267873e-02,9.628644121745136113e-04,2.416099495780049084e-05,5.340523292078617601e+01,2.287752966447980143e+05
19,1.822940746046914848e-02,1.014757232364543000e-03,2.389659021433573115e-05,5.212585476460405687e+01,2.247197499600095907e+05
20,1.825292557820172926e-02,1.066138545983539958e-03,2.363566850255073999e-05,5.081044497796971626e+01,2.205049473403910233e+05
21,1.827760339189143934e-02,1.116983227582045001e-03,2.337933293389198060e-05,4.946262195464582589e+01,2.161535829073723871e+05
22,1.830342961927531112e-02,1.167266451813872043e-03,2.312864939695831950e-05,4.808640540201189850e+01,2.116840168676669127e+05
