,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801630790102309865e-02,-5.627014944633021768e-05,5.627344569424899185e-05,6.664568005857367439e+01,2.691206378018770483e+05
1,1.802135004727328099e-02,-5.559064021161440935e-05,1.687425768756910065e-04,6.627843740501128877e+01,2.684608844282458886e+05
2,1.803145204751209138e-02,-5.478002516042966216e-05,2.809042974887472925e-04,6.563334710410894957e+01,2.658380821192461881e+05
3,1.804659551489425084e-02,-5.389405141692262251e-05,3.924935773366775948e-04,6.468782426372760597e+01,2.623525592840241152e+05
4,1.806674989598005057e-02,-5.294021168513319935e-05,5.032851879799807738e-04,6.346202336037561054e+01,2.585334968491519976e+05
5,1.809187522326676997e-02,-5.192942420694621913e-05,6.130569523914387777e-04,6.195789422049656281e+01,2.541272068878266437e+05
6,1.812192298138138105e-02,-5.087591653717328809e-05,7.215916497112055683e-04,6.017991517276277591e+01,2.489616063005946344e+05
7,1.815683721847722101e-02,-4.979730040790873800e-05,8.286782351462204307e-04,5.814641778575284548e+01,2.429413963557618263e+05
8,1.819655553099407130e-02,4.871688846823133095e-05,9.341116059122052308e-04,5.572301930611300236e+01,2.352716503281164914e+05
9,1.819655577031345853e-02,-4.871384841439428692e-05,9.341125111399975868e-04,5.589183139160402192e+01,2.361228655668961583e+05
10,1.824101119329380946e-02,4.765004039766782896e-05,1.037696441609530038e-03,5.330461844236467073e+01,2.278646987703792402e+05
11,1.829013267915166954e-02,4.662034819568856777e-05,1.139241007512960995e-03,5.071988468384848403e+01,2.197279914766591100e+05
12,1.834384524139410014e-02,4.564800898179511250e-05,1.238559821516514942e-03,4.800411401001117184e+01,2.109885496520585730e+05
13,1.840207095655180952e-02,4.475193397145665723e-05,1.335471392738229058e-03,4.519388588364939352e+01,2.016747757619817276e+05
14,1.846472860971688085e-02,4.395099279694031792e-05,1.429796688525723086e-03,4.233413749574605589e+01,1.918775316701884149e+05
15,1.853172879071367934e-02,4.327272587293854697e-05,1.521351728752972027e-03,3.946221129684837337e+01,1.819159813302200637e+05
16,1.860290498745111043e-02,4.284928346053525918e-05,1.609866055089641994e-03,3.667696293096860671e+01,1.726786623214119172e+05
17,1.867753849366153920e-02,4.341662864252358818e-05,1.694494904903977002e-03,3.369042409579052588e+01,1.606179700639911171e+05
18,1.875548595193144916e-02,4.487445038947479744e-05,1.775167328226841994e-03,3.083674898578227896e+01,1.506505227534134465e+05
19,1.883716135112989062e-02,4.640758597414926023e-05,1.852420688906727042e-03,2.809477889318970867e+01,1.404224688914119033e+05
20,1.892242769019093079e-02,4.791185832413284051e-05,1.926086030891862016e-03,2.546747369924208115e+01,1.302661717641334108e+05
21,1.901109406110165073e-02,4.937194425624198918e-05,1.995957428421483212e-03,2.293874379945405551e+01,1.200038307909588184e+05
