,iteration,time,absolute-residual,relative-residual,cfl
0,1.000000000000000000e+00,0.000000000000000000e+00,1.072065856999999960e+04,1.000000000000000000e+00,2.000000000000000111e-01
1,5.000000000000000000e+01,9.522741194999999779e-09,1.055378130000000056e+04,9.844340464999999929e-01,2.184266625999999878e+00
2,1.000000000000000000e+02,1.125465951999999986e-07,9.869881672999999864e+03,9.206413588999999842e-01,2.504785864000000117e+01
3,1.500000000000000000e+02,3.185279719999999830e-07,8.904110560999999507e+03,8.305563043000000478e-01,1.762242623999999935e+01
4,2.000000000000000000e+02,4.351875097999999982e-07,8.557732437000000573e+03,7.982468970999999636e-01,1.762242623999999935e+01
5,2.500000000000000000e+02,5.114909519999999953e-07,8.449986632000000100e+03,7.881965998000000084e-01,9.714362464000000585e+00
6,3.000000000000000000e+02,5.650711994999999739e-07,8.485170469999999113e+03,7.914784727000000464e-01,9.714362464000000585e+00
7,3.500000000000000000e+02,6.165676164999999514e-07,8.618531553999999232e+03,8.039181080999999729e-01,9.714362464000000585e+00
8,4.000000000000000000e+02,6.669103230999999567e-07,8.875072432999999364e+03,8.278476901000000332e-01,9.714362464000000585e+00
9,4.500000000000000000e+02,7.161477874000000164e-07,9.322020801999999094e+03,8.695380738000000331e-01,9.714362464000000585e+00
10,5.000000000000000000e+02,7.640807360000000197e-07,1.003776044000000002e+04,9.363007301000000338e-01,9.714362464000000585e+00
11,5.500000000000000000e+02,8.112806806999999665e-07,1.111482820999999967e+04,1.036767298000000004e+00,9.714362464000000585e+00
12,6.000000000000000000e+02,8.583597783999999869e-07,1.265380508999999984e+04,1.180319754000000110e+00,9.714362464000000585e+00
13,6.500000000000000000e+02,9.059053766000000220e-07,1.511946797999999944e+04,1.410311491999999944e+00,9.714362464000000585e+00
14,7.000000000000000000e+02,9.544418559999999187e-07,1.936466718000000037e+04,1.806294553000000080e+00,9.714362464000000585e+00
15,7.500000000000000000e+02,1.005875512999999981e-06,2.578876779000000170e+04,2.405520856999999957e+00,1.071008461999999994e+01
16,8.000000000000000000e+02,1.066822986999999949e-06,3.383624590999999782e+04,3.156172327999999805e+00,1.180786829000000004e+01
17,8.500000000000000000e+02,1.140808492999999942e-06,4.195204290000000037e+04,3.913196435000000140e+00,1.366908352999999998e+01
18,9.000000000000000000e+02,1.233136155000000071e-06,4.801008802000000287e+04,4.478277870000000327e+00,1.744559927999999971e+01
19,9.500000000000000000e+02,1.350909063999999905e-06,5.013976765000000159e+04,4.676929809999999854e+00,2.226549671000000075e+01
20,1.000000000000000000e+03,1.502673334000000072e-06,4.884634436000000278e+04,4.556282065000000436e+00,2.841704293000000092e+01
21,1.050000000000000000e+03,1.704330900999999896e-06,4.540398937000000296e+04,4.235186587000000280e+00,3.808155535000000214e+01
22,1.100000000000000000e+03,1.992103387999999959e-06,4.096227692999999999e+04,3.820873192000000085e+00,5.626380127000000186e+01
23,1.150000000000000000e+03,2.406144610999999863e-06,3.868473408999999810e+04,3.608428888999999806e+00,7.916881854000000374e+01
24,1.200000000000000000e+03,2.955019847000000186e-06,3.979553078999999707e+04,3.712041618999999848e+00,1.010417034000000029e+02
25,1.250000000000000000e+03,3.643406470999999996e-06,4.182175865999999951e+04,3.901043801999999783e+00,1.354055462999999975e+02
26,1.300000000000000000e+03,4.516634742999999595e-06,4.401981465999999637e+04,4.106073742999999610e+00,1.728156022000000007e+02
27,1.350000000000000000e+03,5.630737903999999577e-06,4.566592831000000297e+04,4.259619687999999904e+00,2.205613668000000018e+02
28,1.400000000000000000e+03,7.062505127000000213e-06,4.687415499999999884e+04,4.372320477999999788e+00,2.814984058000000005e+02
29,1.450000000000000000e+03,8.902523520000000506e-06,4.787970474999999715e+04,4.466115998000000253e+00,3.592712252000000035e+02
30,1.500000000000000000e+03,1.127768980999999971e-05,4.876975357000000076e+04,4.549137841000000293e+00,4.585312407000000121e+02
31,1.550000000000000000e+03,1.434095664000000068e-05,4.969705877999999939e+04,4.635634878000000292e+00,5.852149683000000095e+02
32,1.600000000000000000e+03,1.800358890999999967e-05,5.120511344000000099e+04,4.776302977000000283e+00,6.451995025999999598e+02
33,1.650000000000000000e+03,2.175590441000000005e-05,5.324660433000000194e+04,4.966728860999999995e+00,6.451995025999999598e+02
34,1.700000000000000000e+03,2.550823097999999929e-05,5.476966214999999647e+04,5.108796423000000253e+00,6.451995025999999598e+02
35,1.750000000000000000e+03,2.938818071000000065e-05,5.451519759000000340e+04,5.085060515000000336e+00,6.774594776999999794e+02
36,1.800000000000000000e+03,3.338727945999999926e-05,5.284169988000000012e+04,4.928960244999999851e+00,7.113324516000000131e+02
37,1.850000000000000000e+03,3.752428108999999898e-05,5.049656210999999894e+04,4.710210831000000375e+00,7.113324516000000131e+02
