,x,y,z,pressure-normalized,heat-flux-normalized
0,1.801630790102309865e-02,-5.627014944633021768e-05,5.627344569424899185e-05,6.664568005857367439e+01,2.691206378018770483e+05
1,1.802134985663528949e-02,-1.687389058943940950e-04,5.559350874797395938e-05,6.655692533356467777e+01,2.698896744191866601e+05
2,1.803145161825822976e-02,-2.808997751894697797e-04,5.478287156902865760e-05,6.612953614179188833e+01,2.676030856402926147e+05
3,1.804659489372820863e-02,-3.924890779464050160e-04,5.389697949304656736e-05,6.539629446819724023e+01,2.643522564732857281e+05
4,1.806674911733045091e-02,-5.032808759049835733e-04,5.294329162034711728e-05,6.438553355472926398e+01,2.607423350554941862e+05
5,1.809187432089547076e-02,-6.130529005783046364e-04,5.193271095088682244e-05,6.309983401391647106e+01,2.566705403011928138e+05
6,1.812192198159071066e-02,-7.215878720668671663e-04,5.087946303598083316e-05,6.153950255683024295e+01,2.520182672377523268e+05
7,1.815683616229895117e-02,-8.286747730568670570e-04,4.980118543967084117e-05,5.971610376584244761e+01,2.466910483672490809e+05
8,1.819655472425471890e-02,-9.341094523928147484e-04,4.871818655907097687e-05,5.765046299770629190e+01,2.406403430629957002e+05
9,1.824101047567115025e-02,-1.037694723420615108e-03,4.765159842856761313e-05,5.536889775489425602e+01,2.337935087154866196e+05
10,1.829013209637608134e-02,-1.139239732299767924e-03,4.662215935514361172e-05,5.290080918912578767e+01,2.262074832352633530e+05
11,1.834384475187946992e-02,-1.238558848357730049e-03,4.564992468828204966e-05,5.027747614046216995e+01,2.179767315353295417e+05
12,1.840207044288286881e-02,-1.335470494922136970e-03,4.475377594849183095e-05,4.753058862960774889e+01,2.090922037113813276e+05
13,1.846472802843943106e-02,-1.429795787556104947e-03,4.395276475152270330e-05,4.471140935791341064e+01,1.997202534412724781e+05
14,1.853172828569124922e-02,-1.521351004123489958e-03,4.327458522109504675e-05,4.186689698255987224e+01,1.902459422772066901e+05
15,1.860290479745528927e-02,-1.609865753973447082e-03,4.285161395612769111e-05,3.906627016975061650e+01,1.809152574176840135e+05
16,1.867753851332096954e-02,-1.694494863074343929e-03,4.341908527489842206e-05,3.600177403025620038e+01,1.690567675781258149e+05
17,1.875548596502048943e-02,-1.775167286651000917e-03,4.487659094721161785e-05,3.308108341159052657e+01,1.591318564823154593e+05
18,1.883716136489389098e-02,-1.852420654141692007e-03,4.640963613081947037e-05,3.026138464535766914e+01,1.487693576977755001e+05
19,1.892242770372186064e-02,-1.926086001697434975e-03,4.791384351623673821e-05,2.757334716884332337e+01,1.386851982644874079e+05
