,x/h,pressure
0,-4.040000000000000036e+00,8.668751483495861221e-01
1,-4.034318275110761576e+00,8.633497216981876887e-01
2,-4.028558825263898413e+00,8.635311453441995022e-01
3,-4.022667670196641510e+00,8.637430155804814991e-01
4,-4.016644552700279647e+00,8.638036932683785807e-01
5,-4.010489638979284344e+00,8.638644877806849198e-01
6,-4.004202849288437172e+00,8.639229130243772925e-01
7,-3.997784147593886672e+00,8.639735917877374716e-01
8,-3.991233568732991621e+00,8.640314238714960071e-01
9,-3.984550979817193195e+00,8.640436209436460624e-01
10,-3.977736449021068488e+00,8.640641814582564750e-01
11,-3.970789951325636391e+00,8.640774345777002541e-01
12,-3.963711393531343496e+00,8.640823635935318547e-01
13,-3.956500777085772746e+00,8.640804793725697097e-01
14,-3.949158126772275512e+00,8.640738211577474459e-01
15,-3.941683385698030229e+00,8.640557030659447024e-01
16,-3.934076550054995902e+00,8.640471317713531718e-01
17,-3.926337583446724899e+00,8.640289514289164474e-01
18,-3.918466470550400427e+00,8.640083714822810457e-01
19,-3.910463211318913945e+00,8.639852811630582829e-01
20,-3.902327730244643522e+00,8.639600876765440862e-01
21,-3.894060109980241435e+00,8.639331064831612395e-01
22,-3.885660199204102661e+00,8.639191993558605898e-01
23,-3.877128037189795595e+00,8.638744589661127016e-01
24,-3.868463596611015909e+00,8.638428092500443078e-01
25,-3.859666886488911874e+00,8.638096683064826475e-01
26,-3.850737911670259805e+00,8.637754816445309958e-01
27,-3.841676587337850002e+00,8.637401342400579107e-01
28,-3.832482963280587018e+00,8.637034987263719765e-01
29,-3.823156903547972885e+00,8.636463824449439608e-01
30,-3.813698526363412000e+00,8.636267455082108357e-01
31,-3.804107709424254580e+00,8.635868056369055967e-01
32,-3.794384549265065854e+00,8.635452502050278145e-01
33,-3.784528975591384015e+00,8.635024807671740632e-01
34,-3.774540914965020644e+00,8.634586972353175405e-01
35,-3.764420468722325275e+00,8.634137124921326123e-01
36,-3.754167468633300420e+00,8.633436386091091208e-01
37,-3.743781994043961170e+00,8.633195768321669794e-01
38,-3.733264123408182478e+00,8.632705919958048035e-01
39,-3.722613750869531835e+00,8.632202588061522741e-01
40,-3.711830696885136671e+00,8.631682047821718218e-01
41,-3.700915179431920610e+00,8.631144363814465814e-01
42,-3.689867136150000171e+00,8.630594771826617384e-01
43,-3.678686610165261772e+00,8.629738872075782830e-01
44,-3.667373363979856915e+00,8.629442671677104437e-01
45,-3.655927553102413796e+00,8.628840390760185164e-01
46,-3.644349204941213838e+00,8.628220744279627707e-01
47,-3.632638321325636799e+00,8.627586008416210372e-01
48,-3.620794717892449999e+00,8.626922989982197532e-01
49,-3.608818441399220589e+00,8.626236908585297458e-01
50,-3.596709583680763878e+00,8.625892675721323899e-01
51,-3.584468139714559243e+00,8.624810224754044796e-01
52,-3.572093949537674895e+00,8.624061480296776327e-01
53,-3.559587096496868774e+00,8.623286774882359396e-01
54,-3.546947565128272917e+00,8.622486008563540194e-01
55,-3.534175362142025545e+00,8.621663192901051209e-01
56,-3.521270474025522734e+00,8.620806886189446017e-01
57,-3.508232882371706829e+00,8.619465479236636529e-01
58,-3.495062614550940694e+00,8.619001777126604757e-01
59,-3.481759534178650028e+00,8.618055063514964420e-01
60,-3.468323748806856788e+00,8.617070129875087359e-01
61,-3.454755292840755221e+00,8.616053200051991823e-01
62,-3.441054109550361506e+00,8.615002924595736022e-01
63,-3.427220111136970893e+00,8.613914358268479621e-01
64,-3.413253457426784099e+00,8.612193057040112842e-01
65,-3.399153937211968568e+00,8.611596646986640069e-01
66,-3.384921708747129721e+00,8.610376916045323625e-01
67,-3.370556735926666381e+00,8.609109558522723971e-01
68,-3.356058941754113789e+00,8.607796273412193777e-01
69,-3.341428458676270807e+00,8.606431301163205427e-01
70,-3.326665167577154580e+00,8.605012611275877354e-01
71,-3.311769049953956934e+00,8.602795649865717653e-01
72,-3.296740167542754563e+00,8.602010702836873079e-01
73,-3.281578550380986670e+00,8.600412029167814332e-01
74,-3.266284130534127250e+00,8.598752353972110019e-01
75,-3.250856891204100041e+00,8.597029278922232454e-01
76,-3.235296889905297846e+00,8.595235816695723230e-01
77,-3.219604084908670671e+00,8.593368979014105458e-01
78,-3.203778490573495397e+00,8.590441092476310825e-01
79,-3.187820074045922603e+00,8.589417047339227285e-01
80,-3.171728890099781761e+00,8.587300478241026713e-01
81,-3.155504967467249955e+00,8.585089648821229158e-01
82,-3.139148243233059521e+00,8.582801583745429674e-01
83,-3.122658666977238706e+00,8.580415886537227088e-01
84,-3.106036339276550429e+00,8.577925304528891681e-01
85,-3.089281210790382204e+00,8.573999969680967670e-01
86,-3.072393368240883937e+00,8.572620206644356866e-01
87,-3.055372677570170836e+00,8.569806959359259624e-01
88,-3.038219119480820574e+00,8.566862363103492362e-01
89,-3.020932970596461598e+00,8.563783876900912251e-01
90,-3.003513818096402499e+00,8.560580507814551376e-01
91,-2.985962041395138655e+00,8.557240070535250265e-01
92,-2.968277582425165928e+00,8.551959462642402254e-01
93,-2.950460177261427397e+00,8.550098614933389074e-01
94,-2.932510091161820487e+00,8.546295119973248422e-01
95,-2.914427294791031908e+00,8.542333791612671812e-01
96,-2.896211563633206865e+00,8.538168243239250277e-01
97,-2.877863327173518115e+00,8.533820320290078643e-01
98,-2.859382251930665753e+00,8.529303991119383532e-01
99,-2.840768389342527733e+00,8.522170346603544777e-01
100,-2.822021850543313448e+00,8.519659544658014783e-01
101,-2.803142650704709471e+00,8.514543013367970037e-01
102,-2.784130653740754635e+00,8.509163200990178533e-01
103,-2.764985952945290926e+00,8.503537084439128924e-01
104,-2.745708605525864154e+00,8.497645016858903499e-01
105,-2.726298508575038859e+00,8.491513268685931815e-01
106,-2.706755775363202332e+00,8.481792569835774342e-01
107,-2.687080402874804985e+00,8.478414400457254807e-01
108,-2.667272298935534192e+00,8.471426414915670389e-01
109,-2.647331486624416197e+00,8.464130985670434981e-01
110,-2.627258161983163642e+00,8.456517743945443089e-01
111,-2.607052243879961484e+00,8.448574652759593961e-01
112,-2.586713472917104628e+00,8.440311689107435900e-01
113,-2.566242406233725237e+00,8.427195014501417392e-01
114,-2.545638440042150119e+00,8.422576995740496120e-01
115,-2.524901968475297576e+00,8.413146964704137920e-01
116,-2.504032889474950174e+00,8.403337161311902337e-01
117,-2.483031336512927290e+00,8.393062429532595070e-01
118,-2.461897217001991045e+00,8.382370213885682597e-01
119,-2.440630452340561529e+00,8.371242496031564562e-01
120,-2.419231286869254927e+00,8.354002617829709987e-01
