"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.380584430857834e-01,1.641973009959831e-01,1.388423472300685e-06,4.444005050096971e-01,1.178707095043920e-01,2.207123703297590e-15,1.949359498830428e+00,8.792356119245059e-01,2.597525245349838e-04,0.000000000000000e+00,1.356318646818928e+00,0.000000000000000e+00,5.133643303566373e+00,1,0.000000000000000e+00,5.200999975204468e-01,0.000000000000000e+00,5.000000000000000e-01
6.382189767522564e-01,1.704339498919822e-01,1.398571168246516e-06,4.682438904723156e-01,1.157198767925412e-01,2.241929159609198e-15,1.949388966509203e+00,8.794342089184849e-01,-9.877669993496454e-05,0.000000000000000e+00,1.356251774632410e+00,0.000000000000000e+00,5.133584880243316e+00,1,2.500000118743628e-04,5.200999975204468e-01,2.500000118743628e-04,5.000000000000000e-01
6.383795104187292e-01,1.766705987879814e-01,1.408718864192346e-06,4.920872759349341e-01,1.135690440806904e-01,2.276734615920807e-15,1.949418434187979e+00,8.796328059124642e-01,-4.573059244049133e-04,0.000000000000000e+00,1.356184902445892e+00,0.000000000000000e+00,5.133526456920259e+00,1,5.000000237487257e-04,5.200999975204468e-01,5.000000237487257e-04,5.000000000000000e-01
6.385400440665133e-01,1.829072469579391e-01,1.418866558956830e-06,5.159306586218172e-01,1.114182116192294e-01,2.311540068180528e-15,1.949447901863324e+00,8.798314028833236e-01,-8.158351071365693e-04,0.000000000000000e+00,1.356118030267159e+00,0.000000000000000e+00,5.133468033604004e+00,1,7.500000065192580e-04,5.200999975204468e-01,7.500000065192580e-04,5.000000000000000e-01
6.387005777516750e-01,1.891438965799797e-01,1.429014256084007e-06,5.397740468601708e-01,1.092673786569886e-01,2.346345528544025e-15,1.949477369545531e+00,8.800299999004225e-01,-1.174364373344812e-03,0.000000000000000e+00,1.356051158072856e+00,0.000000000000000e+00,5.133409610274145e+00,1,1.000000047497451e-03,5.200999975204468e-01,1.000000047497451e-03,5.000000000000000e-01
6.388611113620820e-01,1.953805432978545e-01,1.439161948485796e-06,5.636174239955833e-01,1.071165466963073e-01,2.381150972699969e-15,1.949506837214015e+00,8.802285968250424e-01,-1.532893472599882e-03,0.000000000000000e+00,1.355984285909693e+00,0.000000000000000e+00,5.133351186971490e+00,1,1.249999972060323e-03,5.200999975204468e-01,1.249999972060323e-03,5.000000000000000e-01
6.390216450472435e-01,2.016171929198950e-01,1.449309645612974e-06,5.874608122339369e-01,1.049657137340665e-01,2.415956433063468e-15,1.949536304896221e+00,8.804271938421412e-01,-1.891422738808126e-03,0.000000000000000e+00,1.355917413715390e+00,0.000000000000000e+00,5.133292763641632e+00,1,1.500000013038516e-03,5.200999975204468e-01,1.500000013038516e-03,5.000000000000000e-01
6.391821787324049e-01,2.078538425419356e-01,1.459457342740151e-06,6.113042004722903e-01,1.028148807718257e-01,2.450761893426966e-15,1.949565772578427e+00,8.806257908592403e-01,-2.249952005016369e-03,0.000000000000000e+00,1.355850541521087e+00,0.000000000000000e+00,5.133234340311773e+00,1,1.750000054016709e-03,5.200999975204468e-01,1.750000054016709e-03,5.000000000000000e-01
6.393427124175664e-01,2.140904921639761e-01,1.469605039867329e-06,6.351475887106437e-01,1.006640478095849e-01,2.485567353790465e-15,1.949595240260634e+00,8.808243878763391e-01,-2.608481271224614e-03,0.000000000000000e+00,1.355783669326784e+00,0.000000000000000e+00,5.133175916981915e+00,1,2.000000094994903e-03,5.200999975204468e-01,2.000000094994903e-03,5.000000000000000e-01
6.395032459532191e-01,2.203271359776850e-01,1.479752727543728e-06,6.589909547431150e-01,9.851321685046296e-02,2.520372781738858e-15,1.949624707915396e+00,8.810229847084801e-01,-2.967010203526514e-03,0.000000000000000e+00,1.355716797194761e+00,0.000000000000000e+00,5.133117493706466e+00,1,2.249999903142452e-03,5.200999975204468e-01,2.249999903142452e-03,5.000000000000000e-01
6.396637796383805e-01,2.265637855997255e-01,1.489900424670906e-06,6.828343429814683e-01,9.636238388822209e-02,2.555178242102357e-15,1.949654175597602e+00,8.812215817255791e-01,-3.325539469734758e-03,0.000000000000000e+00,1.355649925000458e+00,0.000000000000000e+00,5.133059070376608e+00,1,2.499999944120646e-03,5.200999975204468e-01,2.499999944120646e-03,5.000000000000000e-01
6.398243133235419e-01,2.328004352217659e-01,1.500048121798083e-06,7.066777312198217e-01,9.421155092598116e-02,2.589983702465857e-15,1.949683643279808e+00,8.814201787426779e-01,-3.684068735943004e-03,0.000000000000000e+00,1.355583052806155e+00,0.000000000000000e+00,5.133000647046750e+00,1,2.749999985098839e-03,5.200999975204468e-01,2.749999985098839e-03,5.000000000000000e-01
6.399848470087033e-01,2.390370848438064e-01,1.510195818925260e-06,7.305211194581749e-01,9.206071796374021e-02,2.624789162829357e-15,1.949713110962014e+00,8.816187757597767e-01,-4.042598002151249e-03,0.000000000000000e+00,1.355516180611852e+00,0.000000000000000e+00,5.132942223716892e+00,1,3.000000026077032e-03,5.200999975204468e-01,3.000000026077032e-03,5.000000000000000e-01
6.401453806938648e-01,2.452737344658469e-01,1.520343516052437e-06,7.543645076965282e-01,8.990988500149924e-02,2.659594623192858e-15,1.949742578644221e+00,8.818173727768757e-01,-4.401127268359496e-03,0.000000000000000e+00,1.355449308417549e+00,0.000000000000000e+00,5.132883800387033e+00,1,3.250000067055225e-03,5.200999975204468e-01,3.250000067055225e-03,5.000000000000000e-01
6.407818733657720e-01,2.408495504749731e-01,1.522995793215709e-06,7.174831413120836e-01,-1.752813426323586e-01,2.682298525590040e-15,1.949634117851520e+00,8.826254753049565e-01,-4.542132749460122e-03,0.000000000000000e+00,1.355241932902969e+00,0.000000000000000e+00,5.132871965524352e+00,1,3.500000108033419e-03,5.200999975204468e-01,3.500000108033419e-03,5.000000000000000e-01
6.410098776746095e-01,2.419593087191598e-01,1.521900366862193e-06,7.165130041280409e-01,-1.909697631290807e-01,2.365885206390740e-15,1.949600081724465e+00,8.828736711137445e-01,-4.899812060341775e-03,0.000000000000000e+00,1.355048856443660e+00,0.000000000000000e+00,5.132418026892937e+00,1,3.749999916180968e-03,5.200999975204468e-01,3.749999916180968e-03,5.000000000000000e-01
6.412378824081386e-01,2.430690690304324e-01,1.520804938468260e-06,7.155428651369734e-01,-2.066582128477742e-01,2.049471297825249e-15,1.949566045534013e+00,8.831218673848339e-01,-5.257492037453558e-03,0.000000000000000e+00,1.354855779624718e+00,0.000000000000000e+00,5.131964087415994e+00,1,4.000000189989805e-03,5.200999975204468e-01,4.000000189989805e-03,5.000000000000000e-01
