"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000000000008e+00,1.609374897487130e-11,0.000000000000000e+00,-4.238347134721840e-12,2.757957979999169e-11,-1.881816199321392e-14,1.000000000000010e+00,1.774823934929891e+00,-2.474279823742605e-15,0.000000000000000e+00,9.999999999999966e-01,3.320707979234857e-99,0.000000000000000e+00,5.074999999999998e+00,1,0.000000000000000e+00,0.000000000000000e+00,4.000000059604645e-01,5.000000000000000e-01
1.500000000000008e+00,1.373819814760647e-11,0.000000000000000e+00,-3.925017054981864e-12,2.349175839033130e-11,-2.786602102654231e-14,1.000000000000009e+00,1.774823934929891e+00,-3.248248178439526e-15,0.000000000000000e+00,9.999999999999966e-01,2.209662953309850e-99,0.000000000000000e+00,5.074999999999999e+00,1,2.500000118743628e-04,2.500000118743628e-04,4.000000059604645e-01,5.000000000000000e-01
1.500000000000009e+00,1.138264732034043e-11,0.000000000000000e+00,-3.611686975241046e-12,1.940393698066789e-11,-3.691388005986598e-14,1.000000000000008e+00,1.774823934929891e+00,-4.022216533135950e-15,0.000000000000000e+00,9.999999999999963e-01,1.098617927384844e-99,0.000000000000000e+00,5.074999999999999e+00,1,5.000000237487257e-04,5.000000237487257e-04,4.000000059604645e-01,5.000000000000000e-01
1.500000000000009e+00,9.027096767298005e-12,0.000000000000000e+00,-3.298356931977625e-12,1.531611604689309e-11,-4.596173803988740e-14,1.000000000000008e+00,1.774823934929892e+00,-4.796184797731323e-15,0.000000000000000e+00,9.999999999999964e-01,-1.242696919750565e-101,0.000000000000000e+00,5.075000000000001e+00,1,7.500000065192580e-04,7.500000065192580e-04,4.000000059604645e-01,5.000000000000000e-01
1.500000000000009e+00,6.671545665810510e-12,0.000000000000000e+00,-2.985026815760890e-12,1.122829416134652e-11,-5.500959812652381e-14,1.000000000000007e+00,1.774823934929892e+00,-5.570153242529876e-15,0.000000000000000e+00,9.999999999999962e-01,-1.123472124465170e-99,0.000000000000000e+00,5.075000000000000e+00,1,1.000000047497451e-03,1.000000047497451e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000009e+00,4.315995661211801e-12,0.000000000000000e+00,-2.671696845449853e-12,7.140474179340056e-12,-6.405745399992283e-14,1.000000000000006e+00,1.774823934929892e+00,-6.344121326921332e-15,0.000000000000000e+00,9.999999999999962e-01,-2.234516762362203e-99,0.000000000000000e+00,5.075000000000001e+00,1,1.249999972060323e-03,1.249999972060323e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000009e+00,3.094485897761784e-12,0.000000000000000e+00,-2.343090584476666e-12,4.786686267415845e-12,-6.108012967666421e-14,1.000000000000005e+00,1.774823934929893e+00,-6.485380536695531e-15,0.000000000000000e+00,9.999999999999960e-01,-2.327755315751516e-99,0.000000000000000e+00,5.075000000000002e+00,1,1.500000013038516e-03,1.500000013038516e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000010e+00,3.140873023265133e-12,0.000000000000000e+00,-1.997405072719302e-12,4.371607471950684e-12,-4.465823910082594e-14,1.000000000000005e+00,1.774823934929893e+00,-5.919249245089272e-15,0.000000000000000e+00,9.999999999999962e-01,-1.283051379045058e-99,0.000000000000000e+00,5.075000000000003e+00,1,1.750000054016709e-03,1.750000054016709e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000010e+00,3.187260148768475e-12,0.000000000000000e+00,-1.651719560961967e-12,3.956528676485542e-12,-2.823634852498905e-14,1.000000000000005e+00,1.774823934929893e+00,-5.353117953483066e-15,0.000000000000000e+00,9.999999999999959e-01,-2.383474423386001e-100,0.000000000000000e+00,5.075000000000000e+00,1,2.000000094994903e-03,2.000000094994903e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000010e+00,3.233647231070571e-12,0.000000000000000e+00,-1.306034371149213e-12,3.541450267593099e-12,-1.181447324323045e-14,1.000000000000004e+00,1.774823934929893e+00,-4.786987189128199e-15,0.000000000000000e+00,9.999999999999959e-01,8.063555214116565e-100,0.000000000000000e+00,5.075000000000001e+00,1,2.249999903142452e-03,2.249999903142452e-03,4.000000059604645e-01,5.000000000000000e-01
