"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.194452680300799e-01,3.697720510938676e-02,526,251277,2.725718696276504e-02,-8.276336938870998e-02,0.000000000000000e+00,1.877792182860929e+00,9.797486059638008e-01,2.031239369614738e-04,0.000000000000000e+00,1.324664111001399e+00,1.000000000000000e+00,5.116278089733910e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.194468398353088e-01,6.895768790161289e-02,589,251402,2.797460214984085e-02,-1.926737372089304e-01,0.000000000000000e+00,1.877665765615728e+00,9.797402319595334e-01,4.078699514816714e-04,0.000000000000000e+00,1.324636258976545e+00,1.000000000000000e+00,5.116172612088546e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.194484116405373e-01,1.009381706938411e-01,651,251527,2.869201733689813e-02,-3.025841050291532e-01,0.000000000000000e+00,1.877539348370527e+00,9.797318579552662e-01,6.126159660018505e-04,0.000000000000000e+00,1.324608406951691e+00,1.000000000000000e+00,5.116067134443181e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.194499834455833e-01,1.329186497630503e-01,714,251652,2.940943244045493e-02,-4.124944600541272e-01,0.000000000000000e+00,1.877412931140042e+00,9.797234839519740e-01,8.173619566864839e-04,0.000000000000000e+00,1.324580554930080e+00,1.000000000000000e+00,5.115961656810097e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.194515552509948e-01,1.648991362782961e-01,776,251777,3.012684771103918e-02,-5.224048406696007e-01,0.000000000000000e+00,1.877286513880124e+00,9.797151099467318e-01,1.022107995042248e-03,0.000000000000000e+00,1.324552702901983e+00,1.000000000000000e+00,5.115856179152453e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.194531270556748e-01,1.968796079014685e-01,839,251902,3.084426264754364e-02,-6.323151701040666e-01,0.000000000000000e+00,1.877160096679074e+00,9.797067359453890e-01,1.226853938055698e-03,0.000000000000000e+00,1.324524850886856e+00,1.000000000000000e+00,5.115750701543925e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.194546988610866e-01,2.288600944167153e-01,901,252027,3.156167791813532e-02,-7.422255507195465e-01,0.000000000000000e+00,1.877033679419156e+00,9.796983619401471e-01,1.431599976411486e-03,0.000000000000000e+00,1.324496998858759e+00,1.000000000000000e+00,5.115645223886283e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.194562706664982e-01,2.608405809319608e-01,964,252152,3.227909318871966e-02,-8.521359313350199e-01,0.000000000000000e+00,1.876907262159238e+00,9.796899879349050e-01,1.636346014767249e-03,0.000000000000000e+00,1.324469146830662e+00,1.000000000000000e+00,5.115539746228638e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.194578424719100e-01,2.928210674472035e-01,1026,252278,3.299650845929813e-02,-9.620463119504801e-01,0.000000000000000e+00,1.876780844899319e+00,9.796816139296629e-01,1.841092053122975e-03,0.000000000000000e+00,1.324441294802566e+00,1.000000000000000e+00,5.115434268570993e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.194252422242462e-01,3.118291077199313e-01,1151,252403,5.667437833680226e-02,-1.063255761214335e+00,0.000000000000000e+00,1.876426239188844e+00,9.796007040027505e-01,2.138046081594299e-03,0.000000000000000e+00,1.324345022488036e+00,9.999999999999999e-01,5.115018975991536e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
7.193926419592055e-01,3.308371706245492e-01,1276,252528,8.035226154154036e-02,-1.164465308043045e+00,0.000000000000000e+00,1.876071633234822e+00,9.795197940280468e-01,2.435000351588543e-03,0.000000000000000e+00,1.324248750109845e+00,9.999999999999999e-01,5.114603683143030e+00,1,2.499999944120646e-03,1.050099968910217e+00,2.499999944120646e-03,5.000000000000000e-01
