"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.442141345429142e-01,1.443132762845998e-01,261,251012,-3.856340317327587e-01,-8.048613582188630e-02,0.000000000000000e+00,1.950273533578625e+00,8.868054351131003e-01,-9.996536403582377e-04,0.000000000000000e+00,1.353533071974511e+00,5.130578989265695e+00,1,0.000000000000000e+00,5.200999975204468e-01,0.000000000000000e+00,5.000000000000000e-01
6.442041288966837e-01,1.452796692155930e-01,324,251137,-3.894781029585996e-01,-7.495037800908955e-02,0.000000000000000e+00,1.950253412043714e+00,8.867877654565828e-01,-1.129525418166013e-03,0.000000000000000e+00,1.353522099869299e+00,5.130525193545976e+00,1,2.500000118743628e-04,5.200999975204468e-01,2.500000118743628e-04,5.000000000000000e-01
6.441941232504533e-01,1.462460621465848e-01,386,251262,-3.933221741844355e-01,-6.941462019630043e-02,0.000000000000000e+00,1.950233290508803e+00,8.867700958000651e-01,-1.259397195973782e-03,0.000000000000000e+00,1.353511127764087e+00,5.130471397826257e+00,1,5.000000237487257e-04,5.200999975204468e-01,5.000000237487257e-04,5.000000000000000e-01
6.441841176053877e-01,1.472124549650742e-01,449,251387,-3.971662449627645e-01,-6.387886302794912e-02,0.000000000000000e+00,1.950213168976234e+00,8.867524261456048e-01,-1.389268958662496e-03,0.000000000000000e+00,1.353500155660153e+00,5.130417602112801e+00,1,7.500000065192580e-04,5.200999975204468e-01,7.500000065192580e-04,5.000000000000000e-01
6.441741119579922e-01,1.481788480085695e-01,511,251512,-4.010103166361111e-01,-5.834310457071393e-02,0.000000000000000e+00,1.950193047438980e+00,8.867347564870299e-01,-1.519140751589327e-03,0.000000000000000e+00,1.353489183553663e+00,5.130363806386820e+00,1,1.000000047497451e-03,5.200999975204468e-01,1.000000047497451e-03,5.000000000000000e-01
6.441641063152563e-01,1.491452406020523e-01,574,251637,-4.048543865194195e-01,-5.280734869125510e-02,0.000000000000000e+00,1.950172925911096e+00,8.867170868366836e-01,-1.649012484039917e-03,0.000000000000000e+00,1.353478211452283e+00,5.130310010685887e+00,1,1.249999972060323e-03,5.200999975204468e-01,1.249999972060323e-03,5.000000000000000e-01
6.441541006678611e-01,1.501116336455470e-01,636,251762,-4.086984581927641e-01,-4.727159023401385e-02,0.000000000000000e+00,1.950152804373843e+00,8.866994171781091e-01,-1.778884276966756e-03,0.000000000000000e+00,1.353467239345794e+00,5.130256214959907e+00,1,1.500000013038516e-03,5.200999975204468e-01,1.500000013038516e-03,5.000000000000000e-01
6.441440950204657e-01,1.510780266890417e-01,699,251887,-4.125425298661083e-01,-4.173583177677247e-02,0.000000000000000e+00,1.950132682836589e+00,8.866817475195345e-01,-1.908756069893596e-03,0.000000000000000e+00,1.353456267239305e+00,5.130202419233925e+00,1,1.750000054016709e-03,5.200999975204468e-01,1.750000054016709e-03,5.000000000000000e-01
6.441340893730704e-01,1.520444197325363e-01,761,252013,-4.163866015394523e-01,-3.620007331953094e-02,0.000000000000000e+00,1.950112561299335e+00,8.866640778609600e-01,-2.038627862820436e-03,0.000000000000000e+00,1.353445295132816e+00,5.130148623507944e+00,1,2.000000094994903e-03,5.200999975204468e-01,2.000000094994903e-03,5.000000000000000e-01
6.441618088305150e-01,1.534771372118785e-01,886,252138,-4.090676324862155e-01,2.316917541494297e-03,0.000000000000000e+00,1.950114582802442e+00,8.866864906696273e-01,-2.278318117872178e-03,0.000000000000000e+00,1.353399714089699e+00,5.130009681556875e+00,1,2.249999903142452e-03,5.200999975204468e-01,2.249999903142452e-03,5.000000000000000e-01
6.441895282994405e-01,1.549098558483495e-01,1011,252263,-4.017486608583856e-01,4.083393174207542e-02,0.000000000000000e+00,1.950116604299017e+00,8.867089034839377e-01,-2.518008554424157e-03,0.000000000000000e+00,1.353354133017281e+00,5.129870739508761e+00,1,2.499999944120646e-03,5.200999975204468e-01,2.499999944120646e-03,5.000000000000000e-01
6.442172477683663e-01,1.563425744848204e-01,1136,252388,-3.944296892305564e-01,7.935094594265651e-02,0.000000000000000e+00,1.950118625795592e+00,8.867313162982484e-01,-2.757698990976136e-03,0.000000000000000e+00,1.353308551944864e+00,5.129731797460646e+00,1,2.749999985098839e-03,5.200999975204468e-01,2.749999985098839e-03,5.000000000000000e-01
6.442449672372919e-01,1.577752931212922e-01,1261,252513,-3.871107176027405e-01,1.178679601432281e-01,0.000000000000000e+00,1.950120647292168e+00,8.867537291125586e-01,-2.997389427528082e-03,0.000000000000000e+00,1.353262970872447e+00,5.129592855412533e+00,1,3.000000026077032e-03,5.200999975204468e-01,3.000000026077032e-03,5.000000000000000e-01
